S60.8	phlyctènes palmaires par frottement
S39.9	lésion traumatique des organes génitaux externes féminins
S39.9	lésion traumatique des organes génitaux externes masculins
S39.8	lésions traumatiques du pénis
S39.8	rupture des corps caverneux du pénis
S39.8	fracture du pénis
S39.8	fracture pénienne
S39.9	lésion traumatique du flanc
S39.9	lésion traumatique de l'aine
S39.9	lésion traumatique du périnée
S49.9	lésion traumatique de l'épaule et du bras
S49.9	lésion traumatique de l'aisselle
S49.9	lésion traumatique de la région scapulaire
S49.7	lésion traumatique du coude, de l'avant-bras et du poignet
S69.9	lésion traumatique de la main à l'exclusion des doigts
S69.9	lésion traumatique des doigts
S79.9	lésion traumatique de la hanche et de la cuisse
S79.9	traumatisme de la cuisse
S79.9	lésion traumatique de la cuisse
S89.7	lésion traumatique du genou, de la jambe, de la cheville et du pied
S02.9	fracture du crâne
S02.9	enfoncement localisé du crâne
S02.9	embarrure crânienne
S02.8	fracture de l'orbite
S02.8	fracture orbitaire
S02.7	fractures multiples du crâne
S02.0	fracture de la voûte du crâne
S02.0	fracture de l'os frontal
S02.0	fracture de l'os pariétal
S02.00	fracture fermée de la voûte du crâne sans lésion traumatique intracrânienne
S02.00	fracture fermée de la voûte du crâne avec lacération et contusion cérébrales
S02.00	fracture fermée de la voûte du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.00	fracture fermée de la voûte du crâne avec hémorragie traumatique intracrânienne non précisée
S02.00	fracture fermée de la voûte du crâne avec lésion traumatique intracrânienne non précisée
S02.01	fracture ouverte de la voûte du crâne sans lésion traumatique intracrânienne
S02.01	fracture ouverte de la voûte du crâne avec lacération et contusion cérébrales
S02.01	fracture ouverte de la voûte du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.01	fracture exposée de la voûte du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.01	fracture ouverte de la voûte du crâne avec hémorragie traumatique intracrânienne non précisée
S02.01	fracture exposée de la voûte du crâne avec hémorragie traumatique intracrânienne non précisée
S02.01	fracture ouverte de la voûte du crâne avec lésion traumatique intracrânienne non précisée
S02.1	fracture de la base du crâne
S02.1	fracture de la fosse antérieure
S02.1	fracture de la fosse moyenne
S02.1	fracture de la fosse postérieure
S02.1	fracture de l'os occipital
S02.1	fracture du toit de l'orbite
S02.1	fracture du sinus ethmoïdal
S02.1	fracture du sinus frontal
S02.1	fracture de l'os temporal
S02.1	fracture de l'os sphénoïde
S02.10	fracture fermée de la base du crâne sans mention de lésion traumatique intracrânienne
S02.10	fracture fermée de la base du crâne avec lacération et contusion cérébrales
S02.10	fracture fermée de la base du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.10	fracture fermée de la base du crâne avec hémorragie traumatique intracrânienne non précisée
S02.10	fracture fermée de la base du crâne avec lésion traumatique intracrânienne non précisée
S02.11	fracture ouverte de la base du crâne sans lésion traumatique intracrânienne
S02.11	fracture ouverte de la base du crâne avec lacération et contusion cérébrales
S02.11	fracture ouverte de la base du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.11	fracture exposée de la base du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.11	fracture ouverte de la base du crâne avec hémorragie traumatique intracrânienne non précisée
S02.11	fracture exposée de la base du crâne avec hémorragie traumatique intracrânienne non précisée
S02.11	fracture ouverte de la base du crâne avec lésion traumatique intracrânienne non précisée
S02.9	fracture des os de la face
S02.8	fracture de Le Fort
S02.8	fracture de Le Fort I
S02.8	fracture de Guérin
S02.8	fracture horizontale du maxillaire supérieur
S02.8	fracture de Le Fort II
S02.8	fracture moyenne du maxillaire supérieur
S02.8	fracture de Le Fort III
S02.8	disjonction craniofaciale
S02.20	fracture fermée des os du nez
S02.21	fracture ouverte des os du nez
S02.60	fracture fermée de la mandibule
S02.60	fracture fermée du maxillaire inférieur
S02.60	fracture fermée de la mâchoire inférieure
S02.60	fracture fermée du condyle mandibulaire
S02.60	fracture sous-condylienne fermée de la mandibule
S02.60	fracture fermée de l'apophyse coronoïde de la mandibule
S02.60	fracture fermée de la branche montante de la mandibule
S02.60	fracture fermée de l'angle de la mâchoire
S02.60	fracture fermée de l'angle de la mandibule
S02.60	fracture fermée de la symphyse mentonnière
S02.60	fracture fermée du bord alvéolaire de la mandibule
S02.60	fracture fermée du corps de la mandibule
S02.60	fractures multiples fermées de la mandibule
S02.61	fracture ouverte de la mandibule
S02.61	fracture ouverte du condyle mandibulaire
S02.61	fracture sous-condylienne ouverte de la mandibule
S02.61	fracture ouverte de l'apophyse coronoïde de la mandibule
S02.61	fracture ouverte de la branche montante de la mandibule
S02.61	fracture ouverte de l'angle de la mâchoire
S02.61	fracture ouverte de l'angle de la mandibule
S02.61	fracture ouverte de la symphyse mentonnière
S02.61	fracture ouverte du bord alvéolaire de la mandibule
S02.61	fracture ouverte du corps de la mandibule
S02.61	fractures multiples ouvertes de la mandibule
S02.40	fracture fermée des os malaire et maxillaire
S02.40	fracture fermée du maxillaire supérieur
S02.40	fracture fermée de la mâchoire supérieure
S02.40	fracture fermée de l'apophyse zygomatique
S02.40	fracture fermée de l'arcade zygomatique
S02.40	fracture fermée du trépied zygomatique
S02.41	fracture ouverte des os malaire et maxillaire
S02.41	fracture ouverte du maxillaire supérieur
S02.41	fracture ouverte de la mâchoire supérieure
S02.41	fracture ouverte de l'apophyse zygomatique
S02.41	fracture ouverte de l'arcade zygomatique
S02.41	fracture ouverte du trépied zygomatique
S02.30	éclatement fermé du plancher de l'orbite
S02.31	éclatement ouvert du plancher de l'orbite
S02.30	fracture fermée du plancher de l'orbite
S02.40	fracture fermée de la face orbitaire de l'os zygomatique
S02.31	fracture ouverte du plancher de l'orbite
S02.41	fracture ouverte de la face orbitaire de l'os zygomatique
S02.40	fracture fermée d'une alvéole dentaire
S02.80	fracture fermée de l'orbite
S02.80	fracture fermée du palais osseux
S02.81	fracture ouverte d'autres os de la face
S02.40	fracture fermée du bord alvéolaire du maxillaire supérieur
S02.40	fracture horizontale fermée du maxillaire supérieur
S02.40	fracture de Guérin fermée
S02.40	fracture de Le Fort I fermée
S02.40	fracture moyenne fermée du maxillaire supérieur
S02.40	fracture de Le Fort II fermée
S02.40	fracture complète fermée du maxillaire supérieur
S02.40	disjonction craniofaciale fermée
S02.40	fracture de Le Fort III fermée
S02.41	fracture ouverte du bord alvéolaire du maxillaire supérieur
S02.41	fracture horizontale ouverte du maxillaire supérieur
S02.41	fracture de Guérin ouverte
S02.41	fracture de Le Fort I ouverte
S02.41	fracture moyenne ouverte du maxillaire supérieur
S02.41	fracture de Le Fort II ouverte
S02.41	fracture complète ouverte du maxillaire supérieur
S02.41	disjonction craniofaciale ouverte
S02.41	fracture de Le Fort III ouverte
S02.90	fracture fermée du crâne sans lésion traumatique intracrânienne
S02.90	fracture fermée du crâne avec lacération et contusion cérébrales
S02.90	fracture fermée du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.90	fracture fermée du crâne avec hémorragie traumatique intracrânienne non précisée
S02.90	fracture fermée du crâne avec lésion traumatique intracrânienne non précisée
S02.91	fracture ouverte du crâne sans lésion traumatique intracrânienne
S02.91	fracture ouverte du crâne avec lacération et contusion cérébrales
S02.91	fracture ouverte du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.91	fracture exposée du crâne avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.91	fracture ouverte du crâne avec hémorragie traumatique intracrânienne non précisée
S02.91	fracture exposée du crâne avec hémorragie traumatique intracrânienne non précisée
S02.91	fracture ouverte du crâne avec lésion traumatique intracrânienne non précisée
S02.70	fractures multiples fermées du crâne et des os de la face sans lésion traumatique intracrânienne
S02.70	fractures multiples fermées du crâne et des os de la face avec lacération et contusion cérébrales
S02.70	fractures multiples fermées du crâne et des os de la face avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.70	fractures multiples fermées du crâne et des os de la face avec hémorragie traumatique intracrânienne non précisée
S02.70	fractures multiples fermées du crâne et des os de la face avec lésion traumatique intracrânienne non précisée
S02.71	fractures multiples ouvertes du crâne et des os de la face sans lésion traumatique intracrânienne
S02.71	fractures multiples ouvertes du crâne et des os de la face avec lacération et contusion cérébrales
S02.71	fractures multiples ouvertes du crâne et des os de la face avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.71	fractures multiples exposées du crâne et des os de la face avec hémorragies traumatiques extradurale, sous-durale et sous-arachnoïdienne
S02.71	fractures multiples ouvertes du crâne et des os de la face avec hémorragie traumatique intracrânienne non précisée
S02.71	fractures multiples exposées du crâne et des os de la face avec hémorragie traumatique intracrânienne non précisée
S02.71	fractures multiples ouvertes du crâne et des os de la face avec lésion traumatique intracrânienne non précisée
S22.8	fracture des os du tronc
S22.80	fracture fermée des os du tronc
S22.81	fracture ouverte des os du tronc
S12.20	fracture fermée d'une vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.00	fracture fermée de la première vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.00	fracture fermée de l'atlas sans lésion traumatique de la moelle épinière
S12.10	fracture fermée de la deuxième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.10	fracture fermée de l'axis sans lésion traumatique de la moelle épinière
S12.20	fracture fermée de la troisième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.20	fracture fermée de la quatrième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.20	fracture fermée de la cinquième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.20	fracture fermée de la sixième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.20	fracture fermée de la septième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.70	fracture fermée de plusieurs vertèbres cervicales sans lésion traumatique de la moelle épinière
S12.21	fracture ouverte d'une vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.01	fracture ouverte de la première vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.01	fracture exposée de l'atlas sans lésion traumatique de la moelle épinière
S12.11	fracture ouverte de la deuxième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.11	fracture exposée de l'axis sans lésion traumatique de la moelle épinière
S12.21	fracture ouverte de la troisième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.21	fracture ouverte de la quatrième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.21	fracture ouverte de la cinquième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.21	fracture ouverte de la sixième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.21	fracture ouverte de la septième vertèbre cervicale sans lésion traumatique de la moelle épinière
S12.71	fracture ouverte de plusieurs vertèbres cervicales sans lésion traumatique de la moelle épinière
S22.00	fracture fermée d'une vertèbre dorsale sans lésion traumatique de la moelle épinière
S22.00	fracture fermée d'une vertèbre thoracique sans lésion traumatique de la moelle épinière
S22.01	fracture ouverte d'une vertèbre dorsale sans lésion traumatique de la moelle épinière
S22.01	fracture ouverte d'une vertèbre thoracique sans lésion traumatique de la moelle épinière
S32.00	fracture fermée d'une vertèbre lombaire sans lésion traumatique de la moelle épinière
S32.01	fracture ouverte d'une vertèbre lombaire sans lésion traumatique de la moelle épinière
S32.10	fracture fermée du sacrum et du coccyx sans lésion traumatique de la moelle épinière
S32.11	fracture ouverte du sacrum et du coccyx sans lésion traumatique de la moelle épinière
S12.90	fracture cervicale fermée avec lésion traumatique de la moelle épinière
S12.20	fracture cervicale fermée, niveau C1-C4, avec lésion traumatique non précisée de la moelle épinière
S12.20	fracture cervicale fermée, niveau C1-C4, avec lésion traumatique complète de la moelle épinière
S12.20	fracture cervicale fermée, niveau C1-C4, avec syndrome de l'artère spinale antérieure
S12.20	fracture cervicale fermée, niveau C1-C4, avec syringomyélie
S12.20	fracture cervicale fermée, niveau C1-C4, avec syndrome de l'artère spinale postérieure
S12.20	fracture cervicale fermée, niveau C1-C4, avec lésion traumatique incomplète de la moelle épinière
S12.20	fracture cervicale fermée, niveau C1-C4, avec lésion traumatique précisée de la moelle épinière
S12.20	fracture cervicale fermée, niveau C5-C7, avec lésion traumatique non précisée de la moelle épinière
S12.20	fracture cervicale fermée, niveau C5-C7, avec lésion traumatique complète de la moelle épinière
S12.20	fracture cervicale fermée, niveau C5-C7, avec syndrome de l'artère spinale antérieure
S12.20	fracture cervicale fermée, niveau C5-C7, avec syringomyélie
S12.20	fracture cervicale fermée, niveau C5-C7, avec syndrome de l'artère spinale postérieure
S12.20	fracture cervicale fermée, niveau C5-C7, avec lésion traumatique incomplète de la moelle épinière
S12.20	fracture cervicale fermée, niveau C5-C7, avec lésion traumatique précisée de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C1-C4, avec lésion traumatique non précisée de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C1-C4, avec lésion traumatique complète de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C1-C4, avec syndrome de l'artère spinale antérieure
S12.21	fracture cervicale ouverte, niveau C1-C4, avec syringomyélie
S12.21	fracture cervicale ouverte, niveau C1-C4, avec syndrome de l'artère spinale postérieure
S12.21	fracture cervicale ouverte, niveau C1-C4, avec lésion traumatique incomplète de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C1-C4, avec lésion traumatique précisée de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C5-C7, avec lésion traumatique non précisée de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C5-C7, avec lésion traumatique complète de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C5-C7, avec syndrome de l'artère spinale antérieure
S12.21	fracture cervicale ouverte, niveau C5-C7, avec syringomyélie
S12.21	fracture cervicale ouverte, niveau C5-C7, avec syndrome de l'artère spinale postérieure
S12.21	fracture cervicale ouverte, niveau C5-C7, avec lésion traumatique incomplète de la moelle épinière
S12.21	fracture cervicale ouverte, niveau C5-C7, avec lésion traumatique précisée de la moelle épinière
S22.90	fracture thoracique fermée avec lésion traumatique de la moelle épinière
S22.00	fracture thoracique fermée, niveau T1-T6, avec lésion traumatique non précisée de la moelle épinière
S22.00	fracture thoracique fermée, niveau T1-T6, avec lésion traumatique complète de la moelle épinière
S22.00	fracture thoracique fermée, niveau T1-T6, avec syndrome de l'artère spinale antérieure
S22.00	fracture thoracique fermée, niveau T1-T6, avec syringomyélie
S22.00	fracture thoracique fermée, niveau T1-T6, avec syndrome de l'artère spinale postérieure
S22.00	fracture thoracique fermée, niveau T1-T6, avec lésion traumatique incomplète de la moelle épinière
S22.00	fracture thoracique fermée, niveau T1-T6, avec lésion traumatique précisée de la moelle épinière
S22.00	fracture thoracique fermée, niveau T7-T12, avec lésion traumatique non précisée de la moelle épinière
S22.00	fracture thoracique fermée, niveau T7-T12, avec lésion traumatique complète de la moelle épinière
S22.00	fracture thoracique fermée, niveau T7-12, avec syndrome de l'artère spinale antérieure
S22.00	fracture thoracique fermée, niveau T7-T12, avec syringomyélie
S22.00	fracture thoracique fermée, niveau T7-T12, avec syndrome de l'artère spinale postérieure
S22.00	fracture thoracique fermée, niveau T7-T12, avec lésion traumatique incomplète de la moelle épinière
S22.00	fracture thoracique fermée, niveau T7-T12, avec lésion traumatique précisée de la moelle épinière
S22.91	fracture thoracique ouverte avec lésion traumatique de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T1-T6, avec lésion traumatique non précisée de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T1-T6, avec lésion traumatique complète de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T1-T6, avec syndrome de l'artère spinale antérieure
S22.01	fracture thoracique ouverte, niveau T1-T6, avec syringomyélie
S22.01	fracture thoracique ouverte, niveau T1-T6, avec syndrome de l'artère spinale postérieure
S22.01	fracture thoracique ouverte, niveau T1-T6, avec lésion traumatique incomplète de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T1-T6, avec lésion traumatique précisée de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T7-T12, avec lésion traumatique non précisée de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T7-T12, avec lésion traumatique complète de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T7-T12, avec syndrome de l'artère spinale antérieure
S22.01	fracture thoracique ouverte, niveau T7-T12, avec syringomyélie
S22.01	fracture thoracique ouverte, niveau T7-T12, avec syndrome de l'artère spinale postérieure
S22.01	fracture thoracique ouverte, niveau T7-T12, avec lésion traumatique incomplète de la moelle épinière
S22.01	fracture thoracique ouverte, niveau T7-T12, avec lésion traumatique précisée de la moelle épinière
S32.00	fracture fermée d'une vertèbre lombaire avec lésion traumatique de la moelle épinière
S32.01	fracture ouverte d'une vertèbre lombaire avec lésion traumatique de la moelle épinière
S32.10	fracture fermée du sacrum et du coccyx avec lésion traumatique non précisée de la moelle épinière
S32.10	fracture fermée du sacrum et du coccyx avec lésion traumatique complète de la queue de cheval
S32.10	fracture fermée du sacrum et du coccyx avec lésion traumatique de la queue de cheval
S32.10	fracture fermée du sacrum et du coccyx avec lésion traumatique précisée de la moelle épinière
S32.11	fracture ouverte du sacrum et du coccyx avec lésion traumatique non précisée de la moelle épinière
S32.11	fracture ouverte du sacrum et du coccyx avec lésion traumatique complète de la queue de cheval
S32.11	fracture ouverte du sacrum et du coccyx avec lésion traumatique précisée de la queue de cheval
S32.11	fracture ouverte du sacrum et du coccyx avec lésion traumatique précisée de la moelle épinière
S22.3	fracture costale
S22.3	fracture d'une côte
S22.4	fracture de deux côtes
S22.4	fracture de trois côtes
S22.4	fracture de quatre côtes
S22.4	fracture de cinq côtes
S22.4	fracture de six côtes
S22.4	fracture de sept côtes
S22.4	fracture de huit côtes et plus
S22.4	fracture de plusieurs côtes
S22.30	fracture costale fermée
S22.30	fracture fermée d'une côte
S22.40	fracture fermée de deux côtes
S22.40	fracture fermée de trois côtes
S22.40	fracture fermée de quatre côtes
S22.40	fracture fermée de cinq côtes
S22.40	fracture fermée de six côtes
S22.40	fracture fermée de sept côtes
S22.40	fracture fermée de huit côtes et plus
S22.40	fracture fermée de plusieurs côtes
S22.31	fracture costale ouverte
S22.31	fracture ouverte d'une côte
S22.41	fracture ouverte de deux côtes
S22.41	fracture ouverte de trois côtes
S22.41	fracture ouverte de quatre côtes
S22.41	fracture ouverte de cinq côtes
S22.41	fracture ouverte de six côtes
S22.41	fracture ouverte de sept côtes
S22.41	fracture ouverte de huit côtes et plus
S22.41	fracture ouverte de plusieurs côtes
S22.2	fracture du sternum
S22.2	fracture sternale
S22.20	fracture fermée du sternum
S22.21	fracture ouverte du sternum
S22.5	volet costal
S22.5	volet thoracique
S12.8	fracture du larynx
S12.80	fracture fermée du larynx
S12.80	fracture fermée de la trachée
S12.80	fracture fermée de l'os hyoïde
S12.80	fracture fermée du cartilage thyroïdien
S12.81	fracture ouverte du larynx
S12.81	fracture ouverte de la trachée
S32.8	fracture du bassin
S32.80	fracture fermée du bassin
S32.81	fracture ouverte du bassin
S32.40	fracture fermée de l'acétabulum
S32.41	fracture ouverte de l'acétabulum
S32.4	fracture de l'acétabulum
S32.50	fracture fermée du pubis
S32.51	fracture ouverte du pubis
S32.5	fracture du pubis
S32.5	fracture des branches pubiennes
S32.3	fracture de l'ilion
S32.30	fracture fermée de l'ilion
S32.8	fracture de Du Verney
S32.8	fracture transversale de l'os iliaque
S32.80	fracture fermée de l'ischion
S32.80	fracture fermée de l'os iliaque
S32.80	fracture fermée de l'os coxal
S32.70	fractures multiples fermées du bassin avec rupture du cercle pelvien
S32.31	fracture ouverte de l'ilion
S32.81	fracture ouverte de l'ischion
S32.81	fracture ouverte de l'os iliaque
S32.81	fracture ouverte de l'os coxal
S32.71	fractures multiples ouvertes du bassin avec rupture du cercle pelvien
S42.0	fracture de la clavicule
S42.0	fracture de l'extrémité interne de la clavicule
S42.0	fracture du corps de la clavicule
S42.0	fracture de l'extrémité externe de la clavicule
S42.0	fracture de la partie interligamenteuse de la clavicule
S42.00	fracture fermée de la clavicule
S42.00	fracture fermée de l'extrémité interne de la clavicule
S42.00	fracture fermée du corps de la clavicule
S42.00	fracture fermée de l'extrémité externe de la clavicule
S42.01	fracture ouverte de la clavicule
S42.01	fracture ouverte de l'extrémité interne de la clavicule
S42.01	fracture ouverte du corps de la clavicule
S42.01	fracture ouverte de l'extrémité externe de la clavicule
S42.1	fracture de l'omoplate
S42.1	fracture scapulaire
S42.1	fracture de l'acromion
S42.1	fracture acromiale
S42.1	fracture de l'apophyse coracoïde de l'omoplate
S42.1	fracture de la cavité glénoïde et du col de l'omoplate
S42.1	fracture du corps de l'omoplate
S42.10	fracture fermée de l'omoplate
S42.10	fracture scapulaire fermée
S42.10	fracture fermée de l'acromion
S42.10	fracture acromiale fermée
S42.10	fracture fermée de l'apophyse coracoïde de l'omoplate
S42.10	fracture fermée de la cavité glénoïde et du col de l'omoplate
S42.11	fracture ouverte de l'omoplate
S42.11	fracture scapulaire ouverte
S42.11	fracture ouverte de l'acromion
S42.11	fracture acromiale ouverte
S42.11	fracture ouverte de l'apophyse coracoïde de l'omoplate
S42.11	fracture ouverte de la cavité glénoïde et du col de l'omoplate
S42.3	fracture de l'humérus
S42.3	fracture du bras
S42.30	fracture fermée de l'humérus
S42.30	fracture fermée du bras
S42.31	fracture ouverte de l'humérus
S42.31	fracture ouverte du bras
S42.20	fracture fermée de l'extrémité supérieure de l'humérus
S42.20	fracture fermée de la diaphyse proximale de l'humérus
S42.20	fracture fermée du col chirurgical de l'humérus
S42.20	fracture fermée du col de l'humérus
S42.20	fracture fermée du col anatomique de l'humérus
S42.20	fracture fermée du trochiter
S42.20	fracture fermée de la tête de l'humérus
S42.20	fracture fermée de l'épiphyse supérieure de l'humérus
S42.21	fracture ouverte de l'extrémité supérieure de l'humérus
S42.21	fracture ouverte de la diaphyse proximale de l'humérus
S42.21	fracture ouverte du col chirurgical de l'humérus
S42.21	fracture ouverte du col de l'humérus
S42.21	fracture ouverte du col anatomique de l'humérus
S42.21	fracture ouverte du trochiter
S42.3	fracture de la diaphyse de l'humérus
S42.30	fracture fermée de la diaphyse de l'humérus
S42.31	fracture ouverte de la diaphyse de l'humérus
S42.4	fracture de l'extrémité inférieure de l'humérus
S52.0	fracture du coude
S42.4	fracture de l'extrémité distale de l'humérus
S42.40	fracture fermée de l'extrémité inférieure de l'humérus
S52.00	fracture fermée du coude
S42.40	fracture fermée de l'extrémité distale de l'humérus
S42.40	fracture supracondylienne fermée de l'humérus
S42.40	fracture condylienne fermée de l'humérus
S42.40	fracture fermée de l'épiphyse inférieure de l'humérus
S42.40	fracture fermée de l'apophyse articulaire de l'humérus
S42.40	fracture fermée de l'épicondyle
S42.40	fracture fermée du condyle externe de l'humérus
S42.40	fracture fermée de l'épitrochlée
S42.40	fracture fermée de la trochlée humérale
S42.70	fractures multiples fermées de l'extrémité inférieure de l'humérus
S42.41	fracture ouverte de l'extrémité inférieure de l'humérus
S52.01	fracture ouverte du coude
S42.41	fracture ouverte de l'extrémité distale de l'humérus
S42.41	fracture supracondylienne ouverte de l'humérus
S42.41	fracture condylienne ouverte de l'humérus
S42.41	fracture ouverte de l'apophyse articulaire de l'humérus
S42.41	fracture ouverte de l'épiphyse inférieure de l'humérus
S42.41	fracture ouverte de l'épicondyle
S42.41	fracture ouverte du condyle externe de l'humérus
S42.41	fracture ouverte de l'épitrochlée
S52.9	fracture de l'avant-bras
S52.8	fracture du radius
S52.8	fracture du cubitus
S52.7	fracture du radius et du cubitus
S52.5	fracture de Colles
S52.5	fracture de Pouteau-Colles
S52.5	fracture de Pouteau-Colles inversée
S52.5	fracture de Goyrand
S52.0	fracture de Monteggia
S52.90	fracture fermée de l'avant-bras
S52.80	fracture fermée du radius
S52.80	fracture fermée du cubitus
S52.70	fracture fermée du radius et du cubitus
S52.91	fracture ouverte de l'avant-bras
S52.81	fracture ouverte du radius
S52.81	fracture ouverte du cubitus
S52.71	fracture ouverte du radius et du cubitus
S52.80	fracture fermée de l'extrémité supérieure de l'avant-bras
S52.80	fracture fermée de l'extrémité proximale de l'avant-bras
S52.00	fracture fermée de l'olécrâne
S52.00	fracture fermée de l'apophyse coronoïde du cubitus
S52.00	fracture de Monteggia fermée
S52.00	fracture fermée de l'extrémité proximale du cubitus
S52.70	fractures multiples fermées de l'extrémité supérieure du cubitus
S52.10	fracture fermée de la tête du radius
S52.10	fracture fermée du col du radius
S52.10	fracture fermée de l'extrémité proximale du radius
S52.70	fractures multiples fermées de l'extrémité supérieure du radius
S52.70	fracture fermée des extrémités supérieures radiale et cubitale
S52.81	fracture ouverte de l'extrémité supérieure de l'avant-bras
S52.81	fracture ouverte de l'extrémité proximale de l'avant-bras
S52.01	fracture ouverte de l'olécrâne
S52.01	fracture ouverte de l'apophyse coronoïde du cubitus
S52.01	fracture de Monteggia ouverte
S52.01	fracture ouverte de l'extrémité proximale du cubitus
S52.71	fractures multiples ouvertes de l'extrémité supérieure du cubitus
S52.11	fracture ouverte de la tête du radius
