G72.8	myopathie éosinophile
G04.9	encéphalite
G92	encéphalite toxique
G92	encéphalite toxique due au tétrachlorure de carbone
G92	encéphalite toxique due à l'hydroxyquinoline
G92	encéphalite toxique due au plomb
G92	encéphalite toxique due au mercure
G92	encéphalite toxique due au thallium
G04.9	épendymite
G04.9	épendymite granuleuse
G04.9	encéphalomyélite
G04.8	encéphalomyélite aiguë disséminée
G04.9	méningoencéphalite
G04.9	méningoencéphalite granulomateuse
G04.9	méningomyélite
G04.9	méningoencéphalomyélite
G04.9	myélite
G04.8	myélite aiguë ascendante
G04.8	paralysie ascendante aiguë
G04.8	syndrome de Landry
G04.8	leucomyélite ascendante aiguë
G04.8	myélite aiguë diffuse
G37.3	myélite aiguë transverse
G06.0	abcès intracrânien
G06.0	abcès intracrânien embolique
G06.0	abcès cérébral
G06.0	abcès du cerveau
G06.0	abcès cérébelleux
G06.2	abcès épidural
G06.2	abcès extra-dural
G06.2	abcès sous-dural
G06.2	empyème sous-dural
G06.0	abcès intracrânien otogène
G09	séquelles d'un abcès intracrânien pyogène
G06.1	abcès intrarachidien
G06.1	abcès intrarachidien embolique
G06.1	abcès spinal épidural
G06.1	abcès spinal extra-dural
G06.1	abcès rachidien épidural
G06.1	abcès spinal sous-dural
G04.8	encéphalite allergique
G04.8	encéphalopathie allergique
G04.8	encéphalomyélite allergique
G36.1	leuco-encéphalite aiguë hémorragique
G05.8	encéphalite auto-immune
G05.8*	encéphalite au cours d'un lupus érythémateux disséminé
G05.8*	encéphalite lupique
G08	thrombose d'un sinus veineux intracrânien
G08	thrombose du sinus caverneux
G08	thrombose d'un sinus veineux latéral
G08	thrombose d'un sinus transverse
G08	thrombose du sinus sagittal supérieur
G08	thrombose du sinus longitudinal supérieur
G08	thrombose du sinus sagittal inférieur
G08	thrombose du sinus longitudinal inférieur
G08	thrombose du sinus basilaire
G08	thrombose du confluent des sinus
G08	embolie d'un sinus veineux intracrânien
G08	embolie du sinus caverneux
G08	embolie d'un sinus veineux latéral
G08	embolie du sinus sagittal supérieur
G08	embolie du sinus longitudinal supérieur
G08	embolie du sinus sagittal inférieur
G08	embolie du sinus longitudinal inférieur
G08	embolie du sinus basilaire
G08	embolie du confluent des sinus
G08	phlébite d'un sinus veineux intracrânien
G08	phlébite du sinus caverneux
G08	phlébite d'un sinus veineux latéral
G08	phlébite du sinus sagittal supérieur
G08	phlébite du sinus longitudinal supérieur
G08	phlébite du sinus sagittal inférieur
G08	phlébite du sinus longitudinal inférieur
G08	phlébite du sinus basilaire
G08	phlébite du confluent des sinus
G08	endophlébite d'un sinus veineux intracrânien
G08	endophlébite du sinus caverneux
G08	endophlébite d'un sinus veineux latéral
G08	endophlébite du sinus sagittal supérieur
G08	endophlébite du sinus longitudinal supérieur
G08	endophlébite du sinus sagittal inférieur
G08	endophlébite du sinus longitudinal inférieur
G08	endophlébite du sinus basilaire
G08	endophlébite du confluent des sinus
G08	thrombophlébite d'un sinus veineux intracrânien
G08	thrombophlébite du sinus caverneux
G08	thrombophlébite d'un sinus veineux latéral
G08	thrombophlébite du sinus sagittal supérieur
G08	thrombophlébite du sinus longitudinal supérieur
G08	thrombophlébite du sinus sagittal inférieur
G08	thrombophlébite du sinus longitudinal inférieur
G08	thrombophlébite du sinus basilaire
G08	thrombophlébite du confluent des sinus
G93.4	encéphalopathie
G93.4	syndrome cérébral aigu
G93.4	encéphalopathie aiguë
G93.4	syndrome cérébral chronique
G93.4	encéphalopathie chronique
G92	encéphalopathie toxique
G93.4	encéphalopathie métabolique
G93.0	kyste cérébral
G93.0	kyste arachnoïdien
G93.0	kyste porencéphalique
G93.0	porencéphalie acquise
G93.0	porencéphalie
G93.0	pseudoporencéphalie
G93.1	lésion cérébrale anoxique
G93.1	encéphalopathie anoxique
G93.1	lésion cérébrale hypoxique
G93.1	encéphalopathie anoxique aiguë
G93.8	encéphalomalacie
G93.1	encéphalopathie anoxique chronique
G93.1	anoxie du cerveau
G93.1	hypoxie du cerveau
G93.1	anoxie cérébrale
G93.1	hypoxie cérébrale
G93.2	syndrome d'hypertension intracrânienne bénigne
G93.2	syndrome hydrocéphalique otitique
G93.2	méningite séreuse
G93.2	syndrome de Symonds
G93.2	pseudotumeur cérébrale
G93.2	syndrome de Borries
G93.5	compression du cerveau
G93.5	compression du tronc cérébral
G93.5	hernie du tronc cérébral
G93.5	syndrome de compression de la fosse cérébrale postérieure
G93.5	engagement de l'hippocampe
G93.5	déformité en cone des amygdales cérébelleuses
G93.5	hernie cérébrale
G93.5	engagement cérébral
G93.5	engagement cérébral sous-tentoriel
G93.5	engagement temporal médian sous-tentoriel
G93.5	engagement occipital des amygdales cérébelleuses
G93.5	engagement cérébelleux
G93.5	engagement sous la faux du cerveau
G93.8	calcification cérébrale
G93.5	hernie cérébrale ulcérée
G96.0	rhinorrhée cérébrospinale
G96.0	hydrorrhée cérébrospinale
G96.1	pseudo-méningocèle
G95.0	syringo-encéphalie
G95.0	syringo-encéphalomyélie
G95.0	syringopontie
G96.1	affection des méninges
G96.1	kyste des méninges rachidiennes
G96.1	adhérences méningées cérébrales
G96.1	adhérences méningées rachidiennes
G97.8	complications neurologiques dues à un dispositif médical implantable
G97.1	réaction à une ponction rachidienne
G97.1	réaction à une ponction spinale
G97.1	réaction à une ponction lombaire
G97.1	céphalée secondaire à une ponction lombaire
G97.1	céphalée rachidienne
G97.1	céphalée après myélographie
G97.1	céphalée après ponction lombaire
G96.1	méningocèle acquise
G93.8	syndrome de Bristowe
G93.8	syndrome de déconnexion interhémisphérique
G93.8	syndrome du corps calleux
G96.8	syndrome de Bruns
G96.8	syndrome d'hypothermie-transpiration
G96.8	syndrome de Hines-Bannick
G96.8	syndrome d'errance du regard
G96.8	syndrome de Balint
G97.8	syndrome comportemental post-lobectomie temporale
G97.8	syndrome de Klüver-Bucy
G93.8	syndrome de Bing-Neel
G93.8	neuropathie macroglobulinémique
G93.8	syndrome cérébral macroglobulinémique
G93.8	syndrome de Babinski-Nageotte
G93.8	syndrome hémibulbaire
G31.8	atrophie cérébelleuse corticale tardive
G31.8	atrophie cérébelleuse corticale tardive de Pierre Marie-Foix-Alajouanine
G31.8	atrophie cérébello-olivaire familiale de Holmes
G31.9	maladie dégénérative du système nerveux central
G31.9	dégénérescence cérébrale
G31.0	maladie de Pick
G31.0	atrophie cérébrale circonscrite
G31.0	atrophie circonscrite du cerveau
G31.1	dégénérescence cérébrale sénile
G91.9	hydrocéphalie acquise
G91.1	hydrocéphalie occlusive acquise
G91.1	hydrocéphalie obstructive acquise
G91.1	hydrocéphalie non communicante
G91.0	hydrocéphalie communicante
G91.0	hydrocéphalie externe
G91.0	hydrocéphalie non obstructive
G91.2	hydrocéphalie à pression normale
G91.2	hydrocéphalie chronique de l'adulte
G91.2	hydrocéphalie à basse pression
G91.8	hydrocéphalie stabilisée
G91.8	syndrome d'hydrocéphalie chronique
G91.8	syndrome du cocktail
G91.8	syndrome du moulin à paroles
G91.8	hydrocéphalie ex vacuo
G93.7	syndrome de Reye
G93.7	encéphalopathie de Reye
G93.7	syndrome de Reye-Johnson
G93.7	déficit en acétyl-CoA déshydrogénase des acides gras à chaîne moyenne
G11.9	ataxie cérébrale
G11.4	ataxie spinale
G31.8	maladie des Açores
G31.8	maladie des portugais des Açores
G31.8	maladie de Machado-Joseph
G31.8	maladie des Açores, type I
G31.8	maladie des Açores, type II
G31.8	maladie des Açores, type III
G31.8	maladie des Açores, type IV
G31.9	dégénérescence cérébrale de l'enfance
G31.8	syndrome d'Alpers
G31.8	dégénérescence de la substance grise du cerveau
G31.8	poliodystrophie
G31.8	maladie d'Alpers
G31.8	syndrome de Leigh
G31.8	encéphalomyélopathie nécrosante subaiguë
G31.8	encéphalopathie nécrosante subaiguë
G31.8	maladie d'Alexander
G25.9	syndrome extrapyramidal
G25.9	affection extrapyramidale
G20	parkinsonisme
G20	maladie de Parkinson
G20	paralysie agitante
G20	syndrome parkinsonien idiopathique
G20	syndrome parkinsonien primitif
G21.9	syndrome parkinsonien secondaire
G21.1	syndrome parkinsonien dû à des médicaments
G21.3	syndrome parkinsonien postencéphalitique
G21.2	syndrome parkinsonien induit par la N-MPTP
G21.2	syndrome parkinsonien induit par la n-méthyl-1,2,3.4 tétrahydropyridine
G23.8	atteinte diffuse à corps de Lewy
G23.8	variante à corps de Lewy de la maladie d'Alzheimer
G23.8	atteinte diffuse à corps de Lewy avec altération corticale spongiforme
G20	paralysie agitante juvénile de Hunt
G20	syndrome parkinsonien juvénile
G20	syndrome pallidal
G11.1	dyssynergie cérébelleuse progressive
G11.1	syndrome de Ramsay Hunt de type II
G23.8	maladie des noyaux gris centraux
G23.8	maladie des noyaux basaux
G23.8	dégénérescence olivo-ponto-cérébelleuse
G23.8	atrophie olivo-ponto-cérébelleuse
G23.0	dégénérescence pallidale pigmentaire
G23.0	syndrome de Hallervorden-Spatz
G23.0	maladie de Hallervorden-Spatz
G23.2	dégénérescence striato-nigrique
G23.2	atrophie striato-nigrique
G21.8	syndrome parkinsonien associé à une hypotension orthostatique idiopathique
G21.8	syndrome parkinsonien associé à une hypotension orthostatique symptomatique
G23.1	ophtalmoplégie supranucléaire progressive
G23.1	syndrome de Steele-Richardson-Olszewski
G23.1	paralysie supranucléaire progressive
G90.3	syndrome de Shy-Drager
G90.3	hypotension orthostatique neurogène
G93.8	syndrome d'altération des systèmes pyramidal et extrapyramidal
G93.8	syndrome de J. Lhermitte-McAlpine
G93.8	dégénérescence progressive pyramido-pallidale
G93.8	syndrome de J. Lhermitte, Cornil et Quesnel
G93.8	syndrome de Fahr
G93.8	maladie de Fahr
G93.8	ferrocalcinose cérébrovasculaire
G25.9	trouble de la motricité
G25.0	tremblement essentiel bénin
G25.0	tremblement familial
G25.0	tremblement essentiel
G25.0	tremblement héréditaire bénin
G25.3	myoclonie essentielle familiale
G25.6	tic d'origine organique
G10	chorée de Huntington
G10	chorée héréditaire
G10	chorée progressive héréditaire de Huntington
G25.5	syndrome de Birnbaum
G25.5	syndrome de chorée héréditaire et d'atrophie cérébelleuse
G25.5	chorée non héréditaire progressive chronique
G25.5	chorée sénile
G25.5	hémiballisme
G25.5	syndrome du corps de Luys
G25.5	hémichorée
G25.5	choréo-athétose familiale paroxystique
G25.5	syndrome de Mount-Reback
G25.5	choréo-athétose paroxystique kinésogène
G25.5	choréo-athétose
G25.5	choréo-acanthocytose
G25.5	neuro-acanthocytose
G24.8	dystonie généralisée
G24.8	dysbasie lordotique progressive
G24.8	dystonie musculaire déformante
G24.8	maladie de Ziehen-Oppenheim
G24.8	dystonie lenticulaire
G24.8	dystonie de torsion
G80.3	paralysie cérébrale athétosique
G80.3	syndrome de Cécile et Oscar Vogt
G80.3	athétose double
G80.3	athétose bilatérale
G24.8	dystonie de torsion localisée
G24.5	blépharospasme
G24.4	dyskinésie oro-faciale
G24.3	torticolis spasmodique
G25.8	crampe organique des écrivains
G25.8	graphospasme
G25.8	crampe des écrivains
G25.8	syndrome de l'homme raide
G25.8	syndrome de Moersch-Woltman
G25.8	syndrome de l'homme rigide
G25.8	syndrome des jambes sans repos
G25.8	mérasthénie agitante
G25.8	paresthésie agitante nocturne des membres inférieurs
G25.8	syndrome d'Ekbom
G25.5	chorée électrique
G25.5	chorée de Bergeron
G25.5	maladie de Bergeron
G25.5	chorée électrique de Henoch-Bergeron
G25.5	chorée de Dubini
G25.8	syndrome de l'acqueduc de Sylvius
G25.8	syndrome de Koerber-Salus-Elschnig
G23.8	dégénérescence cortico-basale
G23.8	dégénérescence cortico-basale avec achromasie neuronale
G23.8	dégénérescence optico-cochléo-dentelée
G23.8	dégénérescence pallido-rubro-subthalamo-dentelée
G23.8	atrophie pallido-rubro-subthalamo-dentelée
G23.8	dégénérescence pallido-subthalamique
G23.8	dégénérescence pallido-nigrale
G23.8	dégénérescence pallido-nigro-subthalamique
G23.8	dégénérescence pallido-nigro-spinale
G23.8	dégénérescence pallido-ponto-nigrale
G11.1	dégénérescence spino-cérébelleuse
G11.2	ataxie spinocérébelleuse
G11.1	ataxie de Friedreich
G11.1	ataxie héréditaire
G11.1	tabès héréditaire
G11.1	maladie de Friedreich
G25.3	paramyoclonus multiplex
G60.0	maladie de Roussy-Lévy
G60.0	syndrome de Roussy-Lévy
G60.0	dystasie aréflexique héréditaire
G11.4	paraplégie spastique héréditaire
G11.4	maladie de Strümpell-Lorrain
G11.4	paraplégie spasmodique familiale de Strümpell et Lorrain
G11.9	dégénérescence cérébelleuse primitive
G11.9	ataxie cérébelleuse
G11.2	ataxie cérébelleuse de Pierre Marie
G11.2	hérédo-ataxie cérébelleuse
G11.2	ataxie cérébelleuse héréditaire
G11.2	hérédo-ataxie cérébelleuse avec dégénérescence des faisceaux spino-cérébelleux
G11.8	ataxie labyrinthique
G11.9	dyssynergie cérébelleuse myoclonique
G11.9	atrophie dento-rubrique
G11.9	atrophie olivo-rubro-cérébelleuse
G11.9	dégénérescence cérébelleuse héréditaire
G11.9	dégénérescence cérébelleuse sporadique
G11.1	syndrome de Jervis
G11.1	syndrome de dégénérescence cérébelleuse familiale précoce
G11.9	dégénérescence cérébelleuse
G11.9	syndrome cérébelleux
G11.9	dégénérescence cérébelleuse évolutive primitive
G11.9	maladie de Holmes
G80.3	athétose posthémiplégique
G80.3	athétose avec rigidité
G31.8	syndrome de Bailey-Cushing
G31.8	syndrome du vermis
G12.2	maladie du neurone moteur
G12.2	dégénérescence familiale du neurone moteur
G12.2	dégénérescence héréditaire du neurone moteur
G12.2	maladie du neurone moteur supérieur
G12.2	maladie des cellules de la corne antérieure de la moelle
G12.2	sclérose latérale amyotrophique
G12.2	maladie de Lou Gehrig
G12.2	maladie de Charcot
G12.2	maladie du neurone moteur bulbaire
G12.2	sclérose latérale primitive
G12.2	atrophie musculaire progressive
G12.2	amyotrophie type Aran-Duchenne
G12.2	atrophie de Cruveilhier
G12.2	atrophie musculaire primitive spinale type Aran-Duchenne
G12.2	amyotrophie primitive progressive
G12.2	paralysie labio-glosso-laryngée
G12.2	paralysie bulbaire atrophique progressive
G12.2	paralysie pseudo-bulbaire
G12.2	maladie du neurone moteur inférieur
G12.9	amyotrophie spinale
G12.0	maladie de Werdnig-Hoffmann
G12.0	poliomyélite antérieure chronique familiale de l'enfant
G12.0	amyotrophie à forme Werdnig-Hoffmann
G12.1	maladie de Kugelberg-Welander
G12.1	syndrome de Kugelberg-Welander
G12.1	syndrome de Wohlfart-Kugelberg-Welander
G12.1	amyotrophie neurogène juvénile précoce pseudo-myopathique
G12.1	amyotrophie neurogène familiale pseudo-myopathique de la seconde enfance
G12.1	atrophie musculaire juvénile hérédo-familiale simulant une dystrophie musculaire
G12.1	atrophie musculaire spinale de l'adulte
G12.1	amyotrophie spinale de l'adulte
G82.4	syndrome de tétraplégie spastique avec rigidité
G95.9	myélopathie
G95.9	maladie de la moelle épinière
G95.9	myélopathie neurologique
G95.2	compression de la moelle épinière
G95.8	myélopathie post-radiothérapie
G95.8	myélopathie radique
G37.3	myélopathie transverse
G37.3	myélite transverse
G95.8	myélocèle acquise
G95.8	myélopathie due à un médicament
G95.0	syringomyélie
G60.8	syndrome de Morvan
G95.0	gliomatose médullaire
G95.0	syringobulbie
G95.0	syringomyélobulbie
G95.8	atrophie spinobulbaire
G95.8	dégénérescence spino-pontine
G95.8	atrophie spino-pontine
G95.1	myélopathie vasculaire
G95.1	infarctus aigu de la moelle épinière
G95.8	myélomalacie
G95.1	thrombose artérielle de la moelle épinière
G95.1	oedème de la moelle épinière
G95.1	oedème rachidien
G95.1	hématomyélie
G95.1	myélopathie nécrotique subaiguë
G95.1	myélite nécrotique subaiguë
G37.8	myélite nécrosante aiguë
G06.1	abcès de la moelle épinière
G32.0*	dégénérescence combinée subaiguë de la moelle épinière
G32.0*	myélose funiculaire
G32.0*	dégénérescence de la moelle épinière associée à une carence en vitamine B12
G32.0*	syndrome de Lichtheim
G32.0*	sclérose combinée
G32.0*	syndrome de Putnam-Dana
G36.9	neuromyélite
G83.8	syndrome de Brown-Séquard
G83.8	hémiparaplégie spinale
G37.9	maladie démyélinisante du système nerveux central
G37.9	maladie démyélinisante de la moelle épinière
G37.9	affection démyélinisante de la moelle épinière
G35	sclérose en plaques
G35	sclérose multiloculaire
G35	sclérose multiple
G35	sclérose en plaques du tronc cérébral
G35	sclérose en plaques de la moelle épinière
G36.0	neuromyélite optique aiguë
G36.0	neuromyélite subaiguë avec névrite optique
G36.0	neuropathie sentivomoteur dite SMON
G36.0	maladie de Devic
G37.0	maladie de Schilder
G37.0	sclérose cérébrale de Schilder
G37.0	encéphalite périaxiale diffuse
G37.5	sclérose concentrique de Baló
G37.5	maladie de Baló
G37.2	myélinolyse centropontine
G37.1	maladie de Marchiafava-Bignami
G37.1	démyélinisation centrale du corps calleux
G37.1	syndrome de Marchiafava-Bignami
G83.9	syndrome paralytique
G83.9	attaque de paralysie
G83.8	syndrome de verrouillage
G83.8	Locked in syndrome
G83.8	syndrome de déefférentiation motrice
G81.9	hémiplégie
G81.0	hémiplégie flasque
G81.1	hémiplégie spastique
G81.1	hémiplégie spasmodique
G83.8	hémiplégie transitoire
G81.1	syndrome du cortex prémoteur
G81.1	syndrome de préhension forcée
G81.1	syndrome d'Adie-Critchley
G81.9	hémiparésie
G82.5	quadriplégie
G82.5	tétraplégie
G82.5	quadriparésie
G83.8	triplégie
G83.8	triparésie
G82.2	paraplégie
G82.2	paralysie des deux membres inférieurs
G82.2	paraplégie inférieure
G82.2	paraparésie
G82.2	paraparésie progressive chronique
G83.0	diplégie des membres supérieurs
G83.0	diplégie supérieure
G83.0	paralysie des deux membres supérieurs
G83.8	hémiplégie faciale
G83.8	hémiparésie faciale
G83.9	diplégie
G83.9	paralysie bilatérale
G83.3	monoplégie
G83.3	monoparésie
G83.1	monoplégie d'un membre inférieur
G83.1	paralysie d'un membre inférieur
G83.2	monoplégie d'un membre supérieur
G83.2	paralysie d'un membre supérieur
G83.2	paralysie des amoureux
G83.8	parésie cérébrale avec ataxie homolatérale
G83.8	paralysie cérébrale avec ataxie homolatérale
G83.4	syndrome de la queue de cheval
G83.4	syndrome de la queue de cheval sans vessie neurogène
G83.4	vessie neurogène due au syndrome de la queue de cheval
G95.8	hyperréflexie vésicale
G95.8	vessie automatique
G95.8	syndrome de pseudoclaudication
G80.9	paralysie cérébrale infantile
G80.9	infirmité motrice cérébrale
G80.9	syndrome de Little
G80.9	paralysie spastique congénitale
G80.9	maladie de Little
G80.2	hémiplégie infantile
G80.2	hémiplégie infantile post-natale
G80.1	paralysie cérébrale infantile diplégique
G80.1	diplégie congénitale
G80.1	paraplégie congénitale
G80.2	paralysie cérébrale infantile hémiplégique
G80.2	hémiplégie congénitale
G80.8	paralysie cérébrale infantile quadriplégique
G80.8	paralysie cérébrale infantile tétraplégique
G80.8	paralysie cérébrale infantile monoplégique
G80.8	paralysie flasque congénitale
G93.8	syndrome thalamique
G93.8	syndrome de l'artère thalamo-genouillée
G93.8	syndrome de Déjerine-Roussy
G03.9	pachyméningite cervicale hypertrophique de Charcot-Joffroy
G40.9	épilepsie
G40.9	attaque épileptique
G40.9	syndrome épileptique
G40.9	convulsions épileptiques
G40.9	crises épileptiques
G40.9	crises d'épilepsie
G40.2	épilepsie procursive
G40.2	épilepsie ambulatoire
G40.2	épilepsie temporale
G40.3	épilepsie généralisée non convulsive
G40.7	petit mal
G40.7	absence épileptique rétropulsive
G40.8	épilepsie centrale
G40.8	crise d'épilepsie centrencéphalique
G40.8	crise de niveau supérieur
G41.1	état de petit mal
G41.1	état d'absences épileptiques
G40.3	épilepsie généralisée convulsive
G40.6	grand mal
G40.6	haut mal
G40.6	comitialité
G40.6	mal comitial
G40.6	mal caduc
G40.6	mal sacré
G41.0	état de grand mal
G41.0	état de mal épileptique
G40.8	épilepsie visuelle
G40.8	épilepsie viscérale
G40.5	épilepsie partielle continue
G40.5	polyclonie de Kojevnikov
G40.5	syndrome de Kojevnikov
G40.5	épilepsie post-traumatique
G40.3	crises épileptiques non classées
G40.2	crises épileptiques partielles
G40.1	crises épileptiques partielles simples sans trouble de la conscience
G40.1	crises épileptiques partielles simples avec manifestations motrices
G40.1	crises épileptiques partielles simples avec manifestations somato-motrices
G40.1	attaques épileptiques somato-motrices
G40.1	crises épileptiques partielles simples avec symptômes somato-sensoriels
G40.1	crises épileptiques partielles simples avec symptômes somato-sensitifs
G40.1	attaques épileptiques somato-sensorielles
G40.1	crises épileptiques partielles simples avec symptômes sensoriels spéciaux
G40.1	attaques épileptiques sensorielles particulières
G40.1	crises épileptiques partielles simples avec symptômes neurovégétatifs
G40.1	absence épileptique neurovégétative
G40.1	aura partielle de gêne épigastrique
G40.1	attaques épileptiques abdominales
G40.1	crises épileptiques partielles simples avec symptômes psychiques
G40.2	crises épileptiques partielles complexes avec trouble de la conscience
G40.1	crises épileptiques à début partielle simple suivies de troubles de la conscience
G40.2	crises épileptiques partielles complexes avec trouble de la conscience au début
G40.2	crises épileptiques partielles complexes avec automatismes
G40.2	automatisme épileptique
G40.2	épilepsie automatique
G40.1	crises épileptiques secondairement généralisées
G40.1	crises épileptiques partielles simples évoluant vers des crises tonico-cloniques généralisées
G40.2	crises épileptiques partielles complexes évoluant vers des crises tonico-cloniques généralisées
G40.2	crises épileptiques partielles simples évoluant vers des crises partielles complexes, et ensuite vers des crises tonico-cloniques généralisées
G40.3	crises épileptiques d'emblée généralisées
G40.7	absences épileptiques
G40.7	absences épileptiques atypiques
G40.3	crises épileptiques toniques
G40.3	crises épileptiques tonico-cloniques
