B81.0	granulome éosinophile gastro-intestinal
B34.9	maladie due à un virus
B34.9	maladie infectieuse virale
B34.9	infection virale
B34.9	virémie
B34.9	septicémie virale
B33.2	myocardite virale
B33.2	péricardite virale
B33.2	péricardite virale aiguë
B94.1	séquelles d'encéphalite virale
B97.8+	bronchite virale
B97.8+	épiglottite virale
B97.8+	pharyngite virale
B97.8+	amygdalite virale
B97.8+	trachéite virale
B30.9	conjonctivite virale
B97.8+	labyrinthite virale
B97.8+	otite interne virale
B09	exanthème viral
B33.9	affection virale non transmise par des arthropodes
B97.0	affection à adénovirus
B97.0	infection à adénovirus
B97.0+	affection respiratoire à adénovirus
B08.5	pharyngite adénovirale
B97.0+	bronchite adénovirale
B97.0+	laryngo-trachéo-bronchite adénovirale
B97.0+	bronchiolite adénovirale
B30.2	pharyngo-conjonctivite adénovirale
B30.2	syndrome adéno-pharyngo-conjonctival
B30.1+	conjonctivite folliculaire aiguë à adénovirus
B30.0+	kérato-conjonctivite épidémique
B97.0+	myocardite adénovirale
B08.0	affection à orthopoxvirus
B04	monkeypox
B04	monkeypox humaine
B08.0	vaccine
B08.0	vaccine progressive
B08.0	vaccine gangréneuse
B08.0	vaccine généralisée
B08.0	eczéma vaccinatum
B08.0	éruption varicelliforme de Kaposi dû au virus de la vaccine
B08.0	encéphalomyélite post-vaccinale
B08.0	cowpox
B03	variole
B03	petite vérole
B03	variole majeure
B03	variole classique
B03	variole hémorragique
B03	variole grave
B03	variole maligne
B03	variole plane
B03	variole sans rash
B03	alastrim
B03	variole mineure
B03	para-variole
B03	variole modifiée
B08.0	affection à parapoxvirus
B08.0	pseudo-cowpox
B08.0	tubercules des trayeurs
B08.0	nodosités des trayeurs
B08.0	paravaccine
B08.0	nodules des trayeurs
B08.0	dermatite pustuleuse contagieuse ovine
B08.0	ecthyma contagiosum
B08.0	orf
B08.8	affection à poxvirus non précisée
B08.8	infection à poxvirus
B08.1	infection à Molluscum contagiosum
B08.1	molluscum contagiosum
B08.1	molluscum verrucosum
B08.8	tanapox
B08.8	fièvre de Yaba
B00.9	infection à herpèsvirus
B00.9	infection herpétique
B00.9	affection due à l'herpèsvirus alpha
B00.9	herpès
B00.9	herpès sans mention de complications
B00.9	herpès primaire
B00.9	herpès récurrent
B00.7	herpès disséminé
B00.7	septicémie due au virus de l'herpès
B00.7	septicémie à Herpes simplex
B00.7	septicémie herpétique
B00.2	gingivo-stomatite herpétique
B00.1	herpès labial
B00.1	feu sauvage
B00.1	bouton de fièvre
B00.4+	encéphalite herpétique
B00.4+	méningo-encéphalite herpétique
B00.3+	méningite herpétique
B00.4+	encéphalite herpétique nécrosante aiguë
B00.5	herpès oculaire
B00.5+	dermatite herpétique de la paupière
B00.5+	dermite herpétique de la paupière
B00.5+	blépharite herpétique
B00.5+	kératite herpétique
B00.5+	kérato-conjonctivite herpétique
B00.5+	iritis herpétique
B00.5+	kératite herpétique dendritique
B00.5+	kératite herpétique disciforme
B00.5+	iridocyclite herpétique
B00.8	herpès avec complications précisées
B00.8	otite externe herpétique
B00.8	panaris herpétique
B00.8	herpès viscéral
B00.0	eczéma herpétiforme de Kaposi
B00.0	pustulose varioliforme aiguë
B00.0	pustulose varicelliforme
B00.0	maladie de Kaposi-Juliusberg
B00.0	pustulose varicelliforme de Kaposi
B00.8	herpès avec complications non précisées
B02.2	névralgie post-herpétique
B00.4+	maladie à Herpesvirus simiae
B00.4+	infection à herpèsvirus B
B00.4+	encéphalomyélite à herpèsvirus B
B01.9	varicelle
B01.1	encéphalite post-varicelleuse
B01.2+	pneumopathie varicelleuse hémorragique
B01.2+	pneumopathie hémorragique de la varicelle
B01.8	varicelle avec complications précisées
B01.8	ataxie cérébelleuse aiguë due à la varicelle
B01.8	varicelle avec complications non précisées
B02.9	herpès zoster
B02.9	syndrome radiculo-ganglionnaire
B02.9	zona
B02.9	zona sans mention de complications
B02.7	zona disséminé
B02.3	zona ophtalmique
B02.3	zona avec complications ophtalmiques
B02.3+	dermatite zostérienne des paupières
B02.3+	iridocyclite zostérienne
B02.3+	kérato-conjonctivite zostérienne
B02.2+	zona auriculaire
B02.8	otalgie géniculée
B02.8	névralgie de Ramsay Hunt
B02.8	névralgie du ganglion géniculé
B02.8	névralgie géniculée
B02.2+	herpès du ganglion géniculé
B02.2+	zona du ganglion géniculé
B02.8	zona otitique
B02.8	polyneuropathie zostérienne
B02.8	névralgie trigéminée zostérienne
B02.8	otite externe zostérienne
B02.8	zona avec complications neurologiques précisées
B02.8	méningite zostérienne
B02.8	zona avec autres complications
B02.8	zona avec complications non précisées
B25.9	affection due à l'herpèsvirus bêta
B25.9	infection à cytomégalovirus
B25.9	maladie des inclusions cytomégaliques
B25.9	infection à CMV
B25.1+	hépatite à cytomégalovirus
B25.0+	pneumonie à cytomégalovirus
B25.0+	pneumopathie à cytomégalovirus
B25.8+	rétinite à cytomégalovirus
B25.8+	rétinite à CMV
B25.8+	encéphalite à cytomégalovirus
B27.1	mononucléose à cytomégalovirus
B27.9	affection due à l'herpèsvirus gamma
B27.9	mononucléose infectieuse
B27.0	mononucléose à herpèsvirus gamma
B27.0	fièvre glandulaire
B27.0	maladie de Pfeiffer
B27.0	angine à monocytes
B27.0+	hépatite infectieuse mononucléosique
B97.7	affection due au virus du papillome
B07	infection à papovavirus, sous-groupe A
B07	infection à virus du papillome humain
B07	verrues dues au virus du papillome
B07	verrues d'origine virale
B07	verrues contagieuses
B07	verrue vulgaire
B07	verrue plane
B07	verrue plantaire
B07	verrue palmaire
B07	verrue péri-unguéale
B97.7	affection due au virus du polyome
B97.6	affection due aux parvovirus
B97.6	maladie du vison aléoutien
B33.1	fièvre de la rivière Ross
B33.1	polyarthrite épidémique australienne
B97.8	affection à flavivirus
B06.9	affection à rubivirus
B06.9	rubéole
B06.9	rubéole sans mention de complications
B06.0	rubéole avec complications neurologiques
B06.0	rubéole avec complications neurologiques précisées
B06.0+	encéphalite progressive rubéoleuse
B06.0+	encéphalomyélite rubéoleuse
B06.0+	méningo-encéphalite rubéoleuse
B06.8	rubéole avec complications précisées
B06.8+	arthrite rubéoleuse
B06.8+	myocardite rubéoleuse
B06.8	rubéole avec complications non précisées
B34.8	affection à paramyxovirus
B34.8	infection à paramyxovirus
B26.9	oreillons
B26.9	parotidite épidémique
B26.9	parotidite ourlienne
B26.9	oreillons sans mention de complications
B26.0+	orchite ourlienne
B26.1+	méningite ourlienne
B26.2+	encéphalite ourlienne
B26.2+	méningo-encéphalite ourlienne
B26.3+	pancréatite ourlienne
B26.8+	hépatite ourlienne
B26.8+	polynévrite ourlienne
B26.8+	ovarite ourlienne
B26.8+	thyroïdite ourlienne
B26.8+	néphrite ourlienne
B26.8+	myocardite ourlienne
B26.8+	arthrite ourlienne
B26.8	oreillons avec complications précisées
B26.8	oreillons avec complications non précisées
B30.8+	maladie de Newcastle
B30.8+	conjonctivite de Newcastle
B34.8	infection à virus para-influenza
B34.8	infection à virus para-influenza type 1
B34.8	infection à virus para-influenza type 2
B34.8	infection à virus para-influenza type 3
B34.8	infection à virus para-influenza type 4
B97.8+	pharyngite à virus paragrippaux
B97.8+	rhinopharyngite à virus paragrippaux
B97.8+	laryngite à virus paragrippaux
B97.8+	laryngotrachéite à virus paragrippaux
B97.8+	laryngo-trachéo-bronchite à virus paragrippaux
B05.9	affection morbilleuse
B05.9	rougeole
B05.9	rougeole sans mention de complications
B05.0+	encéphalite post-morbilleuse
B05.0+	encéphalite de la rougeole
B05.2+	pneumonie post-morbilleuse
B05.2+	pneumonie à cellules géantes de Hecht
B05.3+	otite moyenne post-morbilleuse
B05.8	rougeole avec d'autres complications précisées
B05.8+	kérato-conjonctivite morbilleuse
B05.8+	kératite morbilleuse
B05.8+	myocardite morbilleuse
B05.8	rougeole avec complications non précisées
B97.4	affection à pneumovirus
B97.4	infection à virus respiratoire syncytial
B97.4+	pharyngite à virus respiratoire syncytial
B97.4+	laryngo-trachéo-bronchite à virus respiratoire syncytial
B97.8	affection à orthomyxovirus
B97.8	infection à orthomyxovirus
B97.8	affection à Rhabdoviridae
B97.8	infection à rhabdovirus
B97.8	affection à lyssavirus
B33.8	maladie à virus Duvenhage
B33.8	maladie à virus Mokola
B97.8	affection à phlébovirus
B97.8	affection à nairovirus
B97.8	affection à uukuvirus
B97.8	affection à hantanvirus
B97.8	affection à hantaanvirus
B97.8	affection à hantavirus
B97.8	affection à arénavirus
B97.1	affection à entérovirus
B97.1	infection à entérovirus
B91+	syndrome post-poliomyélitique
B91+	syndrome post-polio
B91+	atrophie musculaire post-polio
B91	séquelles de poliomyélite
B34.1	infection entérovirale à virus ECHO
B34.1	infection à échovirus humain
B08.5	pharyngite vésiculaire entérovirale
B08.5	angine pustuleuse
B08.5	pharyngite aphteuse
B08.5	herpangine
B08.5	pharyngite vésiculaire
B08.4	stomatite vésiculeuse entérovirale avec exanthème
B08.4	syndrome mains-pieds-bouche
B08.8	pharyngite lymphonodulaire entérovirale
B08.8	pharyngite lymphonodulaire aiguë
B33.0	pleurodynie contagieuse
B33.0	maladie de Bornholm
B33.0	grippe d'été
B33.0	myalgie épidémique
B33.0	myosite épidémique
B30.3+	conjonctivite hémorragique entérovirale
B30.3+	conjonctivite Apollo
B30.3+	maladie d'Apollo
B30.3+	conjonctivite hémorragique épidémique
B30.3+	conjonctivite à entérovirus 70
B33.2	infection cardiaque à entérovirus
B33.2	cardite à virus Coxsackie
B33.2	myocardite à virus Coxsackie
B33.2	myocardite aseptique du nouveau-né
B33.2	endocardite à virus Coxsackie
B33.2	péricardite à virus Coxsackie
B15.9	hépatite au cours d'une maladie virale à Coxsackie
B15.9	hépatite virale A
B15.9	hépatite A
B15.9	hépatite infectieuse
B15.9	hépatite virale A sans mention de coma hépatique
B15.0	hépatite virale A avec coma hépatique
B15.9	hépatite virale A aiguë
B15.9	hépatite virale A chronique
B15.9	hépatite virale A aiguë fulminante
B15.9	hépatite virale A chronique active
B15.9	hépatite virale A chronique persistante
B15.9	hépatite virale A chronique agressive
B15.9	hépatite viral A anictérique
B15.9	hépatite virale A en rechute
B97.8	affection à rhinovirus
B97.8	infection à rhinovirus
B08.8	syndrome pied-bouche
B08.8	fièvre aphteuse
B97.5	affection due à réovirus
B97.5	infection à réovirus
B97.8	affection à orbivirus
B97.8	affection à rotavirus
B97.2	affection à coronavirus
B97.8	affection à birnavirus
B97.8+	nécrose infectieuse du pancréas
B97.3	affection à oncovirus
B97.3	affection à spumavirus
B97.3	affection à lentivirus
B24	infection à virus de l'immunodéficience humaine
B24	infection à VIH
B24	infection à VIH I
B24	infection à VIH II
B24+	infection congénitale à virus de l'immunodéficience humaine
B24+	infection congénitale à VIH
B23.1	lymphadénopathie généralisée persistante
B24	SIDA
B24	syndrome d'immunodéficience acquise
B20.4+	SIDA avec candidose pulmonaire
B20.8+	SIDA avec coccidiose
B20.8+	SIDA avec isosporidiose
B20.5+	SIDA avec cryptococcose
B20.8+	SIDA avec cryptosporidiose
B20.6+	SIDA avec pneumocystose
B20.3+	SIDA avec leuco-encéphalopathie multifocale progressive
B20.8+	SIDA avec toxoplasmose
B20.8+	SIDA avec microsporidiose
B20.8+	SIDA avec endocardite aiguë
B20.8+	SIDA avec endocardite subaiguë
B20.8+	SIDA avec myocardite aiguë
B20.8+	SIDA avec myocardite subaiguë
B20.4+	SIDA avec candidose buccale
B20.4+	SIDA avec candidose de la peau et des ongles
B20.4+	SIDA avec candidose disséminée de localisations non précisées
B20.5+	SIDA avec coccidioïdomycose
B20.2+	SIDA avec maladie des inclusions cytomégaliques
B20.3+	SIDA avec herpès
B20.3+	SIDA avec zona
B20.5+	SIDA avec histoplasmose
B20.0	SIDA avec mycobactériose non précisée
B20.1+	SIDA avec pneumonie bactérienne
B20.1+	SIDA avec pneumonie à pneumocoques
B20.1+	SIDA avec nocardiose
B20.5	SIDA avec mycose opportuniste
B20.9+	SIDA avec pneumonie
B20.3+	SIDA avec pneumonie virale
B20.1+	SIDA avec salmonellose
B20.1+	SIDA avec septicémie
B20.8+	SIDA avec strongyloïdose
B20.0+	SIDA avec tuberculose
B21.8	SIDA avec tumeur maligne précisée
B21.1	SIDA avec lymphome de Burkitt
B21.0	SIDA avec sarcome de Kaposi
B21.2	SIDA avec sarcome immunoblastique
B21.2+	SIDA avec lymphome primitif de l'encéphale
B21.3	SIDA avec réticulosarcome
B24	SIDA avec ou sans autres états
B22.0	SIDA avec maladies précisées du système nerveux central
B22.0	SIDA avec affection du système nerveux central
B22.0	SIDA avec affection du SNC
B22.0+	SIDA avec maladie démyélinisante du système nerveux central
B22.0+	SIDA avec maladie démyélinisante du SNC
B20.3	SIDA avec maladie virale non transmise par les arthropodes
B20.3+	SIDA avec encéphalite adénovirale subaiguë
B20.3+	SIDA avec infection à virus lents
B22.0+	SIDA avec démence
B22.0+	SIDA avec démence organique
B22.0+	SIDA avec démence présénile
B22.0+	SIDA avec encéphalite
B22.0+	SIDA avec encéphalomyélite
B22.0+	SIDA avec encéphalopathie
B22.0+	SIDA avec myélite
B22.0+	SIDA avec myélopathie
B22.0	SIDA avec syndrome cérébral organique
B23.2	SIDA avec d'autres affections englobant le système immunitaire
B23.1	SIDA avec lymphadénopathie
B23.8	SIDA avec autres états précisés
B22.2	SIDA avec perte anormale de poids
B23.8	SIDA avec anomalie respiratoire
B23.2+	SIDA avec agranulocytose
B23.2+	SIDA avec anémie
B23.2+	SIDA avec anémie aplastique
B23.2+	SIDA avec anémie par carence
B23.2+	SIDA avec anémie hémolytique acquise
B23.8+	SIDA avec arthrite infectieuse
B23.8+	SIDA avec cécité
B23.8+	SIDA avec baisse de la vision
B23.2	SIDA avec maladie du système hématopoïétique
B23.2	SIDA avec affection du système hématopoïétique
B22.2	SIDA avec cachexie
B20.5+	SIDA avec dermatomycose
B20.5+	SIDA avec dermatophytose
B23.8+	SIDA avec maladie des glandes salivaires
B23.8+	SIDA avec affection cutanée
B23.8+	SIDA avec affection du tissu sous-cutané
B23.8+	SIDA avec dyspnée
B23.8+	SIDA avec fatigue
B23.8+	SIDA avec fièvre
B23.8	SIDA avec pyrexie
B23.8+	SIDA avec gastro-entérite infectieuse
B23.8+	SIDA avec gastro-entérite non infectieuse
B23.8+	SIDA avec hépatomégalie
B23.8+	SIDA avec hyperhidrose
B23.2+	SIDA avec hypersplénisme
B23.8+	SIDA avec infection intestinale mal définie
B22.2	SIDA avec défaut de croissance de l'enfant
B23.8	SIDA avec leucoplasie de la muqueuse buccale
B23.8+	SIDA avec malabsorption intestinale
B23.8+	SIDA avec malaise
B23.8+	SIDA avec névralgie
B23.8+	SIDA avec névrite
B23.8	SIDA avec carence nutritionnelle
B23.8	SIDA avec polyneuropathie
B23.8+	SIDA avec radiculite
B23.8+	SIDA avec rash
B23.8+	SIDA avec altérations vasculaires rétiniennes
B23.8+	SIDA avec rétinopathie sous-jacente
B23.2+	SIDA avec splénomégalie
B23.2+	SIDA avec thrombocytopénie secondaire
B23.2+	SIDA avec thrombocytopénie
B23.2	SIDA avec déplétion volumique
B20.9	maladie par VIH avec infection
B20.8	maladie par VIH avec infection aiguë précisée
B20.8	maladie par VIH avec lymphadénite aiguë
B20.8	maladie par VIH avec méningite aseptique
B20.3	maladie par VIH avec infection virale
B20.8	maladie par VIH avec syndrome infectieux pseudo-mononucléosique
B24	infection au virus du SIDA
B24	syndrome pré-SIDA
B24	complexe relatif au SIDA
B24	ARC
B24	complexe relatif au SIDA avec ou sans autres états
B20.8	SIDA avec infection précisée
B97.8	affection à filovirus
B16.9	hépatite virale B
B16.9	hépatite B
B16.9	sérum-hépatite
B16.9	hépatite virale B sans mention de coma hépatique
B16.0	hépatite virale B avec agent delta avec coma hépatique
B16.9	hépatite virale B aiguë
B18.1	hépatite virale B chronique
B16.9	hépatite virale B aiguë fulminante
B18.1	hépatite virale B chronique active
B18.1	hépatite virale B chronique persistante
B18.1	hépatite virale B chronique agressive
B16.9	hépatite virale B anictérique
B16.9	hépatite virale B en rechute
B08.2	exanthème subit
B08.2	roséole infantile
B08.2	sixième maladie
B08.2	exanthème critique
B33.8	maladie à virus Le Dantec
B33.8	maladie à virus Zinga
B17.1	hépatite virale C
B17.1	hépatite virale de type C
B17.8	hépatite non A, non B
B17.1	hépatite C
B17.8	hépatite virale non A, non B
B17.1	hépatite virale post-transfusionnelle
B17.1	hépatite post-transfusionnelle
B17.1	hépatite transfusionnelle
B19.9	hépatite virale
B19.9	hépatite virale, sans précision, sans mention de coma hépatique
B19.9	hépatite virale, état de porteur
B19.0	hépatite virale, sans précision, avec coma hépatique
B17.8	hépatite virale aiguë
B18.9	hépatite virale chronique
B17.8	hépatite virale aiguë fulminante
B18.9	hépatite virale chronique active
B18.9	hépatite virale chronique persistante
B18.9	hépatite virale chronique agressive
B19.9	hépatite virale anictérique
B19.9	hépatite virale en rechute
B19.9	autre hépatite virale précisée
B19.9	autre hépatite virale précisée sans mention de coma hépatique
B19.0	autre hépatite virale précisée avec coma hépatique
B34.8	affections à Circoviridae
B08.3	érythème infectieux aigu
B08.3	cinquième maladie éruptive
B08.3	mégalérythème épidémique
B34.8	lymphocytose infectieuse aiguë
B34.8	maladie de Carl Smith
B08.2	rubéole scarlatiniforme
B08.2	quatrième maladie
B08.2	maladie de Dukes-Filatow
B08.2	pseudo-scarlatine
B49	mycose
B49	infection fongique
B49	maladie d'origine mycosique
B49	maladie infectieuse fongique
B49	infection mycosique
B49	mycose profonde
B49	infection fongique profonde
B49	infection mycosique profonde
B49	granulome mycosique
B48.7	mycose opportuniste
B49	mycose systémique
B49	fongémie
B49	infection mycosique systémique
B36.9+	otomycose
B36.9+	otite externe mycosique chronique
B48.8+	méningite mycosique
B48.8+	infection mycosique des yeux
B48.8+	mycose oculaire
B36.9	mycose dermique
B36.9	dermatite fongique
B36.9	dermite fongique
B36.9	mycose cutanée
B48.8+	péricardite mycosique
B48.8+	péricardite fongique
B48.8+	endocardite mycosique
B48.8+	endocardite fongique
B48.8+	infection fongique des poumons
B48.8+	mycose pulmonaire
B44.9	aspergillose
B44.9	aspergillome
B44.7	aspergillose disséminée
B44.1+	aspergillose pulmonaire
B44.1	aspergillose bronchopulmonaire
B44.1	aspergillose pulmonaire invasive
B44.1+	pneumonie au cours d'aspergillose
B44.1+	pneumonie aspergillaire
B44.1	aspergillose bronchopulmonaire allergique
B44.9	infection à Aspergillus fumigatus
B44.9	infection à Aspergillus nidulans
B44.9	infection à Aspergillus niger
B44.9	infection à Aspergillus flavus
B44.9	infection à Aspergillus clavatus
B40.9	blastomycose
B40.9	infection à Blastomyces
B40.9	infection blastomycosique
B40.9	blastomycose nord-américaine
B40.9	maladie de Gilchrist
B40.9	infection à Blastomyces dermatitidis
B40.3	blastomycose nord-américaine cutanée
B40.3	dermite blastomycotique nord-américaine
B40.2	blastomycose nord-américaine pulmonaire
B40.2	blastomycose nord-américaine pulmonaire primaire
B40.8	blastomycose nord-américaine oculaire
B40.8	blastomycose nord-américaine urogénitale
B40.7	blastomycose nord-américaine disséminée
B41.9	paracoccidioïdomycose
B41.9	blastomycose sud-américaine
B41.9	infection à Blastomyces brasiliensis
B41.9	infection à Paracoccidioïdes brasiliensis
B41.9	blastomycose brésilienne
B41.9	maladie de Lutz-Splendor-Almeida
B41.8	paracoccidioïdomycose cutanée
B41.8	paracoccidioïdomycose muqueuse
B41.8	paracoccidioïdomycose viscérale
B41.8	paracoccidioïdose viscérale
B41.8	paracoccidioïdomycose lymphoganglionnaire
B41.8	paracoccidioïdomycose cutanéo-muqueuse et lymphoganglionnaire
B41.0	paracoccidioïdomycose pulmonaire
B41.7	blastomycose sud-américaine disséminée
B48. 0	lobomycose
B48. 0	blastomycose chéloïdienne
B48. 0	maladie de Lobo
B48. 0	infection à Paracoccidioides loboii
B48. 0	infection à Loboa loboii
B38.9	coccidioïdomycose
B38.9	maladie de Posadas-Rixford
B38.9	infection à Coccidioides immitis
B38.9	maladie de Posadas-Wernicke
B38.7	coccidioïdomycose disséminée
B38.0+	coccidioïdomycose pulmonaire primaire
B38.0+	fièvre de la vallée de San Joaquin
B38.0+	pneumonie coccidioïdienne
B38.0+	pneumonie coccidioïdomycosique
B38.0+	phase primaire de la coccidioïdomycose
B38.9	phase secondaire chronique de la coccidioïdomycose
B38.8	coccidioïdomycose extrapulmonaire primaire
B38.3	coccidioïdomycose cutanée primaire
B38.8	coccidioïdomycose avec érythème noueux
B38.8	coccidioïdomycose avec érythème polymorphe
B38.4+	méningite à coccidioïdomycose
B39.9	histoplasmose
B39.5	histoplasmose africaine
B39.5	infection à Histoplasma duboisii
B39.5	histoplasmose à grandes formes
B39.4	histoplasmose américaine
B39.4	infection à Histoplasma capsulatum
B39.4	maladie de Darling
B39.4	histoplasmose à petites formes
B39.4	histoplasmose réticulo-endothéliale
B39.4	histoplasmose à petites formes généralisée
B39.4	histoplasmose américaine avec méningite
B39.4	histoplasmose américaine avec rétinite
B39.4	histoplasmose américaine avec péricardite
B39.4	histoplasmose américaine avec endocardite
B39.4	histoplasmose américaine avec pneumonie
B39.4	histoplasmose pulmonaire
B39.0	histoplasmose pulmonaire aiguë
B39.1	histoplasmose pulmonaire chronique
B37.9	candidose
B37.9	endomycose
B37.9	oïdiomycose
B37.9	moniliase
B37.9	moniliose
B37.9	infection à Candida
B37.9	candidiase localisée
B37.8	candidose disséminée
B37.8	candidose systémique
B37.9	infection à Candida albicans
B37.0	candidose buccale
B37.0	stomatite à Candida
B37.0	muguet
B37.9	muguet pseudomembraneux
B37.8	candidose de l'oesophage
B37.8	oesophagite à Candida
B37.9	muguet atrophique
B37.9	candidose atrophique
B37.8	candidose gastro-intestinale
B37.8	proctite à Candida
B37.9	muguet hyperplasique
B37.9	candidiase hyperplasique
B37.4	candidose des organes génitaux
B37.4	candidose génitale
B37.3+	candidose de la vulve
B37.3+	candidose du vagin
B37.3+	vaginite à Candida
B37.3+	vulvo-vaginite à Candida
B37.3+	candidose vulvo-vaginale
B37.4+	balanite à Candida
B37.4	candidose d'autres localisations uro-génitales
B37.2	candidose de la peau
B37.2	candidose des ongles
B37.2	intertrigo à Candida
B37.2	candidose interdigitale
B37.2	érosion interdigitale blastomycotique
B37.2	paronychie à Candida
B37.2	onyxis à Candida
B37.2	périonyxis à Candida
B37.0	perlèche avec candidose
B37.2	candidose cutanéo-muqueuse
B37.8	candidose anale
B37.1	candidose du poumon
B37.1	pneumonie à Candida
B37.6+	endocardite à Candida
B37.8	otite externe à Candida
B37.8	otomycose au cours d'une candidose
B37.5+	méningite à Candida
B37.8	candidose d'autres localisations précisées
B45.9	cryptococcose
B45.9	torulopsidose
B45.9	blastomycose européenne
B45.9	torulose
B45.9	infection à Cryptococcus neoformans
B45.7	cryptococcose disséminée
B45.7	cryptococcose septicémique
B45.0	cryptococcose broncho-pulmonaire
B45.0	pneumonie à cryptocoques
B45.1+	méningite à cryptocoques
B45.2	cryptococcose cutanéo-muqueuse
B45.3	cryptococcose osseuse
B45.3	maladie de Busse-Buschke
B45.8	gastro-entérite à cryptocoques
B48.3	géotrichose
B48.3	infection à Geotrichum
B48.3	infection à Geotrichum candidum
B43.9	chromomycose
B43.8	chromomycose des pieds
B43.9	chromoblastomycose
B43.8	chromomycose généralisée
B43.0	chromomycose cutanée
B43.9	infection à Phialophora verrucosa
B43.9	infection à Fonsecaea pedrosoi
B43.9	infection à Fonsecaea compacta
B43.9	infection à Cladosporium carrionii
B43.9	infection à Acrotheca aquaspersa
B47.0	mycétome vrai
B47.0	mycétome eumycosique
B47.0	eumycétome
B47.0	pied de Madura mycosique
B47.0	maduromycose mycosique
B47.0	infection à Ascomycetes
B47.0	infection à Deuteromycetes
B47.0	infection à Acremonium falciforme
B47.0	infection à Cephalosporium falciforme
B47.0	infection à Cephalosporium recifei
B47.0	infection à Neotestudina rosatii
B47.0	infection à Madurella grisea
B47.0	infection à Madurella mycetomii
B47.0	infection à Pyrenochaeta romeroi
B47.0	infection à Leptosphaeria senegalensis
B48.2	alleschériose
B48.2	alleschériase
B48.2	pétriellidose
B48.2	infection à Allescheria boydii
