M06.3	nodules rhumatoïdes sous-cutanés
M19.95	arthrose sacro-iliaque
M16.9	arthrose de la hanche
M16.9	coxarthrose
M17.9	arthrose du genou
M17.9	gonarthrose
M19.97	arthrose de la cheville et du pied
M19.98	arthrose d'une localisation précisée
M19.99	ostéo-arthrose localisée
M19.99	ostéo-arthropathie localisée
M19.99	arthrose localisée
M15.9	arthrose pluri-articulaire
M15.9	ostéoarthrite généralisée
M15.9	ostéo-arthrose hypertrophique généralisée primaire
M15.9	ostéo-arthrose généralisée
M19.09	ostéo-arthrose primaire localisée
M19.09	ostéo-arthropathie idiopathique localisée
M19.01	ostéo-arthrose primaire des articulations de l'épaule
M19.02	ostéo-arthrose primaire du coude
M19.03	ostéo-arthrose primaire du poignet
M19.04	ostéo-arthrose primaire de la main
M19.05	ostéo-arthrose primaire sacro-iliaque
M16.1	ostéoarthrose primaire de la hanche
M16.1	coxarthrose primaire
M17.1	ostéo-arthrose primaire du genou
M17.1	gonarthrose primaire
M19.07	ostéo-arthrose primaire de la cheville et du pied
M19.08	ostéo-arthrose primaire d'une localisation précisée
M19.00	ostéo-arthrose primaire de localisations multiples
M19.29	ostéo-arthrose localisée secondaire
M19.21	ostéo-arthrose secondaire des articulations de l'épaule
M19.22	ostéo-arthrose secondaire du coude
M19.23	ostéo-arthrose secondaire du poignet
M19.24	ostéo-arthrose secondaire de la main
M19.25	ostéo-arthrose secondaire sacro-iliaque
M16.7	ostéoarthrose secondaire de la hanche
M16.7	coxarthrose secondaire
M17.5	ostéo-arthrose secondaire du genou
M17.5	gonarthrose secondaire
M19.27	ostéo-arthrose secondaire de la cheville et du pied
M19.28	ostéo-arthrose secondaire d'une localisation précisée
M19.20	ostéo-arthrose secondaire de localisations multiples
M16.9	coxarthrose bilatérale sénile
M18.9	arthrose de la première articulation carpo-métacarpienne
M19.99	ostéo-arthrose localisée, primaire ou secondaire
M19.90	ostéo-arthrose avec atteinte de localisations multiples, non généralisée
M12.59	arthropathie d'origine traumatique
M12.59	arthropathie post-traumatique
M12.59	arthropathie traumatique aiguë
M13.89	arthrite allergique
M13.89	arthrite climatérique
M13.89	arthrite de la ménopause
M12.89	arthropathie transitoire
M13.19	monoarthrite, non précisée
M13.19	monoarthrite
M13.15	coxite
M12.89	arthropathie précisée
M13.99	rhumatisme articulaire chronique partiel
M13.99	arthrite sèche
M13.99	rhumatisme osseux partiel
M15.1	nodosité d'Heberden
M15.1	arthrose interphalangienne
M15.2	nodosités de Bouchard
M23.99	lésion articulaire du genou
M23.99	lésion articulaire interne du genou
M23.39	dégénérescence du cartilage ou du ménisque du genou
M23.29	ancienne rupture du cartilage ou du ménisque du genou
M23.29	déchirure ancienne du cartilage ou du ménisque du genou
M23.23	déchirure en anse de seau d'un ménisque interne
M23.31	lésion de la corne antérieure d'un ménisque interne
M23.32	lésion de la corne postérieure d'un ménisque interne
M23.33	dégénérescence du ménisque interne du genou
M23.33	autre lésion non précisée d'un ménisque interne
M23.29	déchirure en anse de seau d'un cartilage non précisé
M23.36	lésion d'un ménisque externe
M23.26	déchirure en anse de seau d'un ménisque externe
M23.34	lésion de la corne antérieure d'un ménisque externe
M23.35	lésion de la corne postérieure d'un ménisque externe
M23.36	autre lésion d'un ménisque externe
M23.39	lésion d'un ménisque
M23.39	lésion d'un cartilage semilunaire
M23.09	kyste d'un cartilage semilunaire
M23.4	corps étranger intra-articulaire du genou
M23.4	souris intra-articulaire du genou
M23.4	grains riziformes d'une articulation du genou
M23.69	déchirure ancienne d'un ligament du genou
M23.64	déchirure ancienne du ligament latéral externe
M23.63	déchirure ancienne du ligament latéral interne
M23.61	déchirure ancienne du ligament croisé antéro-externe
M23.62	déchirure ancienne du ligament croisé postérieur
M23.67	déchirure ancienne de la capsule articulaire du genou
M23.69	déchirure ancienne d'un autre ligament du genou
M22.4	chondromalacie de la rotule
M22.4	rotule chondromalacique
M22.4	dégénérescence du cartilage articulaire de la rotule
M22.4	maladie de Buedinger-Ludloff-Laewen
M22.4	maladie de Büdinger-Ludloff-Lawen
M24.19	lésion du cartilage articulaire
M24.19	atteinte du cartilage articulaire
M24.11	lésion du cartilage articulaire de la région de l'épaule
M24.12	lésion du cartilage articulaire du coude
M24.13	lésion du cartilage articulaire du poignet
M24.14	lésion du cartilage articulaire des articulations de la main
M24.15	lésion du cartilage articulaire de l'articulation sacro-iliaque
M24.15	lésion du cartilage articulaire de la hanche
M24.16	lésion du cartilage articulaire du genou
M24.17	lésion du cartilage articulaire de la cheville et du pied
M24.18	lésion du cartilage articulaire d'une localisation précisée
M24.10	lésion du cartilage articulaire de localisations multiples
M24.19	lésion d'un ménisque, autre que le genou
M24.19	rupture ancienne d'un ménisque, autre que le genou
M24.19	déchirure ancienne d'un ménisque, autre que le genou
M24.29	déchirure ancienne des ligaments articulaires, autre que le genou
M24.09	corps étranger articulaire
M24.09	souris articulaires
M24.09	corps étrangers organiques
M24.09	corps mobile et flottant
M24.09	arthrophytes
M24.09	arthrolithe
M24.39	luxation pathologique d'une articulation
M24.39	luxation d'une articulation
M24.39	luxation ou subluxation d'une articulation, non récidivante et non consécutive à un traumatisme récent
M24.39	luxation spontanée d'une articulation
M24.31	luxation pathologique d'une articulation de l'épaule
M24.32	luxation pathologique du coude
M24.33	luxation pathologique du poignet
M24.34	luxation pathologique des articulations de la main
M24.35	luxation pathologique sacro-iliaque
M24.35	luxation pathologique de la hanche
M24.36	luxation pathologique du genou
M24.37	luxation pathologique de la cheville et du pied
M24.38	luxation pathologique d'une localisation précisée
M24.30	luxation pathologique de localisations multiples
M24.4	luxation récidivante d'une articulation
M24.41	luxation récidivante d'une articulation de l'épaule
M24.42	luxation récidivante du coude
M24.43	luxation récidivante du poignet
M24.44	luxation récidivante des articulations de la main
M24.45	luxation récidivante sacro-iliaque
M24.45	luxation récidivante de la hanche
M24.46	luxation récidivante du genou
M24.47	luxation récidivante de la cheville et du pied
M24.48	luxation récidivante d'une localisation précisée
M24.40	luxation récidivante de localisations multiples
M24.5	contracture articulaire
M24.51	contracture articulaire d'une articulation de l'épaule
M24.52	contracture articulaire du coude
M24.53	contracture articulaire du poignet
M24.54	contractures articulaires des articulations des os de la main
M24.55	contracture articulaire sacro-iliaque
M24.55	contracture articulaire de la hanche
M24.56	contracture articulaire du genou
M24.57	contracture articulaire de la cheville et du pied
M24.58	contracture articulaire d'une localisation précisée
M24.50	contractures articulaires de localisations multiples
M24.61	ankylose articulaire d'une articulation de l'épaule
M24.62	ankylose articulaire du coude
M24.63	ankylose articulaire du poignet
M24.64	ankylose articulaire des articulations de la main
M24.65	ankylose articulaire sacro-iliaque
M24.65	ankylose articulaire de la hanche
M24.66	ankylose articulaire du genou
M24.67	ankylose articulaire de la cheville et du pied
M24.68	ankylose articulaire d'une localisation précisée
M24.60	ankylose articulaire de localisations multiples
M24.75	protrusion acétabulaire
M24.75	bassin de Chrobak
M24.75	maladie d'Otto
M24.75	bassin d'Otto
M25.29	paralysie articulaire paradoxale
M25.39	instabilité articulaire
M25.39	articulation instable
M25.89	autre affection articulaire
M25.49	épanchement articulaire
M25.49	hydarthrose
M25.49	tuméfaction articulaire douloureuse
M25.41	épanchement articulaire de l'épaule
M25.42	épanchement articulaire du coude
M25.43	épanchement articulaire du poignet
M25.44	épanchement articulaire de la main
M25.45	épanchement articulaire sacro-iliaque
M25.45	épanchement articulaire de la hanche
M25.46	épanchement articulaire du genou
M25.47	épanchement articulaire de la cheville et du pied
M25.48	épanchement articulaire d'une localisation précisée
M25.40	épanchement articulaire de localisations multiples
M25.09	hémarthrose
M25.01	hémarthrose de la région de l'épaule
M25.02	hémarthrose du coude
M25.03	hémarthrose du poignet
M25.04	hémarthrose de la main
M25.05	hémarthrose sacro-iliaque
M25.05	hémarthrose de la hanche
M25.06	hémarthrose du genou
M25.07	hémarthrose de la cheville et du pied
M25.08	hémarthrose d'une localisation précisée
M25.00	hémarthrose de localisations multiples
M12.39	rhumatisme palindromique
M12.39	syndrome de Hench-Rosenberg
M12.49	hydarthrose intermittente
M25.89	autre lésion articulaire précisée
M25.89	calcification articulaire
M25.19	fistule articulaire
M48.99	affection de la colonne vertébrale
M48.99	spondylopathie
M48.99	arthropathie vertébrale
M48.99	dorsopathie
M48.99	affection rachidienne
M46.99	spondylite
M46.99	spondylopathie inflammatoire
M45.9	spondylarthrite ankylosante
M45.9	maladie de Bechterew
M45.9	spondylose déformante
M45.9	spondylose rhizomélique
M45.9	maladie de Pierre Marie-Strümpell
M45.9	pelvispondylite rhumatismale
M46.09	enthésopathie spinale
M46.09	enthésopathie rachidienne
M46.18	sacro-iliite
M46.18	inflammation articulaire sacro-iliaque
M49.89*	spondylopathie inflammatoire au cours d'une maladie classée ailleurs
M45	maladie de Gringolo
M45	syndrome de Gringolo
M45	spondylarthrite ankylosante et lésions oculaires
M47.99	spondylose
M47.99	spondylarthrose
M47.89	spondylose sans mention de myélopathie
M47.89	ostéo-arthrite rachidienne
M47.89	spondylarthrose déformante
M47.89	spondylarthrose hypertrophique
M47.89	spondylarthrose dégénérative
M47.82	cervicarthrose sans myélopathie
M47.82	arthrose cervicale
M46.92	spondylarthrite cervicale
M46.92	arthrite cervicale
M47.92	spondylose cervicale
M47.92	spondylarthrose cervicale
M47.84	dorsarthrose sans myélopathie
M47.84	arthrose dorsale
M46.94	arthrite dorsale
M46.94	spondylarthrite dorsale
M47.94	spondylose dorsale
M47.94	spondylarthrose dorsale
M47.87	spondylarthrose lombo-sacrée sans myélopathie
M47.87	arthrose lombo-sacrée
M46.97	arthrite lombo-sacrée
M46.97	spondylarthrite lombo-sacrée
M47.97	spondylose lombo-sacrée
M47.97	spondylarthrose lombo-sacrée
M48.29	arthrose interépineuse
M48.29	ostéo-arthrose interépineuse
M48.29	syndrome de Baastrup
M48.19	hyperostose vertébrale ankylosante
M48.19	maladie de Forestier
M48.39	spondylopathie traumatique
M48.39	maladie de Kümmell
M48.39	spondylite traumatique
M48.39	syndrome de Kümmell-Verneuil
M48.39	spondylite de Kümmell
M47.89	syndrome SAPHO
M51.9	lésion d'un disque intervertébral
M51.8	hernie d'un disque intervertébral, localisation non précisée, sans myélopathie
M51.8	discopathie
M51.8	hernie d'un nucleus pulposus
M51.8	hernie d'un disque intervertébral
M51.8	hernie de l'anneau fibreux d'un disque intervertébral
M51.8	protrusion d'un disque intervertébral
M51.8	prolapsus d'un disque intervertébral
M51.8	rupture d'un disque intervertébral
M50.2	hernie d'un disque intervertébral cervical sans myélopathie
M51.2	hernie d'un disque intervertébral dorsal sans myélopathie
M51.2	hernie d'un disque intervertébral lombaire sans myélopathie
M51.4	nodule de Schmorl
M51.4	hernie intrasomatique
M51.4	nodule de Schmorl de la région dorsale
M51.4	nodule de Schmorl de la région lombaire
M51.4	nodule de Schmorl d'une région précisée
M51.3	détérioration structurale d'un disque intervertébral
M51.3	dégénérescence d'un disque intervertébral
M51.8	pincement discal
M50.3	détérioration structurale d'un disque intervertébral cervico-dorsal
M50.3	détérioration structurale d'un disque intervertébral cervical
M51.3	détérioration structurale d'un disque intervertébral dorsal
M51.3	détérioration structurale d'un disque intervertébral dorso-lombaire
M51.3	détérioration structurale d'un disque intervertébral lombaire
M51.3	détérioration structurale d'un disque intervertébral lombo-sacré
M96.1	syndrome post-laminectomie
M96.1	syndrome post-laminectomie de la région cervicale
M96.1	syndrome post-laminectomie de la région dorsale
M96.1	syndrome post-laminectomie de la région lombaire
M51.8	calcification d'un cartilage ou d'un disque intervertébral
M50.8	calcification d'un cartilage ou d'un disque intervertébral de la région cervicale
M51.8	calcification d'un cartilage ou d'un disque intervertébral de la région dorsale
M51.8	calcification d'un cartilage ou d'un disque intervertébral de la région lombaire
M46.49	discite
M46.42	discite de la région cervicale
M46.44	discite de la région dorsale
M46.46	discite de la région lombaire
M48.02	sténose du canal médullaire de la région cervicale
M48.02	rétrécissement du canal médullaire cervical
M53.0	syndrome de Fuchs
M53.0	syndrome de Barré et Liéou
M53.0	syndrome sympathique cervical postérieur
M54.12	névrite brachiale
M54.12	radiculite brachiale
M54.12	radiculite cervicale
M54.12	syndrome radiculaire des membres supérieurs
M43.6	torticolis
M43.6	contracture cervicale
M43.6	maladie de Grisel
M43.6	torticolis naso-pharyngien
M43.6	torticolis atloïdo-axoïdien
M48.82	ossification du ligament longitudinal postérieur de la région cervicale
M50.9	syndrome cervical
M53.9	affection musculo-squelettique du cou non précisée
M53.9	affection de la région cervicale
M53.9	affection du dos
M43.29	ankylose de la colonne vertébrale
M43.20	ankylose complète de la colonne vertébrale
M43.20	colonne vertébrale en bambou
M54.1	compression de la racine d'un nerf rachidien
M48.09	sténose rachidienne
M48.09	sténose rachidienne autre que cervicale
M48.04	sténose rachidienne dorsale
M48.04	sténose rachidienne thoracique
M48.06	sténose rachidienne lombaire
M48.09	sténose rachidienne d'une région précisée
M54.5	lumbago
M54.5	douleur lombaire
M54.5	lombalgie
M54.5	syndrome de douleur lombaire basse
M54.5	lombalgie aiguë
M54.3	sciatique
M54.3	sciatalgie
M54.3	névralgie sciatique
M54.3	syndrome de Putti
M54.3	syndrome vertébral lombaire
M54.3	syndrome vertébral
M54.3	sciatique vertébrale
M54.3	syndrome Putti-Chavany
M54.3	sciatique paralysante
M54.1	névrite thoracique
M54.1	radiculite thoracique
M54.1	névrite lombo-sacrée
M54.1	radiculite lombo-sacrée
M54.1	syndrome radiculaire des membres inférieurs
M54.9	dorsalgie
M54.9	dorsolombalgie
M54.9	douleurs d'origine vertébrale
M53.3	affection du sacrum
M43.2	ankylose de l'articulation lombo-sacrée
M24.65	ankylose de l'articulation sacro-iliaque
M53.2	instabilité de l'articulation lombo-sacrée
M25.35	instabilité de l'articulation sacro-iliaque
M53.3	affection du coccyx
M53.3	hypermobilité du coccyx
M53.3	affection précisée du coccyx
M43.4	subluxation atloïdo-axoïdienne
M48.89	ossification du ligament longitudinal postérieur
M77.99	enthésopathie de localisation non précisée
M77.99	capsulite
M77.99	périarthrite
M77.89	périarthrite calcifiante aiguë
M77.99	tendinite
M77.88	tendinite calcifiante rétropharyngée
M75.8	affection d'une bourse de la région de l'épaule
M75.8	affection d'un tendon de la région de l'épaule
M75.1	syndrome de la coiffe des rotateurs
M75.1	syndrome sus-épineux
M75.0	épaule bloquée
M75.0	maladie de Duplay
M75.0	périarthrite scapulo-humérale ankylosante
M75.0	capsulite rétractile de l'épaule
M75.0	épaule gelée
M75.3	tendinite calcifiante de l'épaule
M75.5	tendinite calcifiante des courts rotateurs de l'épaule
M75.2	ténosynovite du biceps
M75.5	bursite sous-coracoïdienne
M75.0	périarthrite de l'épaule
M89.0	syndrome épaule-main
M89.0	rhumatisme neurotrophique du membre supérieur
M75.8	syndrome scapulo-costal
M75.8	affection précisée de la région de l'épaule
M77.82	enthésopathie de la région du coude
M77.82	enthésopathie du coude
M77.1	épicondylite
M77.0	épitrochléite
M77.1	épicondylite latérale
M77.1	épicondylite des joueurs de golf
M77.1	épicondylite des joueurs de tennis
M70.2	bursite olécrânienne
M70.2	bursite du coude
M77.82	enthésopathie précisée du coude
M77.83	enthésopathie du poignet et du carpe
M71.53	bursite du poignet
M70.1	bursite de la main
M77.2	périarthrite du poignet
M76.85	enthésopathie de la région de la hanche
M70.7	bursite de la hanche
M67.3	coxite transitoire
M76.0	tendinite fessière
M76.2	exostose de la crête iliaque
M76.1	tendinite du psoas
M70.6	tendinite trochantérienne
M76.86	enthésopathie du genou
M70.5	bursite du genou
M76.86	tendinite de la patte d'oie
M71.56	bursite de la patte d'oie
M76.4	bursite du ligament latéral interne du genou
M76.4	syndrome de Pellegrini-Stieda
M76.4	ossification du ligament latéral interne du genou
M71.56	bursite du ligament latéral externe du genou
M76.5	tendinite rotulienne
M70.4	bursite prérotulienne
M70.5	bursite sous-rotulienne
M70.5	bursite rétro-rotulienne
M77.5	enthésopathie de la cheville et du tarse
M10.97	podagre
M76.6	bursite du tendon d'Achille
M76.6	talalgie de Swediaur
M76.6	maladie de Schanz
M76.6	syndrome de Haglund
M76.6	ténosite achilléenne
M76.6	achilléite
M76.6	tendinite achilléenne
M76.86	tendinite tibiale
M76.86	tendinite tibiale antérieure
M76.86	tendinite tibiale postérieure
M77.3	épine calcanéenne
M77.3	éperon calcanéen
M76.7	tendinite péronière
M77.5	enthésopathie précisée de la cheville et du tarse
M77.8	enthésopathie précisée périphérique
M67.9	affection d'une synoviale
M67.9	affection d'un tendon
M71.9	affection d'une bourse
M67.8	hernie synoviale
M65.99	synovite
M65.89	synovite séreuse aiguë
M65.89	synovite proliférante
M65.89	synovite hypertrophique
M12.29	synovite villo-nodulaire
M12.29	synovite villo-nodulaire pigmentaire
M12.29	synovite villeuse hémopigmentée
M12.29	synovite polypoïde hémopigmentée
M12.29	synovite villeuse
M65.99	ténosynovite
M65.99	ténovaginite
M65.89	synovite crépitante
M65.89	ténosynovite aiguë sèche
M65.89	ténalgie crépitante
M65.89	ténosynovite sténosante
M65.89	ténosynovite constrictive
M65.89	ténosynovite nodulaire
M68.0*	synovite ou ténosynovite au cours d'une maladie classée ailleurs
M65.3	doigt à ressort acquis
M65.3	pouce à ressort
M65.4	ténosynovite chronique sténosante
M65.4	maladie de de Quervain
M65.84	ténosynovite de la main et du poignet
M65.87	ténosynovite du pied et de la cheville
M20.1	bursite du gros orteil
M20.1	oignon du gros orteil
M20.1	oignon de tailleur
M70.89	bursite spécifique d'origine professionnelle
M70.3	bursite du coude par traumatisme répété
M70.1	bursite de la main par traumatisme répété
M70.4	bursite prépatellaire par traumatisme répété
M70.4	bursite prérotulienne par traumatisme répété
M70.0	synovite crépitante chronique du poignet
M70.2	coude des mineurs
M70.5	genou des mineurs
M71.99	bursite
M71.59	bursite aiguë
M71.59	bursite subaiguë
M71.59	bursite chronique
M71.19	bourse séreuse infectée
M71.19	bursite infectieuse
M71.39	kyste arthrosynovial
M67.4	kyste de la gaine tendineuse
M79.89	kyste aponévrotique
M66.19	déchirure de la synoviale
M71.2	kyste synovial poplité
M71.2	kyste poplité
M71.2	kyste de Baker
M66.59	déchirure non traumatique d'un tendon
M75.1	rupture complète de la coiffe des rotateurs
M66.32	déchirure du tendon du long biceps
M66.24	déchirure des tendons extenseurs de la main et du poignet
M66.34	déchirure des tendons fléchisseurs de la main et du poignet
M66.25	déchirure d'un tendon du quadriceps
M66.46	déchirure d'un tendon rotulien
M66.27	déchirure du tendon d'Achille
M66.47	déchirure de tendons précisés du pied et de la cheville
M67.8	affections précisées des synoviales, des tendons et des bourses
M67.1	contracture d'une gaine tendineuse
M67.0	brièveté acquise du tendon d'Achille
M65.29	dépôts calciques d'un tendon et d'une bourse séreuse
M65.29	ostéodesmose
M65.29	calcification tendineuse
M65.29	tendinite calcifiée
M71.0	abcès des bourses séreuses
M65.0	abcès tendineux
M62.99	affection musculaire
M79.1	polymyalgie
M24.29	affection ligamentaire
M62.89	affection aponévrotique
M79.99	affection des tissus mous
M60.09	myosite infectieuse
M60.09	myosite purulente
M60.09	myosite suppurée
M61.99	calcification musculaire
M61.29	calcification massive liée à une paraplégie
M61.99	ossification musculaire
M61.99	myosite ossifiante
M61.19	myosite ossifiante progressive
M61.19	maladie de Münchmeyer
M61.19	polymyosite ossifiante progressive
M61.09	myosite ossifiante traumatique
M61.59	myosite ossifiante localisée
M61.49	calcification hétérotopique post-opératoire
M61.19	polymyosite ossifiante
M62.50	amyotrophie
M62.50	atrophie des muscles
M62.50	fonte musculaire
M62.50	atrophie musculaire
M62.50	myatrophie
M62.89	myomalacie
M62.59	atrophie musculaire ischémique
M62.89	myofibrose
M62.59	atrophie musculaire due à l'inactivité
M62.89	arthrogrypose
M62.39	syndrome d'immobilité paraplégique
M62.89	autre affection musculaire précisée
M79.19	syndrome d'éosinophilie-myalgies
M24.29	laxité ligamentaire
M35.7	syndrome d'hypermobilité
M72.0	rétraction de l'aponévrose palmaire
M72.0	maladie de Dupuytren
M72.0	fibromatose palmaire
M72.84	fibromatose digitale
M72.84	fibromatose digitale infantile
