S58.922D	amputation traumatique partielle de l'avant-bras gauche, niveau non spécifié, contact subséquent
S59.039A	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus, côté non spécifié, contact initial pour une fracture fermée
S59.039D	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation normale
S59.039G	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation retardée
S59.039K	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour pseudarthrose
S59.039P	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.039S	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus, côté non spécifié, séquelle
S59.041A	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus droit, contact initial pour une fracture fermée
S59.041D	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation normale
S59.041G	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation retardée
S59.041K	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus droit, contact subséquent pour pseudarthrose
S59.041P	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus droit, contact subséquent pour une fracture avec cal vicieux
S59.041S	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus droit, séquelle
S59.042A	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus gauche, contact initial pour une fracture fermée
S59.042D	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation normale
S59.042G	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation retardée
S59.042K	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus gauche, contact subséquent pour pseudarthrose
S59.042P	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus gauche, contact subséquent pour une fracture avec cal vicieux
S59.042S	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus gauche, séquelle
S59.049A	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus, côté non spécifié, contact initial pour une fracture fermée
S59.049D	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation normale
S59.049G	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation retardée
S59.049K	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour pseudarthrose
S59.049P	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.049S	fracture épiphysaire de Salter-Harris type IV de l'extrémité distale du cubitus, côté non spécifié, séquelle
S59.091A	autre fracture épiphysaire de l'extrémité distale du cubitus droit, contact initial pour une fracture fermée
S59.091D	autre fracture épiphysaire de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation normale
S59.091G	autre fracture épiphysaire de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation retardée
S59.091K	autre fracture épiphysaire de l'extrémité distale du cubitus droit, contact subséquent pour pseudarthrose
S59.091P	autre fracture épiphysaire de l'extrémité distale du cubitus droit, contact subséquent pour une fracture avec cal vicieux
S59.091S	autre fracture épiphysaire de l'extrémité distale du cubitus droit, séquelle
S59.092A	autre fracture épiphysaire de l'extrémité distale du cubitus gauche, contact initial pour une fracture fermée
S59.092D	autre fracture épiphysaire de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation normale
S59.092G	autre fracture épiphysaire de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation retardée
S59.092K	autre fracture épiphysaire de l'extrémité distale du cubitus gauche, contact subséquent pour pseudarthrose
S59.092P	autre fracture épiphysaire de l'extrémité distale du cubitus gauche, contact subséquent pour une fracture avec cal vicieux
S59.092S	autre fracture épiphysaire de l'extrémité distale du cubitus gauche, séquelle
S59.099A	autre fracture épiphysaire de l'extrémité distale du cubitus, côté non spécifié, contact initial pour une fracture fermée
S59.099D	autre fracture épiphysaire de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation normale
S59.099G	autre fracture épiphysaire de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation retardée
S59.099K	autre fracture épiphysaire de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour pseudarthrose
S59.099P	autre fracture épiphysaire de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.099S	autre fracture épiphysaire de l'extrémité distale du cubitus, côté non spécifié, séquelle
S59.101A	fracture épiphysaire non spécifiée de l'extrémité proximale du radius droit, contact initial pour une fracture fermée
S59.101D	fracture épiphysaire non spécifiée de l'extrémité proximale du radius droit, contact subséquent pour une consolidation normale
S59.101G	fracture épiphysaire non spécifiée de l'extrémité proximale du radius droit, contact subséquent pour une consolidation retardée
S59.101K	fracture épiphysaire non spécifiée de l'extrémité proximale du radius droit, contact subséquent pour pseudarthrose
S59.101P	fracture épiphysaire non spécifiée de l'extrémité proximale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.101S	fracture épiphysaire non spécifiée de l'extrémité proximale du radius droit, séquelle
S59.102A	fracture épiphysaire non spécifiée de l'extrémité proximale du radius gauche, contact initial pour une fracture fermée
S59.102D	fracture épiphysaire non spécifiée de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation normale
S59.102G	fracture épiphysaire non spécifiée de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation retardée
S59.102K	fracture épiphysaire non spécifiée de l'extrémité proximale du radius gauche, contact subséquent pour pseudarthrose
S59.102P	fracture épiphysaire non spécifiée de l'extrémité proximale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.102S	fracture épiphysaire non spécifiée de l'extrémité proximale du radius gauche, séquelle
S59.109A	fracture épiphysaire non spécifiée de l'extrémité proximale du radius, côté non spécifié, contact initial pour une fracture fermée
S59.109D	fracture épiphysaire non spécifiée de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation normale
S59.109G	fracture épiphysaire non spécifiée de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation retardée
S59.109K	fracture épiphysaire non spécifiée de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour pseudarthrose
S59.109P	fracture épiphysaire non spécifiée de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.109S	fracture épiphysaire non spécifiée de l'extrémité proximale du radius, côté non spécifié, séquelle
S59.111A	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius droit, contact initial pour une fracture fermée
S59.111D	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius droit, contact subséquent pour une consolidation normale
S59.111G	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius droit, contact subséquent pour une consolidation retardée
S59.111K	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius droit, contact subséquent pour pseudarthrose
S59.111P	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.111S	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius droit, séquelle
S59.112A	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius gauche, contact initial pour une fracture fermée
S59.112D	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation normale
S59.112G	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation retardée
S59.112K	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius gauche, contact subséquent pour pseudarthrose
S59.112P	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.112S	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius gauche, séquelle
S59.119A	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius, côté non spécifié, contact initial pour une fracture fermée
S59.119D	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation normale
S59.119G	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation retardée
S59.119K	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour pseudarthrose
S59.119P	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.119S	fracture épiphysaire de Salter-Harris type I de l'extrémité proximale du radius, côté non spécifié, séquelle
S59.121A	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius droit, contact initial pour une fracture fermée
S59.121D	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius droit, contact subséquent pour une consolidation normale
S59.121G	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius droit, contact subséquent pour une consolidation retardée
S59.121K	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius droit, contact subséquent pour pseudarthrose
S59.121P	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.121S	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius droit, séquelle
S59.122A	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius gauche, contact initial pour une fracture fermée
S59.122D	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation normale
S59.122G	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation retardée
S59.122K	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius gauche, contact subséquent pour pseudarthrose
S59.122P	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.122S	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius gauche, séquelle
S59.129A	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius, côté non spécifié, contact initial pour une fracture fermée
S59.129D	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation normale
S59.129G	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation retardée
S59.129K	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour pseudarthrose
S59.129P	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.129S	fracture épiphysaire de Salter-Harris type II de l'extrémité proximale du radius, côté non spécifié, séquelle
S59.131A	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius droit, contact initial pour une fracture fermée
S59.131D	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius droit, contact subséquent pour une consolidation normale
S59.131G	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius droit, contact subséquent pour une consolidation retardée
S59.131K	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius droit, contact subséquent pour pseudarthrose
S59.131P	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.131S	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius droit, séquelle
S59.132A	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius gauche, contact initial pour une fracture fermée
S59.132D	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation normale
S59.132G	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation retardée
S59.132K	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius gauche, contact subséquent pour pseudarthrose
S59.132P	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.132S	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius gauche, séquelle
S59.139A	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius, côté non spécifié, contact initial pour une fracture fermée
S59.139D	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation normale
S59.139G	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation retardée
S59.139K	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour pseudarthrose
S59.139P	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.139S	fracture épiphysaire de Salter-Harris type III de l'extrémité proximale du radius, côté non spécifié, séquelle
S59.141A	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius droit, contact initial pour une fracture fermée
S59.141D	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius droit, contact subséquent pour une consolidation normale
S59.141G	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius droit, contact subséquent pour une consolidation retardée
S59.141K	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius droit, contact subséquent pour pseudarthrose
S59.141P	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.141S	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius droit, séquelle
S59.142A	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius gauche, contact initial pour une fracture fermée
S59.142D	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation normale
S59.142G	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation retardée
S59.142K	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius gauche, contact subséquent pour pseudarthrose
S59.142P	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.142S	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius gauche, séquelle
S59.149A	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius, côté non spécifié, contact initial pour une fracture fermée
S59.149D	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation normale
S59.149G	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation retardée
S59.149K	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour pseudarthrose
S59.149P	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.149S	fracture épiphysaire de Salter-Harris type IV de l'extrémité proximale du radius, côté non spécifié, séquelle
S59.191A	autre fracture épiphysaire de l'extrémité proximale du radius droit, contact initial pour une fracture fermée
S59.191D	autre fracture épiphysaire de l'extrémité proximale du radius droit, contact subséquent pour une consolidation normale
S59.191G	autre fracture épiphysaire de l'extrémité proximale du radius droit, contact subséquent pour une consolidation retardée
S59.191K	autre fracture épiphysaire de l'extrémité proximale du radius droit, contact subséquent pour pseudarthrose
S59.191P	autre fracture épiphysaire de l'extrémité proximale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.191S	autre fracture épiphysaire de l'extrémité proximale du radius droit, séquelle
S59.192A	autre fracture épiphysaire de l'extrémité proximale du radius gauche, contact initial pour une fracture fermée
S59.192D	autre fracture épiphysaire de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation normale
S59.192G	autre fracture épiphysaire de l'extrémité proximale du radius gauche, contact subséquent pour une consolidation retardée
S59.192K	autre fracture épiphysaire de l'extrémité proximale du radius gauche, contact subséquent pour pseudarthrose
S59.192P	autre fracture épiphysaire de l'extrémité proximale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.192S	autre fracture épiphysaire de l'extrémité proximale du radius gauche, séquelle
S59.199A	autre fracture épiphysaire de l'extrémité proximale du radius, côté non spécifié, contact initial pour une fracture fermée
S59.199D	autre fracture épiphysaire de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation normale
S59.199G	autre fracture épiphysaire de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une consolidation retardée
S59.199K	autre fracture épiphysaire de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour pseudarthrose
S59.199P	autre fracture épiphysaire de l'extrémité proximale du radius, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.199S	autre fracture épiphysaire de l'extrémité proximale du radius, côté non spécifié, séquelle
S59.201A	fracture épiphysaire non spécifiée de l'extrémité distale du radius droit, contact initial pour une fracture fermée
S59.201D	fracture épiphysaire non spécifiée de l'extrémité distale du radius droit, contact subséquent pour une consolidation normale
S59.201G	fracture épiphysaire non spécifiée de l'extrémité distale du radius droit, contact subséquent pour une consolidation retardée
S59.201K	fracture épiphysaire non spécifiée de l'extrémité distale du radius droit, contact subséquent pour pseudarthrose
S59.201P	fracture épiphysaire non spécifiée de l'extrémité distale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.201S	fracture épiphysaire non spécifiée de l'extrémité distale du radius droit, séquelle
S59.202A	fracture épiphysaire non spécifiée de l'extrémité distale du radius gauche, contact initial pour une fracture fermée
S59.202D	fracture épiphysaire non spécifiée de l'extrémité distale du radius gauche, contact subséquent pour une consolidation normale
S59.202G	fracture épiphysaire non spécifiée de l'extrémité distale du radius gauche, contact subséquent pour une consolidation retardée
S59.202K	fracture épiphysaire non spécifiée de l'extrémité distale du radius gauche, contact subséquent pour pseudarthrose
S59.202P	fracture épiphysaire non spécifiée de l'extrémité distale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.202S	fracture épiphysaire non spécifiée de l'extrémité distale du radius gauche, séquelle
S59.209A	fracture épiphysaire non spécifiée de l'extrémité distale du radius, côté non spécifié, contact initial pour une fracture fermée
S59.209D	fracture épiphysaire non spécifiée de l'extrémité distale du radius, côté non spécifié, contact subséquent pour une consolidation normale
S59.209G	fracture épiphysaire non spécifiée de l'extrémité distale du radius, côté non spécifié, contact subséquent pour une consolidation retardée
S59.209K	fracture épiphysaire non spécifiée de l'extrémité distale du radius, côté non spécifié, contact subséquent pour pseudarthrose
S59.209P	fracture épiphysaire non spécifiée de l'extrémité distale du radius, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.209S	fracture épiphysaire non spécifiée de l'extrémité distale du radius, côté non spécifié, séquelle
S59.211A	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius droit, contact initial pour une fracture fermée
S59.211D	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius droit, contact subséquent pour une consolidation normale
S59.211G	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius droit, contact subséquent pour une consolidation retardée
S59.211K	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius droit, contact subséquent pour pseudarthrose
S59.211P	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius droit, contact subséquent pour une fracture avec cal vicieux
S59.211S	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius droit, séquelle
S59.212A	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius gauche, contact initial pour une fracture fermée
S59.212D	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius gauche, contact subséquent pour une consolidation normale
S59.212G	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius gauche, contact subséquent pour une consolidation retardée
S59.212K	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius gauche, contact subséquent pour pseudarthrose
S59.212P	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius gauche, contact subséquent pour une fracture avec cal vicieux
S59.212S	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius gauche, séquelle
S59.219A	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du radius, côté non spécifié, contact initial pour une fracture fermée
