Q17.2	microtie
Q27.31	malformation artérioveineuse d'un vaisseau d'un membre supérieur
Q27.32	malformation artérioveineuse de vaisseau d'un membre inférieur
Q27.33	malformation artérioveineuse d'un vaisseau du système digestif
Q27.34	malformation artérioveineuse d'un vaisseau rénal
Q27.39	malformation artérioveineuse, autre site
Q27.4	phlébectasie congénitale
Q27.8	d'autres malformations congénitales spécifiées du système vasculaire périphérique
Q27.9	malformation congénitale du système vasculaire périphérique, non spécifiée
Q28.0	malformation artérioveineuse des vaisseaux précérébraux
Q28.1	d'autres malformations des vaisseaux précérébraux
Q28.2	malformation artérioveineuse des vaisseaux cérébraux
Q28.3	d'autres malformations de vaisseaux cérébraux
Q28.8	d'autres malformations congénitales spécifiées du système circulatoire
Q28.9	malformation congénitale du système circulatoire, non spécifiée
Q30.0	atrésie des choanes
Q30.1	agénésie et hypoplasie du nez
Q30.2	fissure, échancrure et fente nasales
Q30.3	perforation congénitale de la cloison nasale
Q30.8	d'autres malformations congénitales du nez
Q30.9	malformation congénitale du nez, non spécifiée
Q31.0	ptérygion du larynx
Q31.1	sténose sous-glottique congénitale
Q31.2	hypoplasie du larynx
Q31.3	laryngocèle
Q31.5	laryngomalacie congénitale
Q31.8	d'autres malformations congénitales du larynx
Q31.9	malformation congénitale du larynx, non spécifiée
Q32.0	trachéomalacie congénitale
Q32.1	d'autres malformations congénitales de la trachée
Q32.2	bronchomalacie congénitale
Q32.3	sténose bronchique congénitale
Q32.4	d'autres malformations congénitales des bronches
Q33.0	poumon kystique congénital
Q33.1	lobe pulmonaire surnuméraire
Q33.2	séquestration pulmonaire
Q33.3	agénésie du poumon
Q33.4	bronchectasie congénitale
Q33.5	tissu ectopique intrapulmonaire
Q33.6	hypoplasie et dysplasie du poumon
Q33.8	d'autres malformations congénitales du poumon
Q33.9	malformation congénitale du poumon, non spécifiée
Q34.0	anomalie de la plèvre
Q34.1	kyste congénital du médiastin
Q34.8	d'autres malformations congénitales spécifiées du système respiratoire
Q34.9	malformation congénitale du système respiratoire, non spécifiée
Q35.1	fente de la voûte du palais
Q35.3	fente de la voile du palais
Q35.5	fente de la voûte et de la voile du palais
Q35.7	fente de la luette
Q35.9	fente du palais, non spécifiée
Q36.0	fente labiale, bilatérale
Q36.1	fente labiale, médiane
Q36.9	fente labiale, unilatérale
Q37.0	fente labiale bilatérale avec une fente de la voûte du palais
Q37.1	fente labiale unilatérale avec une fente de la voûte du palais
Q37.2	fente labiale bilatérale avec une fente de la voile du palais
Q37.3	fente labiale unilatérale avec une fente de la voile du palais
Q37.4	fente labiale bilatérale avec une fente de la voûte et de la voile du palais
Q37.5	fente labiale unilatérale avec une fente de la voûte et de la voile du palais
Q37.8	fente labiale bilatérale avec une fente palatine non spécifiée
Q37.9	fente labiale unilatérale avec une fente palatine non spécifiée
Q38.0	malformations congénitales des lèvres, non classées ailleurs
Q38.1	ankyloglossie
Q38.2	macroglossie
Q38.3	d'autres malformations congénitales de la langue
Q38.4	malformations congénitales des glandes et des canaux salivaires
Q38.5	malformations congénitales du palais, non classées ailleurs
Q38.6	d'autres malformations congénitales de la bouche
Q38.7	poche pharyngée congénitale
Q38.8	d'autres malformations congénitales du pharynx
Q39.0	atrésie de l'oesophage sans fistule
Q40.1	hernie hiatale congénitale
Q40.2	d'autres malformations congénitales spécifiées de l'estomac
Q40.3	malformation congénitale de l'estomac, non spécifiée
Q40.8	d'autres malformations congénitales spécifiées du système digestif supérieur
Q40.9	malformation congénitale du système digestif supérieur, non spécifiée
Q41.0	absence, atrésie et sténose congénitales du duodénum
Q41.1	absence, atrésie et sténose congénitales du jéjunum
Q41.2	absence, atrésie et sténose congénitales de l'iléon
Q41.8	absence, atrésie et sténose congénitales d'autres parties spécifiées de l'intestin grêle
Q41.9	absence, atrésie et sténose congénitales de l'intestin grêle, partie non spécifiée
Q42.0	absence, atrésie et sténose congénitales du rectum avec une fistule
Q42.1	absence, atrésie et sténose congénitales du rectum sans fistule
Q42.2	absence, atrésie et sténose congénitales de l'anus avec une fistule
Q42.3	absence, atrésie et sténose congénitales de l'anus sans fistule
Q42.8	absence, atrésie et sténose congénitales d'autres parties du côlon
Q42.9	absence, atrésie et sténose congénitales du côlon, partie non spécifiée
Q43.0	diverticule de Meckel
Q43.0	diverticule de Meckel déplacé
Q43.0	diverticule de Meckel hypertrophique
Q43.1	maladie de Hirschsprung
Q43.2	d'autres troubles fonctionnels congénitaux du côlon
Q43.3	malformations congénitales de la fixation d'un intestin
Q43.4	duplication de l'intestin
Q43.5	ectopie de l'anus
Q43.6	fistule congénitale du rectum et de l'anus
Q43.7	persistance d'un cloaque
Q43.8	d'autres malformations congénitales spécifiées de l'intestin
Q43.9	malformation congénitale de l'intestin, non spécifiée
Q44.0	agénésie, aplasie et hypoplasie de la vésicule biliaire
Q44.1	d'autres malformations congénitales de la vésicule biliaire
Q44.2	atrésie des voies biliaires
Q44.3	sténose et rétrécissement congénitaux des voies biliaires
Q44.4	kyste du cholédoque
Q44.5	d'autres malformations congénitales des voies biliaires
Q44.6	maladie kystique du foie
Q44.7	d'autres malformations congénitales du foie
Q45.0	agénésie, aplasie et hypoplasie du pancréas
Q45.1	pancréas annulaire
Q45.2	kyste pancréatique congénital
Q45.3	d'autres malformations congénitales du pancréas et du canal pancréatique
Q45.8	d'autres malformations congénitales spécifiées du système digestif
Q45.9	malformation congénitale du système digestif, non spécifiée
Q50.1	absence congénitale de l'ovaire, unilatérale
Q50.2	absence congénitale de l'ovaire, bilatérale
Q50.1	kyste ovarien au cours du développement
Q50.2	torsion congénitale de l'ovaire
Q50.31	ovaire surnuméraire
Q50.32	aplasie ovarienne
Q50.39	d'autres malformation congénitale de l'ovaire
Q50.4	kyste embryonnaire de la trompe de Fallope
Q50.5	kyste embryonnaire du ligament large
Q50.6	d'autres malformations congénitales des trompes de Fallope et des ligaments larges
Q51.0	agénésie et aplasie de l'utérus
Q51.10	utérus double avec une duplication du col de l'utérus et du vagin, sans obstruction
Q51.11	utérus double avec une duplication du col de l'utérus et du vagin, avec une obstruction
Q51.2	autre duplication de l'utérus
Q51.3	utérus bicorne
Q51.4	utérus unicorne
Q51.5	agénésie et aplasie du col de l'utérus
Q51.6	kyste embryonnaire du col de l'utérus
Q51.7	fistules congénitales utéro-digestives et utéro-urinaires
Q51.810	utérus arciforme
Q51.811	hypoplasie de l'utérus
Q51.818	d'autres malformations congénitales de l'utérus
Q51.820	duplication du col de l'utérus
Q51.821	hypoplasie du col de l'utérus
Q51.828	d'autres malformations congénitales du col de l'utérus
Q51.9	malformation congénitale de l'utérus et du col de l'utérus, non spécifiée
Q52.0	absence congénitale du vagin
Q52.10	duplication du vagin, non spécifiée
Q52.11	septum transversal du vagin
Q52.12	septum longitudinal du vagin
Q52.2	fistule recto-vaginale congénitale
Q52.3	imperforation du hymen
Q52.4	d'autres malformations congénitales du vagin
Q52.5	fusion des lèvres de la vulve
Q52.6	malformation congénitale du clitoris
Q52.70	malformation congénitale non spécifiée de la vulve
Q52.71	absence congénitale de la vulve
Q52.79	d'autres malformations congénitales de la vulve
Q52.8	d'autres malformations congénitales spécifiées des organes génitaux de la femme
Q52.9	malformation congénitale des organes génitaux de la femme, non spécifiée
Q53.0	testicule ectopique, non spécifié
Q53.1	testicule ectopique, unilatéral
Q53.2	testicule ectopiques, bilatéral
Q53.10	cryptorchidie non spécifiée, unilatérale
Q53.11	testicule abdominal, unilatéral
Q53.12	testicule périnéal ectopique, unilatéral
Q53.20	cryptorchidie non spécifiée, bilatérale
Q53.21	testicule abdominal, bilatéral
Q53.22	testicule périnéal ectopique, bilatéral
Q53.9	cryptorchidie, non spécifiée
Q54.0	hypospadias balanique
Q54.1	hypospadias pénien
Q54.2	hypospadias pénoscrotal
Q54.3	hypospadias périnéal
Q54.4	chordée congénitale
Q54.8	autre hypospadias
Q54.9	hypospadias, non spécifié
Q55.0	absence et aplasie du testicule
Q55.1	hypoplasie du testicule et du scrotum
Q55.20	malformations congénitales non spécifiées du testicule et du scrotum
Q55.21	polyorchidie
Q55.22	testicule rétractile
Q55.23	transposition scrotale
Q55.29	d'autres malformations congénitales du testicule et du scrotum
Q55.3	atrésie du canal déférent
Q55.4	d'autres malformations congénitales du canal déférent, de l'épididyme, des vésicules séminales et de la prostate
Q55.5	absence et aplasie congénitales du pénis
Q55.61	courbure du pénis
Q55.61	courbure du pénis latérale
Q55.62	hypoplasie du pénis
Q55.63	torsion congénitale du pénis
Q55.64	pénis caché
Q55.69	autre malformation congénitale du pénis
Q55.7	fistule congénitale vaso-cutanée
Q55.8	d'autres malformations congénitales spécifiées des organes génitaux masculins
Q55.9	malformation congénitale des organes génitaux masculins, non spécifiée
Q56.0	hermaphrodisme, non classé ailleurs
Q56.1	pseudo-hermaphrodisme masculin, non classé ailleurs
Q56.2	pseudo-hermaphrodisme féminin, non classé ailleurs
Q56.3	pseudo-hermaphrodisme, non spécifié
Q56.4	sexe indéterminé, non spécifié
Q60.0	agénésie rénale, unilatérale
Q60.1	agénésie rénale, bilatérale
Q60.2	agénésie rénale, non spécifiée
Q60.3	hypoplasie rénale unilatérale
Q60.4	hypoplasie rénale bilatérale
Q60.5	hypoplasie rénale, non spécifiée
Q60.6	syndrome de Potter
Q61.0	kyste rénal congénital, non spécifié
Q61.1	kyste rénal congénital simple
Q61.2	kyste rénal congénital multiple
Q61.11	dilatation kystique des canaux collecteurs
Q61.19	autre rein polykystique, type infantile
Q61.2	rein polykystique, type adulte
Q61.3	rein polykystique, non spécifié
Q61.4	dysplasie rénale
Q61.5	rein kystique médullaire
Q61.8	d'autres maladies kystiques de rein
Q61.9	maladie kystique du rein, non spécifiée
Q62.0	hydronéphrose congénitale
Q62.10	occlusion congénitale de l'uretère, non spécifiée
Q62.11	occlusion congénitale de la jonction urétéro-pelvienne
Q62.12	occlusion congénitale de l'orifice urétéro-vésicale
Q62.2	méga-uretère congénital
Q62.31	urétérocèle congénitale, orthotopique
Q62.32	caeco-urétérocèle
Q62.39	d'autres anomalies obstructives du bassinet et de l'uretère
Q62.4	agénésie de l'uretère
Q62.5	duplication de l'uretère
Q62.60	malposition de l'uretère, non spécifiée
Q62.61	déviation de l'uretère
Q62.62	déplacement de l'uretère
Q62.63	anomalie de l'implantation de l'uretère
Q62.69	autre malposition de l'uretère
Q62.7	reflux vésico-urétéro-rénal congénital
Q62.8	d'autres malformations congénitales de l'uretère
Q63.0	rein surnuméraire
Q63.1	rein lobulé, soudé et en fer à cheval
Q63.2	rein ectopique
Q63.3	rein hyperplasique et géant
Q63.8	d'autres malformations congénitales spécifiées du rein
Q63.9	malformation congénitale du rein, non spécifiée
Q64.0	épispadias
Q64.10	exstrophie de la vessie, non spécifiée
Q64.11	fissure supra-vésicale de la vessie
Q64.12	extrophie cloacale de la vessie
Q64.19	autre exstrophie de la vessie
Q64.2	valvules urétrales postérieures congénitales
Q64.31	obstruction congénitale du col de la vessie
Q64.32	stricture congénitale de l'urètre
Q64.33	stricture congénitale du méat urinaire
Q64.39	autre atrésie et sténose de l'urètre et du col de la vessie
Q64.4	malformation de l'ouraque
Q64.5	absence congénitale de la vessie et de l'urètre
Q64.6	diverticule congénital de la vessie
Q64.70	malformation congénitale de la vessie et de l'urètre non spécifiée
Q64.71	prolapsus congénital de l'urètre
Q64.72	prolapsus congénital du méat urinaire
Q64.73	fistule congénitale urétro-rectale
Q64.74	double urètre
Q64.75	double méat urinaire
Q64.79	d'autres malformations congénitales de la vessie et de l'urètre
Q64.8	d'autres malformations congénitales spécifiées du système urinaire
Q64.9	malformation congénitale du système urinaire, non spécifiée
Q65.0	luxation congénitale d'une hanche non spécifiée, unilatérale
Q65.1	luxation congénitale de la hanche droite, unilatérale
Q65.2	luxation congénitale de la hanche gauche, unilatérale
Q65.1	luxation congénitale de la hanche, bilatérale
Q65.2	luxation congénitale de la hanche, non spécifiée
Q65.30	subluxation congénitale d'une hanche non spécifiée, unilatérale
Q65.31	subluxation congénitale de la hanche droite, unilatérale
Q65.32	subluxation congénitale de la hanche gauche, unilatérale
Q65.4	subluxation congénitale de la hanche, bilatérale
Q65.5	subluxation congénitale de la hanche, non spécifiée
Q65.6	hanche instable
Q65.81	coxa valga congénitale
Q65.82	coxa vara congénitale
Q65.89	autres malformations congénitale spécifiées de la hanche
Q65.9	malformation congénitale de la hanche, non spécifiée
Q66.0	pied bot varus équin congénital
Q66.1	pied bot talus varus congénital
Q66.2	metatarsus varus congénital
Q66.3	d'autres malformations congénitales du pied en varus
Q66.4	pied bot talus valgus congénital
Q66.50	pied plat congénital, pied non spécifié
Q66.51	pied plat congénital, pied droit
Q66.52	pied plat congénital, pied gauche
Q66.6	d'autres déformations congénitales du pied en valgus
Q66.7	pied creux congénital
Q66.80	déformation congénitale talus vertical, pied non spécifié
Q66.81	déformation congénitale talus vertical, pied droit
Q66.82	déformation congénitale talus vertical, pied gauche
Q66.89	autres malformations congénitales spécifiées des pieds
Q66.9	malformation congénitale des pieds, non spécifiée
Q67.0	asymétrie faciale congénitale
Q67.1	compression congénitale de la face
Q67.2	dolichocéphalie
Q67.3	plagiocéphalie
Q67.4	d'autres déformations congénitales du crâne, de la face et de la mâchoire
Q67.5	malformation congénitale de la colonne vertébrale
Q67.6	pectus excavatum
Q67.7	pectus carinatum
Q67.8	d'autres déformations congénitales du thorax
Q68.0	déformation congénitale du muscle sterno-cléido-mastoïdien
Q68.1	déformation congénitale de doigts et de la main
Q68.2	déformation congénitale du genou
Q68.3	incurvation congénitale du fémur
Q68.4	incurvation congénitale du tibia et du péroné
Q68.5	incurvation congénitale des os longs du membre inférieur, non spécifiée
Q68.6	ménisque discoïde
Q68.8	d'autres malformations congénitales spécifiées musculosquelettiques
Q69.0	doigts surnuméraires
Q69.1	pouces surnuméraires
Q69.2	orteils surnuméraires
Q69.0	doigt surnuméraire
Q69.1	pouce surnuméraire
Q69.2	orteil surnuméraire
Q69.9	polydactylie, non spécifiée
Q70.0	syndactylie complexe des doigts, main non spécifiée
Q70.1	syndactylie complexe des doigts, main droite
Q70.2	syndactylie complexe des doigts, main gauche
Q70.3	syndactylie complexe des doigts, bilatérale
Q70.10	syndactylie simple des doigts, main non spécifiée
Q70.11	syndactylie simple des doigts, main droite
Q70.12	syndactylie simple des doigts, main gauche
Q70.13	syndactylie simple des doigts, bilatérale
Q70.20	syndactylie complexe des orteils, pied non spécifié
Q70.21	syndactylie complexe des orteils, pied droit
Q70.22	syndactylie complexe des orteils, pied gauche
Q70.23	syndactylie complexe des orteils, bilatérale
Q70.30	syndactylie simple des orteils, pied non spécifié
Q70.31	syndactylie simple des orteils, pied droit
Q70.32	syndactylie simple des orteils, pied gauche
Q70.33	syndactylie simple des orteils, bilatérale
Q70.4	polysyndactylie, non spécifiée
Q70.9	syndactylie, non spécifiée
Q71.0	absence congénitale complète d'un membre supérieur non spécifié
Q71.1	absence congénitale complète du membre supérieur droit
Q71.2	absence congénitale complète du membre supérieur gauche
Q71.3	absence congénitale complète du membre supérieur, bilatéral
Q71.10	absence congénitale d'un bras et d'un avant-bras non spécifiés avec la présence d'une main
Q71.11	absence congénitale du bras et de l'avant-bras droits avec la présence d'une main
Q71.12	absence congénitale du bras et de l'avant-bras gauches avec la présence d'une main
Q71.13	absence congénitale du bras et de l'avant-bras avec la présence d'une main, bilatérale
Q71.20	absence congénitale associant l'avant-bras et la main, membre supérieur non spécifié
Q71.21	absence congénitale associant l'avant-bras et la main, membre supérieur droit
Q71.22	absence congénitale associant l'avant-bras et la main, membre supérieur gauche
Q71.23	absence congénitale associant l'avant-bras et la main, bilatérale
Q71.30	absence congénitale d'une main et d'un doigt non spécifiés
Q71.31	absence congénitale de la main et du doigt droits
Q71.32	absence congénitale de la main et du doigt gauches
Q71.33	absence congénitale de la main et du doigt, bilatérale
Q71.40	sous-développement longitudinal d'un radius non spécifié
Q71.41	sous-développement longitudinal du radius droit
Q71.42	sous-développement longitudinal du radius gauche
Q71.43	sous-développement longitudinal du radius, bilatéral
Q71.50	sous-développement longitudinal d'un cubitus non spécifié
Q71.51	sous-développement longitudinal du cubitus droit
Q71.52	sous-développement longitudinal du cubitus gauche
Q71.53	sous-développement longitudinal du cubitus, bilatéral
Q71.50	sous-développement longitudinal de l'ulna non spécifié
Q71.51	sous-développement longitudinal de l'ulna droit
Q71.52	sous-développement longitudinal de l'ulna gauche
Q71.53	sous-développement longitudinal de l'ulna, bilatéral
Q71.60	main en pince de homard, main non spécifiée
Q71.61	main en pince de homard, main droite
Q71.62	main en pince de homard, main gauche
Q71.63	main en pince de homard, bilatérale
Q71.811	raccourcissement congénital du membre supérieur droit
Q71.812	raccourcissement congénital du membre supérieur gauche
Q71.813	raccourcissement congénital du membre supérieur, bilatéral
Q71.819	raccourcissement congénital d'un membre supérieur non spécifié
Q71.891	d'autres sous-développements du membre supérieur droit
Q71.892	d'autres sous-développements du membre supérieur gauche
Q71.893	d'autres sous-développements du membre supérieur, bilatéral
Q71.899	d'autres sous-développements d'un membre supérieur non spécifié
Q71.90	sous-développement non spécifié d'un membre supérieur non spécifié
Q71.91	sous-développement non spécifié du membre supérieur droit
Q71.92	sous-développement non spécifié du membre supérieur gauche
Q71.93	sous-développement non spécifié du membre supérieur, bilatéral
Q72.0	absence congénitale complète d'un membre inférieur non spécifié
Q72.1	absence congénitale complète du membre inférieur droit
Q72.2	absence congénitale complète du membre inférieur gauche
Q72.3	absence congénitale complète du membre inférieur, bilatéral
Q72.10	absence congénitale d'une cuisse et d'une jambe non spécifiées avec la présence d'un pied
Q72.11	absence congénitale de la cuisse et de la jambe droites avec la présence d'un pied
Q72.12	absence congénitale de la cuisse et de la jambe gauches avec la présence d'un pied
Q72.13	absence congénitale de la cuisse et de la jambe avec la présence d'un pied, bilatéral
Q72.20	absence congénitale associant la jambe et le pied, membre inférieur non spécifié
Q72.21	absence congénitale associant la jambe et le pied, membre inférieur droit
Q72.22	absence congénitale associant la jambe et le pied, membre inférieur gauche
Q72.23	absence congénitale associant la jambe et le pied, bilatéral
Q72.30	absence congénitale d'un pied et d'orteil non spécifiés
Q72.31	absence congénitale du pied et des orteil droits
Q72.32	absence congénitale du pied et des orteil gauches
Q72.33	absence congénitale du pied et des orteil, bilatérale
Q72.30	absence congénitale d'un pied et d'orteils non spécifiés
Q72.31	absence congénitale du pied et des orteils droits
Q72.32	absence congénitale du pied et des orteils gauches
Q72.33	absence congénitale du pied et des orteils, bilatérale
Q72.40	sous-développement longitudinal d'un fémur non spécifié
Q72.41	sous-développement longitudinal du fémur droit
Q72.42	sous-développement longitudinal du fémur gauche
Q72.43	sous-développement longitudinal du fémur, bilatéral
