W00.0XXA	chute sur le même niveau due à la glace et la neige, contact initial
W10.8XXD	chute sur ou d'un autre escalier et des marches, contact subséquent
W10.8XXS	chute sur ou d'un autre escalier et des marches, séquelle
W10.9XXA	chute sur ou d'un escalier et des marches non spécifiés, contact initial
W10.9XXD	chute sur ou d'un escalier et des marches non spécifiés, contact subséquent
W10.9XXS	chute sur ou d'un escalier et des marches non spécifiés, séquelle
W11.XXXA	chute sur et d'une échelle, contact initial
W11.XXXD	chute sur et d'une échelle, contact subséquent
W11.XXXS	chute sur et d'une échelle, séquelle
W12.XXXA	chute sur et d'un échafaudage, contact initial
W12.XXXD	chute sur et d'un échafaudage, contact subséquent
W12.XXXS	chute sur et d'un échafaudage, séquelle
W13.0XXA	chute de, du haut de, à travers un balcon, contact initial
W13.0XXD	chute de, du haut de, à travers un balcon, contact subséquent
W13.0XXS	chute de, du haut de, à travers un balcon, séquelle
W13.1XXA	chute de, du haut de, à travers un pont, contact initial
W13.1XXD	chute de, du haut de, à travers un pont, contact subséquent
W13.1XXS	chute de, du haut de, à travers un pont, séquelle
W13.2XXA	chute de, du haut de, à travers un toit, contact initial
W13.2XXD	chute de, du haut de, à travers un toit, contact subséquent
W13.2XXS	chute de, du haut de, à travers un toit, séquelle
W13.3XXA	chute à travers un plancher, contact initial
W13.3XXD	chute à travers un plancher, contact subséquent
W13.3XXS	chute à travers un plancher, séquelle
W13.4XXA	chute de, du haut de, à travers une fenêtre, contact initial
W13.4XXD	chute de, du haut de, à travers une fenêtre, contact subséquent
W13.4XXS	chute de, du haut de, à travers une fenêtre, séquelle
W13.8XXA	chute de, du haut de, à travers un autre bâtiment ou une construction, contact initial
W13.8XXD	chute de, du haut de, à travers un autre bâtiment ou une construction, contact subséquent
W13.8XXS	chute de, du haut de, à travers un autre bâtiment ou une construction, séquelle
W13.9XXA	chute de, du haut de, à travers un bâtiment, non spécifié autrement, contact initial
W13.9XXD	chute de, du haut de, à travers un bâtiment, non spécifié autrement, contact subséquent
W13.9XXS	chute de, du haut de, à travers un bâtiment, non spécifié autrement, séquelle
W14.XXXA	chute d'un arbre, contact initial
W14.XXXD	chute d'un arbre, contact subséquent
W14.XXXS	chute d'un arbre, séquelle
W15.XXXA	chute d'une falaise, contact initial
W15.XXXD	chute d'une falaise, contact subséquent
W15.XXXS	chute d'une falaise, séquelle
W16.011A	chute dans une piscine avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact initial
W16.011D	chute dans une piscine avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact subséquent
W16.011S	chute dans une piscine avec un heurt contre la surface de l'eau causant la noyade et la submersion, séquelle
W16.012A	chute dans une piscine avec un heurt contre la surface de l'eau causant un autre traumatisme, contact initial
W16.012D	chute dans une piscine avec un heurt contre la surface de l'eau causant un autre traumatisme, contact subséquent
W16.012S	chute dans une piscine avec un heurt contre la surface de l'eau causant un autre traumatisme, séquelle
W16.021A	chute dans une piscine avec un heurt contre le fond causant la noyade et la submersion, contact initial
W16.021D	chute dans une piscine avec un heurt contre le fond causant la noyade et la submersion, contact subséquent
W16.021S	chute dans une piscine avec un heurt contre le fond causant la noyade et la submersion, séquelle
W16.022A	chute dans une piscine avec un heurt contre le fond causant un autre traumatisme, contact initial
W16.022D	chute dans une piscine avec un heurt contre le fond causant un autre traumatisme, contact subséquent
W16.022S	chute dans une piscine avec un heurt contre le fond causant un autre traumatisme, séquelle
W16.031A	chute dans une piscine avec un heurt contre la paroi causant la noyade et la submersion, contact initial
W16.031D	chute dans une piscine avec un heurt contre la paroi causant la noyade et la submersion, contact subséquent
W16.031S	chute dans une piscine avec un heurt contre la paroi causant la noyade et la submersion, séquelle
W16.032A	chute dans une piscine avec un heurt contre la paroi causant un autre traumatisme, contact initial
W16.032D	chute dans une piscine avec un heurt contre la paroi causant un autre traumatisme, contact subséquent
W16.032S	chute dans une piscine avec un heurt contre la paroi causant un autre traumatisme, séquelle
W16.111A	chute dans un plan d'eau naturel avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact initial
W16.111D	chute dans un plan d'eau naturel avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact subséquent
W16.111S	chute dans un plan d'eau naturel avec un heurt contre la surface de l'eau causant la noyade et la submersion, séquelle
W16.112A	chute dans un plan d'eau naturel avec un heurt contre la surface de l'eau causant un autre traumatisme, contact initial
W16.112D	chute dans un plan d'eau naturel avec un heurt contre la surface de l'eau causant un autre traumatisme, contact subséquent
W16.112S	chute dans un plan d'eau naturel avec un heurt contre la surface de l'eau causant un autre traumatisme, séquelle
W16.121A	chute dans un plan d'eau naturel avec un heurt contre le fond causant la noyade et la submersion, contact initial
W16.121D	chute dans un plan d'eau naturel avec un heurt contre le fond causant la noyade et la submersion, contact subséquent
W16.121S	chute dans un plan d'eau naturel avec un heurt contre le fond causant la noyade et la submersion, séquelle
W16.122A	chute dans un plan d'eau naturel avec un heurt contre le fond causant un autre traumatisme, contact initial
W16.122D	chute dans un plan d'eau naturel avec un heurt contre le fond causant un autre traumatisme, contact subséquent
W16.122S	chute dans un plan d'eau naturel avec un heurt contre le fond causant un autre traumatisme, séquelle
W16.131A	chute dans un plan d'eau naturel avec un heurt contre le bord causant la noyade et la submersion, contact initial
W16.131D	chute dans un plan d'eau naturel avec un heurt contre le bord causant la noyade et la submersion, contact subséquent
W16.131S	chute dans un plan d'eau naturel avec un heurt contre le bord causant la noyade et la submersion, séquelle
W16.132A	chute dans un plan d'eau naturel avec un heurt contre le bord causant un autre traumatisme, contact initial
W16.132D	chute dans un plan d'eau naturel avec un heurt contre le bord causant un autre traumatisme, contact subséquent
W16.132S	chute dans un plan d'eau naturel avec un heurt contre le bord causant un autre traumatisme, séquelle
W16.211A	chute dans une baignoire remplie causant la noyade et la submersion, contact initial
W16.211D	chute dans une baignoire remplie causant la noyade et la submersion, contact subséquent
W16.211S	chute dans une baignoire remplie causant la noyade et la submersion, séquelle
W16.212A	chute dans une baignoire remplie causant un autre traumatisme, contact initial
W16.212D	chute dans une baignoire remplie causant un autre traumatisme, contact subséquent
W16.212S	chute dans une baignoire remplie causant un autre traumatisme, séquelle
W16.221A	chute dans un seau d'eau causant la noyade et la submersion, contact initial
W16.221D	chute dans un seau d'eau causant la noyade et la submersion, contact subséquent
W16.221S	chute dans un seau d'eau causant la noyade et la submersion, séquelle
W16.222A	chute dans un seau d'eau causant un autre traumatisme, contact initial
W16.222D	chute dans un seau d'eau causant un autre traumatisme, contact subséquent
W16.222S	chute dans un seau d'eau causant un autre traumatisme, séquelle
W16.311A	chute dans un autre plan d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact initial
W16.311D	chute dans un autre plan d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact subséquent
W16.311S	chute dans un autre plan d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, séquelle
W16.312A	chute dans un autre plan d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact initial
W16.312D	chute dans un autre plan d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact subséquent
W16.312S	chute dans un autre plan d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, séquelle
W16.321A	chute dans un autre plan d'eau avec un heurt contre le fond causant la noyade et la submersion, contact initial
W16.321D	chute dans un autre plan d'eau avec un heurt contre le fond causant la noyade et la submersion, contact subséquent
W16.321S	chute dans un autre plan d'eau avec un heurt contre le fond causant la noyade et la submersion, séquelle
W16.322A	chute dans un autre plan d'eau avec un heurt contre le fond causant un autre traumatisme, contact initial
W16.322D	chute dans un autre plan d'eau avec un heurt contre le fond causant un autre traumatisme, contact subséquent
W16.322S	chute dans un autre plan d'eau avec un heurt contre le fond causant un autre traumatisme, séquelle
W16.331A	chute dans un autre plan d'eau avec un heurt contre la paroi causant la noyade et la submersion, contact initial
W16.331D	chute dans un autre plan d'eau avec un heurt contre la paroi causant la noyade et la submersion, contact subséquent
W16.331S	chute dans un autre plan d'eau avec un heurt contre la paroi causant la noyade et la submersion, séquelle
W16.332A	chute dans un autre plan d'eau avec un heurt contre la paroi causant un autre traumatisme, contact initial
W16.332D	chute dans un autre plan d'eau avec un heurt contre la paroi causant un autre traumatisme, contact subséquent
W16.332S	chute dans un autre plan d'eau avec un heurt contre la paroi causant un autre traumatisme, séquelle
W16.41XA	chute dans un plan d'eau non spécifié causant la noyade et la submersion, contact initial
W16.41XD	chute dans un plan d'eau non spécifié causant la noyade et la submersion, contact subséquent
W16.41XS	chute dans un plan d'eau non spécifié causant la noyade et la submersion, séquelle
W16.42XA	chute dans un plan d'eau non spécifié causant un autre traumatisme, contact initial
W16.42XD	chute dans un plan d'eau non spécifié causant un autre traumatisme, contact subséquent
W16.42XS	chute dans un plan d'eau non spécifié causant un autre traumatisme, séquelle
W16.511A	plongée ou saut dans une piscine avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact initial
W16.511D	plongée ou saut dans une piscine avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact subséquent
W16.511S	plongée ou saut dans une piscine avec un heurt contre la surface de l'eau causant la noyade et la submersion, séquelle
W16.512A	plongée ou saut dans une piscine avec un heurt contre la surface de l'eau causant un autre traumatisme, contact initial
W16.512D	plongée ou saut dans une piscine avec un heurt contre la surface de l'eau causant un autre traumatisme, contact subséquent
W16.512S	plongée ou saut dans une piscine avec un heurt contre la surface de l'eau causant un autre traumatisme, séquelle
W16.521A	plongée ou saut dans une piscine avec un heurt contre le fond causant la noyade et la submersion, contact initial
W16.521D	plongée ou saut dans une piscine avec un heurt contre le fond causant la noyade et la submersion, contact subséquent
W16.521S	plongée ou saut dans une piscine avec un heurt contre le fond causant la noyade et la submersion, séquelle
W16.522A	plongée ou saut dans une piscine avec un heurt contre le fond causant un autre traumatisme, contact initial
W16.522D	plongée ou saut dans une piscine avec un heurt contre le fond causant un autre traumatisme, contact subséquent
W16.522S	plongée ou saut dans une piscine avec un heurt contre le fond causant un autre traumatisme, séquelle
W16.531A	plongée ou saut dans une piscine avec un heurt contre la paroi causant la noyade et la submersion, contact initial
W16.531D	plongée ou saut dans une piscine avec un heurt contre la paroi causant la noyade et la submersion, contact subséquent
W16.531S	plongée ou saut dans une piscine avec un heurt contre la paroi causant la noyade et la submersion, séquelle
W16.532A	plongée ou saut dans une piscine avec un heurt contre la paroi causant un autre traumatisme, contact initial
W16.532D	plongée ou saut dans une piscine avec un heurt contre la paroi causant un autre traumatisme, contact subséquent
W16.532S	plongée ou saut dans une piscine avec un heurt contre la paroi causant un autre traumatisme, séquelle
W16.611A	plongée ou saut dans un plan naturel d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact initial
W16.611D	plongée ou saut dans un plan naturel d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact subséquent
W16.611S	plongée ou saut dans un plan naturel d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, séquelle
W16.612A	plongée ou saut dans un plan naturel d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact initial
W16.612D	plongée ou saut dans un plan naturel d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact subséquent
W16.612S	plongée ou saut dans un plan naturel d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, séquelle
W16.621A	plongée ou saut dans un plan naturel d'eau avec un heurt contre le fond causant la noyade et la submersion, contact initial
W16.621D	plongée ou saut dans un plan naturel d'eau avec un heurt contre le fond causant la noyade et la submersion, contact subséquent
W16.621S	plongée ou saut dans un plan naturel d'eau avec un heurt contre le fond causant la noyade et la submersion, séquelle
W16.622A	plongée ou saut dans un plan naturel d'eau avec un heurt contre le fond causant un autre traumatisme, contact initial
W16.622D	plongée ou saut dans un plan naturel d'eau avec un heurt contre le fond causant un autre traumatisme, contact subséquent
W16.622S	plongée ou saut dans un plan naturel d'eau avec un heurt contre le fond causant un autre traumatisme, séquelle
W16.711A	plongée ou saut hors d'un bateau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact initial
W16.711D	plongée ou saut hors d'un bateau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact subséquent
W16.711S	plongée ou saut hors d'un bateau avec un heurt contre la surface de l'eau causant la noyade et la submersion, séquelle
W16.712A	plongée ou saut hors d'un bateau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact initial
W16.712D	plongée ou saut hors d'un bateau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact subséquent
W16.712S	plongée ou saut hors d'un bateau avec un heurt contre la surface de l'eau causant un autre traumatisme, séquelle
W16.721A	plongée ou saut hors d'un bateau avec un heurt contre le fond causant la noyade et la submersion, contact initial
W16.721D	plongée ou saut hors d'un bateau avec un heurt contre le fond causant la noyade et la submersion, contact subséquent
W16.721S	plongée ou saut hors d'un bateau avec un heurt contre le fond causant la noyade et la submersion, séquelle
W16.722A	plongée ou saut hors d'un bateau avec un heurt contre le fond causant un autre traumatisme, contact initial
W16.722D	plongée ou saut hors d'un bateau avec un heurt contre le fond causant un autre traumatisme, contact subséquent
W16.722S	plongée ou saut hors d'un bateau avec un heurt contre le fond causant un autre traumatisme, séquelle
W16.811A	plongée ou saut dans un autre plan d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact initial
W16.811D	plongée ou saut dans un autre plan d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, contact subséquent
W16.811S	plongée ou saut dans un autre plan d'eau avec un heurt contre la surface de l'eau causant la noyade et la submersion, séquelle
W16.812A	plongée ou saut dans un autre plan d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact initial
W16.812D	plongée ou saut dans un autre plan d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, contact subséquent
W16.812S	plongée ou saut dans un autre plan d'eau avec un heurt contre la surface de l'eau causant un autre traumatisme, séquelle
W16.821A	plongée ou saut dans un autre plan d'eau avec un heurt contre le fond causant la noyade et la submersion, contact initial
W16.821D	plongée ou saut dans un autre plan d'eau avec un heurt contre le fond causant la noyade et la submersion, contact subséquent
W16.821S	plongée ou saut dans un autre plan d'eau avec un heurt contre le fond causant la noyade et la submersion, séquelle
W16.822A	plongée ou saut dans un autre plan d'eau avec un heurt contre le fond causant un autre traumatisme, contact initial
W16.822D	plongée ou saut dans un autre plan d'eau avec un heurt contre le fond causant un autre traumatisme, contact subséquent
W16.822S	plongée ou saut dans un autre plan d'eau avec un heurt contre le fond causant un autre traumatisme, séquelle
W16.831A	plongée ou saut dans un autre plan d'eau avec un heurt contre la paroi causant la noyade et la submersion, contact initial
W16.831D	plongée ou saut dans un autre plan d'eau avec un heurt contre la paroi causant la noyade et la submersion, contact subséquent
W16.831S	plongée ou saut dans un autre plan d'eau avec un heurt contre la paroi causant la noyade et la submersion, séquelle
W16.832A	plongée ou saut dans un autre plan d'eau avec un heurt contre la paroi causant un autre traumatisme, contact initial
W16.832D	plongée ou saut dans un autre plan d'eau avec un heurt contre la paroi causant un autre traumatisme, contact subséquent
W16.832S	plongée ou saut dans un autre plan d'eau avec un heurt contre la paroi causant un autre traumatisme, séquelle
W16.91XA	plongée ou saut dans un plan d'eau non spécifié causant la noyade et la submersion, contact initial
W16.91XD	plongée ou saut dans un plan d'eau non spécifié causant la noyade et la submersion, contact subséquent
W16.91XS	plongée ou saut dans un plan d'eau non spécifié causant la noyade et la submersion, séquelle
W16.92XA	plongée ou saut dans un plan d'eau non spécifié causant un autre traumatisme, contact initial
W16.92XD	plongée ou saut dans un plan d'eau non spécifié causant un autre traumatisme, contact subséquent
W17.1XXS	chute dans une évacuation d'eau pluviale ou un trou d'homme, séquelle
W17.2XXA	chute dans un trou, contact initial
W17.2XXD	chute dans un trou, contact subséquent
W17.2XXS	chute dans un trou, séquelle
W17.3XXA	chute dans une piscine vide, contact initial
W17.3XXD	chute dans une piscine vide, contact subséquent
W17.3XXS	chute dans une piscine vide, séquelle
W17.4XXA	chute d'un quai, contact initial
W17.4XXD	chute d'un quai, contact subséquent
W17.4XXS	chute d'un quai, séquelle
W17.81XA	chute d'une digue, d'un quai ou d'une berge (colline), contact initial
W17.81XD	chute d'une digue, d'un quai ou d'une berge (colline), contact subséquent
W17.81XS	chute d'une digue, d'un quai ou d'une berge (colline), séquelle
W26.0XXA	contact avec un couteau, contact initial
W26.0XXD	contact avec un couteau, contact subséquent
W26.0XXS	contact avec un couteau, séquelle
W26.1XXA	contact avec une épée ou une dague, contact initial
W26.1XXD	contact avec une épée ou une dague, contact subséquent
W26.1XXS	contact avec une épée ou une dague, séquelle
W27.0XXA	contact avec un outil d'établi, contact initial
W27.0XXD	contact avec un outil d'établi, contact subséquent
W27.0XXS	contact avec un outil d'établi, séquelle
W27.1XXA	contact avec un outil de jardinage, contact initial
W27.1XXD	contact avec un outil de jardinage, contact subséquent
W27.1XXS	contact avec un outil de jardinage, séquelle
W27.2XXA	contact avec des ciseaux, contact initial
W53.11XD	mordu par un rat, contact subséquent
W53.11XS	mordu par un rat, séquelle
W53.19XA	autre contact avec un rat, contact initial
W53.19XD	autre contact avec un rat, contact subséquent
W53.19XS	autre contact avec un rat, séquelle
W53.21XA	mordu par un écureuil, contact initial
W53.21XD	mordu par un écureuil, contact subséquent
W53.21XS	mordu par un écureuil, séquelle
W53.29XA	autre contact avec un écureuil, contact initial
W53.29XD	autre contact avec un écureuil, contact subséquent
W53.29XS	autre contact avec un écureuil, séquelle
W53.81XA	mordu par un autre rongeur, contact initial
W53.81XD	mordu par un autre rongeur, contact subséquent
W56.81XS	mordu par d'autres animaux marins non venimeux, séquelle
W56.82XA	heurté par d'autres animaux marins non venimeux, contact initial
W56.82XD	heurté par d'autres animaux marins non venimeux, contact subséquent
W56.82XS	heurté par d'autres animaux marins non venimeux, séquelle
W56.89XA	autre contact avec d'autres animaux marins non venimeux, contact initial
W56.89XD	autre contact avec d'autres animaux marins non venimeux, contact subséquent
W56.89XS	autre contact avec d'autres animaux marins non venimeux, séquelle
W57.XXXA	mordu ou piqué par un insecte et d'autres arthropodes non venimeux, contact initial
W57.XXXD	mordu ou piqué par un insecte et d'autres arthropodes non venimeux, contact subséquent
W57.XXXS	mordu ou piqué par un insecte et d'autres arthropodes non venimeux, séquelle
W58.01XA	mordu par un alligator, contact initial
W58.01XD	mordu par un alligator, contact subséquent
W17.82XA	chute hors d'un caddie, contact initial
W17.82XD	chute hors d'un caddie, contact subséquent
W17.82XS	chute hors d'un caddie, séquelle
W17.89XA	autre chute d'un niveau à un autre, contact initial
W17.89XD	autre chute d'un niveau à un autre, contact subséquent
W17.89XS	autre chute d'un niveau à un autre, séquelle
W18.00XA	heurt contre un objet non spécifié avec une chute subséquente, contact initial
W18.00XD	heurt contre un objet non spécifié avec une chute subséquente, contact subséquent
W18.00XS	heurt contre un objet non spécifié avec une chute subséquente, séquelle
W18.01XA	heurt contre du matériel de sport avec une chute subséquente, contact initial
W18.01XD	heurt contre du matériel de sport avec une chute subséquente, contact subséquent
W18.01XS	heurt contre du matériel de sport avec une chute subséquente, séquelle
W18.02XA	heurt contre un vitrage avec une chute subséquente, contact initial
W18.02XD	heurt contre un vitrage avec une chute subséquente, contact subséquent
W18.02XS	heurt contre un vitrage avec une chute subséquente, séquelle
W18.09XA	heurt contre un autre objet avec une chute subséquente, contact initial
W18.09XD	heurt contre un autre objet avec une chute subséquente, contact subséquent
W18.09XS	heurt contre un autre objet avec une chute subséquente, séquelle
W18.11XA	chute de la cuvette des toilettes sans heurt contre un objet, contact initial
W18.11XD	chute de la cuvette des toilettes sans heurt contre un objet, contact subséquent
W18.11XS	chute de la cuvette des toilettes sans heurt contre un objet, séquelle
W18.12XA	chute de la cuvette des toilettes avec un heurt contre un objet, contact initial
W18.12XD	chute de la cuvette des toilettes avec un heurt contre un objet, contact subséquent
W18.12XS	chute de la cuvette des toilettes avec un heurt contre un objet, séquelle
W18.2XXA	chute dans une douche ou dans une baignoire vide, contact initial
W18.2XXD	chute dans une douche ou dans une baignoire vide, contact subséquent
W18.2XXS	chute dans une douche ou dans une baignoire vide, séquelle
W18.30XA	chute sur le même niveau, non spécifiée, contact initial
W18.30XD	chute sur le même niveau, non spécifiée, contact subséquent
W18.30XS	chute sur le même niveau, non spécifiée, séquelle
W18.31XA	chute sur le même niveau après avoir marché sur un objet, contact initial
W18.31XD	chute sur le même niveau après avoir marché sur un objet, contact subséquent
W18.31XS	chute sur le même niveau après avoir marché sur un objet, séquelle
W18.39XA	autre chute sur le même niveau, contact initial
W18.39XD	autre chute sur le même niveau, contact subséquent
W18.39XS	autre chute sur le même niveau, séquelle
W18.40XA	glissade, faux pas et trébuchement sans chute, non spécifiés, contact initial
W18.40XD	glissade, faux pas et trébuchement sans chute, non spécifiés, contact subséquent
W18.40XS	glissade, faux pas et trébuchement sans chute, non spécifiés, séquelle
W18.41XA	glissade, faux pas et trébuchement sans chute après avoir marché sur un objet, contact initial
W18.41XD	glissade, faux pas et trébuchement sans chute après avoir marché sur un objet, contact subséquent
W18.41XS	glissade, faux pas et trébuchement sans chute après avoir marché sur un objet, séquelle
W18.42XA	glissade, faux pas et trébuchement sans chute après avoir marché dans un trou ou une fosse, contact initial
W18.42XD	glissade, faux pas et trébuchement sans chute après avoir marché dans un trou ou une fosse, contact subséquent
W18.42XS	glissade, faux pas et trébuchement sans chute après avoir marché dans un trou ou une fosse, séquelle
W18.43XA	glissade, faux pas et trébuchement sans chute après avoir marché d'un niveau à un autre, contact initial
W18.43XD	glissade, faux pas et trébuchement sans chute après avoir marché d'un niveau à un autre, contact subséquent
W18.43XS	glissade, faux pas et trébuchement sans chute après avoir marché d'un niveau à un autre, séquelle
W18.49XA	autre glissade, faux pas et trébuchement sans chute, contact initial
W18.49XD	autre glissade, faux pas et trébuchement sans chute, contact subséquent
