T07	multiples traumatismes non spécifiés
T17.318D	contenu gastrique dans le larynx, causant un autre traumatisme, contact subséquent
T17.318S	contenu gastrique dans le larynx, causant un autre traumatisme, séquelle
T17.320A	nourriture dans le larynx, causant l'asphyxie, contact initial
T17.320D	nourriture dans le larynx, causant l'asphyxie, contact subséquent
T17.320S	nourriture dans le larynx, causant l'asphyxie, séquelle
T17.328A	nourriture dans le larynx, causant un autre traumatisme, contact initial
T17.328D	nourriture dans le larynx, causant un autre traumatisme, contact subséquent
T17.328S	nourriture dans le larynx, causant un autre traumatisme, séquelle
T17.390A	autre corps étranger dans le larynx, causant l'asphyxie, contact initial
T17.390D	autre corps étranger dans le larynx, causant l'asphyxie, contact subséquent
T17.390S	autre corps étranger dans le larynx, causant l'asphyxie, séquelle
T17.398A	autre corps étranger dans le larynx, causant un autre traumatisme, contact initial
T17.398D	autre corps étranger dans le larynx, causant un autre traumatisme, contact subséquent
T17.398S	autre corps étranger dans le larynx, causant un autre traumatisme, séquelle
T17.400A	corps étranger non spécifié dans la trachée, causant l'asphyxie, contact initial
T17.400D	corps étranger non spécifié dans la trachée, causant l'asphyxie, contact subséquent
T17.400S	corps étranger non spécifié dans la trachée, causant l'asphyxie, séquelle
T17.408A	corps étranger non spécifié dans la trachée, causant un autre traumatisme, contact initial
T17.408D	corps étranger non spécifié dans la trachée, causant un autre traumatisme, contact subséquent
T17.408S	corps étranger non spécifié dans la trachée, causant un autre traumatisme, séquelle
T17.410A	contenu gastrique dans la trachée, causant l'asphyxie, contact initial
T17.410D	contenu gastrique dans la trachée, causant l'asphyxie, contact subséquent
T17.410S	contenu gastrique dans la trachée, causant l'asphyxie, séquelle
T17.418A	contenu gastrique dans la trachée, causant un autre traumatisme, contact initial
T17.418D	contenu gastrique dans la trachée, causant un autre traumatisme, contact subséquent
T17.418S	contenu gastrique dans la trachée, causant un autre traumatisme, séquelle
T17.420A	nourriture dans la trachée, causant l'asphyxie, contact initial
T17.420D	nourriture dans la trachée, causant l'asphyxie, contact subséquent
T17.420S	nourriture dans la trachée, causant l'asphyxie, séquelle
T17.428A	nourriture dans la trachée, causant un autre traumatisme, contact initial
T17.428D	nourriture dans la trachée, causant un autre traumatisme, contact subséquent
T17.428S	nourriture dans la trachée, causant un autre traumatisme, séquelle
T17.490A	autre corps étranger dans la trachée, causant l'asphyxie, contact initial
T17.490D	autre corps étranger dans la trachée, causant l'asphyxie, contact subséquent
T17.490S	autre corps étranger dans la trachée, causant l'asphyxie, séquelle
T17.498A	autre corps étranger dans la trachée, causant un autre traumatisme, contact initial
T17.498D	autre corps étranger dans la trachée, causant un autre traumatisme, contact subséquent
T17.498S	autre corps étranger dans la trachée, causant un autre traumatisme, séquelle
T17.500A	corps étranger non spécifié dans la bronche, causant l'asphyxie, contact initial
T17.500D	corps étranger non spécifié dans la bronche, causant l'asphyxie, contact subséquent
T17.500S	corps étranger non spécifié dans la bronche, causant l'asphyxie, séquelle
T17.508A	corps étranger non spécifié dans la bronche, causant un autre traumatisme, contact initial
T17.508D	corps étranger non spécifié dans la bronche, causant un autre traumatisme, contact subséquent
T17.508S	corps étranger non spécifié dans la bronche, causant un autre traumatisme, séquelle
T17.510A	contenu gastrique dans la bronche, causant l'asphyxie, contact initial
T17.510D	contenu gastrique dans la bronche, causant l'asphyxie, contact subséquent
T17.510S	contenu gastrique dans la bronche, causant l'asphyxie, séquelle
T17.518A	contenu gastrique dans la bronche, causant un autre traumatisme, contact initial
T17.518D	contenu gastrique dans la bronche, causant un autre traumatisme, contact subséquent
T17.518S	contenu gastrique dans la bronche, causant un autre traumatisme, séquelle
T17.520A	nourriture dans la bronche, causant l'asphyxie, contact initial
T17.520D	nourriture dans la bronche, causant l'asphyxie, contact subséquent
T17.520S	nourriture dans la bronche, causant l'asphyxie, séquelle
T17.528A	nourriture dans la bronche, causant un autre traumatisme, contact initial
T17.528D	nourriture dans la bronche, causant un autre traumatisme, contact subséquent
T17.528S	nourriture dans la bronche, causant un autre traumatisme, séquelle
T17.590A	autre corps étranger dans la bronche, causant l'asphyxie, contact initial
T17.590D	autre corps étranger dans la bronche, causant l'asphyxie, contact subséquent
T17.590S	autre corps étranger dans la bronche, causant l'asphyxie, séquelle
T17.598A	autre corps étranger dans la bronche, causant un autre traumatisme, contact initial
T17.598D	autre corps étranger dans la bronche, causant un autre traumatisme, contact subséquent
T17.598S	autre corps étranger dans la bronche, causant un autre traumatisme, séquelle
T17.800A	corps étranger non spécifié dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact initial
T17.800D	corps étranger non spécifié dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact subséquent
T17.800S	corps étranger non spécifié dans d'autres parties du tractus respiratoire, causant l'asphyxie, séquelle
T17.808A	corps étranger non spécifié dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact initial
T17.808D	corps étranger non spécifié dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact subséquent
T17.808S	corps étranger non spécifié dans d'autres parties du tractus respiratoire, causant un autre traumatisme, séquelle
T17.810A	contenu gastrique dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact initial
T17.810D	contenu gastrique dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact subséquent
T17.810S	contenu gastrique dans d'autres parties du tractus respiratoire, causant l'asphyxie, séquelle
T17.818A	contenu gastrique dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact initial
T17.818D	contenu gastrique dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact subséquent
T17.818S	contenu gastrique dans d'autres parties du tractus respiratoire, causant un autre traumatisme, séquelle
T17.820A	nourriture dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact initial
T17.820D	nourriture dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact subséquent
T17.820S	nourriture dans d'autres parties du tractus respiratoire, causant l'asphyxie, séquelle
T17.828A	nourriture dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact initial
T17.828D	nourriture dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact subséquent
T17.828S	nourriture dans d'autres parties du tractus respiratoire, causant un autre traumatisme, séquelle
T17.890A	autre corps étranger dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact initial
T17.890D	autre corps étranger dans d'autres parties du tractus respiratoire, causant l'asphyxie, contact subséquent
T17.890S	autre corps étranger dans d'autres parties du tractus respiratoire, causant l'asphyxie, séquelle
T17.898A	autre corps étranger dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact initial
T17.898D	autre corps étranger dans d'autres parties du tractus respiratoire, causant un autre traumatisme, contact subséquent
T17.898S	autre corps étranger dans d'autres parties du tractus respiratoire, causant un autre traumatisme, séquelle
T17.900A	corps étranger non spécifié dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, contact initial
T17.900D	corps étranger non spécifié dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, contact subséquent
T17.900S	corps étranger non spécifié dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, séquelle
T17.908A	corps étranger non spécifié dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, contact initial
T17.908D	corps étranger non spécifié dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, contact subséquent
T17.908S	corps étranger non spécifié dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, séquelle
T17.910A	contenu gastrique dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, contact initial
T17.910D	contenu gastrique dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, contact subséquent
T17.910S	contenu gastrique dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, séquelle
T17.918A	contenu gastrique dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, contact initial
T17.918D	contenu gastrique dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, contact subséquent
T17.918S	contenu gastrique dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, séquelle
T17.920A	nourriture dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, contact initial
T17.990A	autre corps étranger dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, contact initial
T17.990D	autre corps étranger dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, contact subséquent
T17.990S	autre corps étranger dans le tractus respiratoire, partie non spécifiée, causant l'asphyxie, séquelle
T17.998A	autre corps étranger dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, contact initial
T17.998D	autre corps étranger dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, contact subséquent
T17.998S	autre corps étranger dans le tractus respiratoire, partie non spécifiée, causant un autre traumatisme, séquelle
T18.0XXA	corps étranger dans la bouche, contact initial
T18.0XXD	corps étranger dans la bouche, contact subséquent
T18.0XXS	corps étranger dans la bouche, séquelle
T18.100A	corps étranger non spécifié dans l'oesophage, causant une compression de la trachée, contact initial
T18.100D	corps étranger non spécifié dans l'oesophage, causant une compression de la trachée, contact subséquent
T18.100S	corps étranger non spécifié dans l'oesophage, causant une compression de la trachée, séquelle
T18.108A	corps étranger non spécifié dans l'oesophage, causant un autre traumatisme, contact initial
T18.108D	corps étranger non spécifié dans l'oesophage, causant un autre traumatisme, contact subséquent
T18.108S	corps étranger non spécifié dans l'oesophage, causant un autre traumatisme, séquelle
T18.110A	contenu gastrique dans l'oesophage, causant une compression de la trachée, contact initial
T18.110D	contenu gastrique dans l'oesophage, causant une compression de la trachée, contact subséquent
T18.110S	contenu gastrique dans l'oesophage, causant une compression de la trachée, séquelle
T18.118A	contenu gastrique dans l'oesophage, causant un autre traumatisme, contact initial
T18.118D	contenu gastrique dans l'oesophage, causant un autre traumatisme, contact subséquent
T18.118S	contenu gastrique dans l'oesophage, causant un autre traumatisme, séquelle
T18.120A	nourriture dans l'oesophage, causant une compression de la trachée, contact initial
T18.120D	nourriture dans l'oesophage, causant une compression de la trachée, contact subséquent
T18.120S	nourriture dans l'oesophage, causant une compression de la trachée, séquelle
T18.128A	nourriture dans l'oesophage, causant un autre traumatisme, contact initial
T18.128D	nourriture dans l'oesophage, causant un autre traumatisme, contact subséquent
T18.128S	nourriture dans l'oesophage, causant un autre traumatisme, séquelle
T18.190A	autre corps étranger dans l'oesophage, causant une compression de la trachée, contact initial
T18.190D	autre corps étranger dans l'oesophage, causant une compression de la trachée, contact subséquent
T18.190S	autre corps étranger dans l'oesophage, causant une compression de la trachée, séquelle
T18.198A	autre corps étranger dans l'oesophage, causant un autre traumatisme, contact initial
T18.198D	autre corps étranger dans l'oesophage, causant un autre traumatisme, contact subséquent
T18.198S	autre corps étranger dans l'oesophage, causant un autre traumatisme, séquelle
T18.2XXA	corps étranger dans l'estomac, contact initial
T18.2XXD	corps étranger dans l'estomac, contact subséquent
T18.2XXS	corps étranger dans l'estomac, séquelle
T18.3XXA	corps étranger dans l'intestin grêle, contact initial
T18.3XXD	corps étranger dans l'intestin grêle, contact subséquent
T18.3XXS	corps étranger dans l'intestin grêle, séquelle
T18.4XXA	corps étranger dans le côlon, contact initial
T18.4XXD	corps étranger dans le côlon, contact subséquent
T18.4XXS	corps étranger dans le côlon, séquelle
T18.5XXA	corps étranger dans l'anus et le rectum, contact initial
T18.5XXD	corps étranger dans l'anus et le rectum, contact subséquent
T18.5XXS	corps étranger dans l'anus et le rectum, séquelle
T18.8XXA	corps étranger dans d'autres parties du tractus digestif, contact initial
T18.8XXD	corps étranger dans d'autres parties du tractus digestif, contact subséquent
T18.8XXS	corps étranger dans d'autres parties du tractus digestif, séquelle
T18.9XXA	corps étranger du tractus digestif, partie non spécifiée, contact initial
T18.9XXD	corps étranger du tractus digestif, partie non spécifiée, contact subséquent
T18.9XXS	corps étranger du tractus digestif, partie non spécifiée, séquelle
T19.0XXA	corps étranger dans l'urètre, contact initial
T19.0XXD	corps étranger dans l'urètre, contact subséquent
T19.0XXS	corps étranger dans l'urètre, séquelle
T19.1XXA	corps étranger dans la vessie, contact initial
T19.1XXD	corps étranger dans la vessie, contact subséquent
T19.1XXS	corps étranger dans la vessie, séquelle
T19.2XXA	corps étranger dans la vulve et le vagin, contact initial
T19.2XXD	corps étranger dans la vulve et le vagin, contact subséquent
T19.2XXS	corps étranger dans la vulve et le vagin, séquelle
T19.3XXA	corps étranger dans l'utérus, contact initial
T19.3XXD	corps étranger dans l'utérus, contact subséquent
T19.3XXS	corps étranger dans l'utérus, séquelle
T19.4XXA	corps étranger dans la verge, contact initial
T19.4XXD	corps étranger dans la verge, contact subséquent
T19.4XXS	corps étranger dans la verge, séquelle
T19.8XXA	corps étranger dans d'autres parties du tractus génito-urinaire, contact initial
T19.8XXD	corps étranger dans d'autres parties du tractus génito-urinaire, contact subséquent
T19.8XXS	corps étranger dans d'autres parties du tractus génito-urinaire, séquelle
T19.9XXA	corps étranger dans le tractus génito-urinaire, partie non spécifiée, contact initial
T19.9XXD	corps étranger dans le tractus génito-urinaire, partie non spécifiée, contact subséquent
T19.9XXS	corps étranger dans le tractus génito-urinaire, partie non spécifiée, séquelle
T20.00XA	brûlure d'un degré non spécifié de la tête, la face et le cou, site non spécifié, contact initial
T20.00XD	brûlure d'un degré non spécifié de la tête, la face et le cou, site non spécifié, contact subséquent
T20.00XS	brûlure d'un degré non spécifié de la tête, la face et le cou, site non spécifié, séquelle
T20.011A	brûlure d'un degré non spécifié de l'oreille droite [toute partie, sauf tympan], contact initial
T20.011D	brûlure d'un degré non spécifié de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.011S	brûlure d'un degré non spécifié de l'oreille droite [toute partie, sauf tympan], séquelle
T20.019S	brûlure d'un degré non spécifié d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.02XA	brûlure d'un degré non spécifié de lèvre(s), contact initial
T20.02XD	brûlure d'un degré non spécifié de lèvre(s), contact subséquent
T20.02XS	brûlure d'un degré non spécifié de lèvre(s), séquelle
T20.03XA	brûlure d'un degré non spécifié du menton, contact initial
T20.03XD	brûlure d'un degré non spécifié du menton, contact subséquent
T20.03XS	brûlure d'un degré non spécifié du menton, séquelle
T20.04XA	brûlure d'un degré non spécifié du nez (septum), contact initial
T20.04XD	brûlure d'un degré non spécifié du nez (septum), contact subséquent
T20.04XS	brûlure d'un degré non spécifié du nez (septum), séquelle
T20.05XA	brûlure d'un degré non spécifié du cuir chevelu [toute partie], contact initial
T20.05XD	brûlure d'un degré non spécifié du cuir chevelu [toute partie], contact subséquent
T20.05XS	brûlure d'un degré non spécifié du cuir chevelu [toute partie], séquelle
T20.06XA	brûlure d'un degré non spécifié du front et de la joue, contact initial
T20.06XD	brûlure d'un degré non spécifié du front et de la joue, contact subséquent
T20.06XS	brûlure d'un degré non spécifié du front et de la joue, séquelle
T20.07XA	brûlure d'un degré non spécifié du cou, contact initial
T20.07XD	brûlure d'un degré non spécifié du cou, contact subséquent
T20.07XS	brûlure d'un degré non spécifié du cou, séquelle
T20.09XA	brûlure d'un degré non spécifié de multiples sites de la tête, la face et le cou, contact initial
T20.09XD	brûlure d'un degré non spécifié de multiples sites de la tête, la face et le cou, contact subséquent
T20.09XS	brûlure d'un degré non spécifié de multiples sites de la tête, la face et le cou, séquelle
T20.10XA	brûlure du premier degré de la tête, la face et le cou, site non spécifié, contact initial
T20.10XD	brûlure du premier degré de la tête, la face et le cou, site non spécifié, contact subséquent
T20.10XS	brûlure du premier degré de la tête, la face et le cou, site non spécifié, séquelle
T20.111A	brûlure du premier degré de l'oreille droite [toute partie, sauf tympan], contact initial
T20.111D	brûlure du premier degré de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.111S	brûlure du premier degré de l'oreille droite [toute partie, sauf tympan], séquelle
T20.112A	brûlure du premier degré de l'oreille gauche [toute partie, sauf tympan], contact initial
T20.112D	brûlure du premier degré de l'oreille gauche [toute partie, sauf tympan], contact subséquent
T20.112S	brûlure du premier degré de l'oreille gauche [toute partie, sauf tympan], séquelle
T20.119A	brûlure du premier degré d'une oreille non spécifiée [toute partie, sauf tympan], contact initial
T20.119D	brûlure du premier degré d'une oreille non spécifiée [toute partie, sauf tympan], contact subséquent
T20.119S	brûlure du premier degré d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.12XA	brûlure du premier degré de lèvre(s), contact initial
T20.12XD	brûlure du premier degré de lèvre(s), contact subséquent
T20.12XS	brûlure du premier degré de lèvre(s), séquelle
T20.13XA	brûlure du premier degré du menton, contact initial
T20.13XD	brûlure du premier degré du menton, contact subséquent
T20.13XS	brûlure du premier degré du menton, séquelle
T20.14XA	brûlure du premier degré du nez (septum), contact initial
T20.14XD	brûlure du premier degré du nez (septum), contact subséquent
T20.14XS	brûlure du premier degré du nez (septum), séquelle
T20.15XA	brûlure du premier degré du cuir chevelu [toute partie], contact initial
T20.15XD	brûlure du premier degré du cuir chevelu [toute partie], contact subséquent
T20.15XS	brûlure du premier degré du cuir chevelu [toute partie], séquelle
T20.16XA	brûlure du premier degré du front et de la joue, contact initial
T20.16XD	brûlure du premier degré du front et de la joue, contact subséquent
T20.16XS	brûlure du premier degré du front et de la joue, séquelle
T20.17XA	brûlure du premier degré du cou, contact initial
T20.17XD	brûlure du premier degré du cou, contact subséquent
T20.17XS	brûlure du premier degré du cou, séquelle
T20.19XA	brûlure du premier degré de multiples sites de la tête, la face et le cou, contact initial
T20.19XD	brûlure du premier degré de multiples sites de la tête, la face et le cou, contact subséquent
T20.19XS	brûlure du premier degré de multiples sites de la tête, la face et le cou, séquelle
T20.20XA	brûlure du deuxième degré de la tête, la face et le cou, site non spécifié, contact initial
T20.20XD	brûlure du deuxième degré de la tête, la face et le cou, site non spécifié, contact subséquent
T20.20XS	brûlure du deuxième degré de la tête, la face et le cou, site non spécifié, séquelle
T20.211A	brûlure du deuxième degré de l'oreille droite [toute partie, sauf tympan], contact initial
T20.211D	brûlure du deuxième degré de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.211S	brûlure du deuxième degré de l'oreille droite [toute partie, sauf tympan], séquelle
T20.212A	brûlure du deuxième degré de l'oreille gauche [toute partie, sauf tympan], contact initial
T20.212D	brûlure du deuxième degré de l'oreille gauche [toute partie, sauf tympan], contact subséquent
T20.212S	brûlure du deuxième degré de l'oreille gauche [toute partie, sauf tympan], séquelle
T20.219A	brûlure du deuxième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact initial
T20.219D	brûlure du deuxième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact subséquent
T20.219S	brûlure du deuxième degré d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.22XA	brûlure du deuxième degré de lèvre(s), contact initial
T20.22XD	brûlure du deuxième degré de lèvre(s), contact subséquent
T20.22XS	brûlure du deuxième degré de lèvre(s), séquelle
T20.23XA	brûlure du deuxième degré du menton, contact initial
T20.23XD	brûlure du deuxième degré du menton, contact subséquent
T20.23XS	brûlure du deuxième degré du menton, séquelle
T20.24XA	brûlure du deuxième degré du nez (septum), contact initial
T20.24XD	brûlure du deuxième degré du nez (septum), contact subséquent
T20.24XS	brûlure du deuxième degré du nez (septum), séquelle
T20.25XA	brûlure du deuxième degré du cuir chevelu [toute partie], contact initial
T20.25XD	brûlure du deuxième degré du cuir chevelu [toute partie], contact subséquent
T20.25XS	brûlure du deuxième degré du cuir chevelu [toute partie], séquelle
T20.26XA	brûlure du deuxième degré du front et de la joue, contact initial
T20.26XD	brûlure du deuxième degré du front et de la joue, contact subséquent
T20.26XS	brûlure du deuxième degré du front et de la joue, séquelle
T20.27XA	brûlure du deuxième degré du cou, contact initial
T20.27XD	brûlure du deuxième degré du cou, contact subséquent
T20.27XS	brûlure du deuxième degré du cou, séquelle
T20.29XA	brûlure du deuxième degré de multiples sites de la tête, la face et le cou, contact initial
T20.29XD	brûlure du deuxième degré de multiples sites de la tête, la face et le cou, contact subséquent
T20.29XS	brûlure du deuxième degré de multiples sites de la tête, la face et le cou, séquelle
T20.30XA	brûlure du troisième degré de la tête, la face et le cou, site non spécifié, contact initial
T20.30XD	brûlure du troisième degré de la tête, la face et le cou, site non spécifié, contact subséquent
T20.30XS	brûlure du troisième degré de la tête, la face et le cou, site non spécifié, séquelle
T20.311A	brûlure du troisième degré de l'oreille droite [toute partie, sauf tympan], contact initial
T20.311D	brûlure du troisième degré de l'oreille droite [toute partie, sauf tympan], contact subséquent
T20.311S	brûlure du troisième degré de l'oreille droite [toute partie, sauf tympan], séquelle
T20.312A	brûlure du troisième degré de l'oreille gauche [toute partie, sauf tympan], contact initial
T20.312D	brûlure du troisième degré de l'oreille gauche [toute partie, sauf tympan], contact subséquent
T20.312S	brûlure du troisième degré de l'oreille gauche [toute partie, sauf tympan], séquelle
T20.319A	brûlure du troisième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact initial
T20.319D	brûlure du troisième degré d'une oreille non spécifiée [toute partie, sauf tympan], contact subséquent
T20.319S	brûlure du troisième degré d'une oreille non spécifiée [toute partie, sauf tympan], séquelle
T20.32XA	brûlure du troisième degré de lèvre(s), contact initial
T20.32XD	brûlure du troisième degré de lèvre(s), contact subséquent
T20.32XS	brûlure du troisième degré de lèvre(s), séquelle
T20.33XA	brûlure du troisième degré du menton, contact initial
T20.33XD	brûlure du troisième degré du menton, contact subséquent
T20.33XS	brûlure du troisième degré du menton, séquelle
T20.34XA	brûlure du troisième degré du nez (septum), contact initial
T20.34XD	brûlure du troisième degré du nez (septum), contact subséquent
T20.34XS	brûlure du troisième degré du nez (septum), séquelle
T20.35XA	brûlure du troisième degré du cuir chevelu [toute partie], contact initial
T20.35XD	brûlure du troisième degré du cuir chevelu [toute partie], contact subséquent
T20.35XS	brûlure du troisième degré du cuir chevelu [toute partie], séquelle
T20.36XA	brûlure du troisième degré du front et de la joue, contact initial
