R00.0	tachycardie, non spécifiée
R11.12	vomissement en jet
R11.13	vomissement fécaloïde
R11.14	vomissement bilieux
R11.2	nausée avec vomissement, non spécifiée
R12	pyrosis
R13.0	aphagie
R13.10	dysphagie, non spécifiée
R13.11	dysphagie, phase orale
R13.12	dysphagie, phase oro-pharyngée
R13.13	dysphagie, phase pharyngée
R13.14	dysphagie, phase pharyngo-oesophagienne
R13.19	autre dysphagie
R14.0	distension abdominale
R14.0	distension abdominale gazeux
R14.1	douleur abdominale due au météorisme
R14.2	éructation
R14.3	flatulence
R15.0	défécation incomplète
R15.1	souillage par des matières fécales
R15.2	besoin pressant de déféquer
R15.9	incontinence fécale totale
R16.0	hépatomégalie, non classée ailleurs
R16.1	splénomégalie, non classée ailleurs
R16.2	hépatosplénomégalie, non classée ailleurs
R17	ictère, non spécifié
R18.0	ascite néoplasique maligne
R18.8	autres ascites
R19.0	tuméfaction et masse intra-abdominale et pelvienne, localisation non spécifiée
R19.1	tuméfaction et masse abdominale, quadrant supérieur droit
R19.2	tuméfaction et masse abdominale, quadrant supérieur gauche
R19.3	tuméfaction et masse abdominale, quadrant inférieur droit
R19.4	tuméfaction et masse abdominale, quadrant inférieur gauche
R19.5	tuméfaction et masse abdominale, péri-ombilicale
R19.6	tuméfaction et masse abdominale, épigastrique
R19.7	tuméfaction et masse abdominale, généralisée
R19.9	tuméfaction et masse intra-abdominale et pelvienne, autre
R19.11	silence intestinal
R19.12	bruits intestinaux hyperactifs
R19.15	d'autres bruits intestinaux anormaux
R19.2	péristaltisme apparent
R19.30	ventre de bois, localisation non spécifiée
R19.31	ventre de bois, quadrant supérieur droit
R19.32	ventre de bois, quadrant supérieur gauche
R19.33	ventre de bois, quadrant inférieur droit
R19.34	ventre de bois, quadrant inférieur gauche
R19.35	ventre de bois, péri-ombilicale
R19.36	ventre de bois, épigastrique
R19.37	ventre de bois, généralisée
R19.30	contracture musculaire abdominale, localisation non spécifiée
R19.31	contracture musculaire abdominale, quadrant supérieur droit
R19.32	contracture musculaire abdominale, quadrant supérieur gauche
R19.33	contracture musculaire abdominale, quadrant inférieur droit
R19.34	contracture musculaire abdominale, quadrant inférieur gauche
R19.35	contracture musculaire abdominale, péri-ombilicale
R19.36	contracture musculaire abdominale, épigastrique
R19.37	contracture musculaire abdominale, généralisée
R19.4	modification du transit intestinal
R19.5	d'autres anomalies de la matière fécale
R19.6	halitose
R19.7	diarrhée, non spécifiée
R19.8	d'autres symptômes et signes spécifiés impliquant le système digestif et l'abdomen
R20.0	anesthésie cutanée
R20.1	hypoesthésie cutanée
R20.2	paresthésie cutanée
R20.3	hyperesthésie cutanée
R20.8	d'autres troubles de la sensibilité cutanée
R20.9	troubles non spécifiés de la sensibilité cutanée
R21	rash et une autre éruption cutanée, non spécifiés
R22.0	tuméfaction et masse localisée, tête
R22.1	tuméfaction et masse localisée, cou
R22.2	tuméfaction et masse localisée, tronc
R22.30	tuméfaction et masse localisée, membre supérieur non spécifié
R22.31	tuméfaction et masse localisée, membre supérieur droit
R22.32	tuméfaction et masse localisée, membre supérieur gauche
R22.33	tuméfaction et masse localisée, membre supérieur, bilatéral
R22.40	tuméfaction et masse localisée, membre inférieur non spécifié
R22.41	tuméfaction et masse localisée, membre inférieur droit
R22.42	tuméfaction et masse localisée, membre inférieur gauche
R22.43	tuméfaction et masse localisée, membre inférieur, bilatéral
R22.9	tuméfaction et masse localisée, non spécifiée
R23.0	cyanose
R23.1	pâleur
R23.2	bouffée vasomotrice
R23.2	flush
R23.3	ecchymoses spontanées
R23.4	modifications de la texture de la peau
R23.8	d'autres modifications de la peau
R23.9	modifications non spécifiées de la peau
R25.0	mouvements anormaux de la tête
R25.1	tremblement, non spécifié
R25.2	crampe et spasme
R25.3	fasciculation
R25.8	d'autres mouvements involontaires anormaux
R25.9	mouvements involontaires anormaux, non spécifiés
R26.0	démarche ataxique
R26.1	démarche paralytique
R26.2	difficulté à marcher, non classée ailleurs
R26.81	instabilité sur les pieds
R26.89	d'autres anormalités de la démarche et de la mobilité
R26.9	anormalités de la démarche et de la mobilité, non spécifiées
R27.0	ataxie, non spécifiée
R27.8	autre manque de coordination
R27.9	manque de coordination, non spécifiée
R29.0	tétanie
R29.1	méningisme
R29.2	réflexe anormal
R29.3	posture anormale
R29.4	hanche à ressaut
R29.5	paralysie transitoire
R29.6	chutes répétées
R29.810	faiblesse faciale
R29.818	d'autres symptômes et signes impliquant le système nerveux
R29.890	perte de la taille
R29.891	torticolis oculaire
R29.898	d'autres symptômes et signes impliquant le système musculosquelettique
R29.90	symptômes et signes non spécifiés impliquant le système nerveux
R29.91	symptômes et signes non spécifiés impliquant le système musculosquelettique
R30.0	dysurie
R30.1	ténesme vésical
R30.9	miction douloureuse, non spécifiée
R31.0	hématurie macroscopique
R31.1	hématurie essentielle bénigne microscopique
R31.2	autre hématurie microscopique
R31.9	hématurie non spécifiée
R32	incontinence urinaire, non spécifiée
R33.0	rétention urinaire induite par des médicaments
R33.8	autre rétention urinaire
R33.9	rétention urinaire, non spécifiée
R34	anurie et oligurie
R35.0	pollakiurie
R35.1	nycturie
R35.8	autre polyurie
R36.0	écoulement urétral, non sanglant
R36.1	hematospermie
R36.9	écoulement urétral, non spécifié
R37	dysfonctionnement sexuel, non spécifié
R39.0	extravasation de l'urine
R39.11	difficulté de déclencher la miction
R39.12	faible jet urinaire
R39.13	jet urinaire fragmenté
R39.14	impression de vidange incomplète de la vessie
R39.15	besoin pressant de l'uriner
R39.16	effort du vidange de la vessie
R39.19	d'autres difficultés mictionnelles
R39.2	urémie extrarénale
R39.81	incontinence urinaire fonctionnelle
R39.89	d'autres symptômes et signes impliquant le système génito-urinaire
R39.9	symptômes et signes non spécifiés impliquant le système génito-urinaire
R40.0	somnolence
R40.1	stupeur
R40.20	coma, non spécifié
R40.2110	échelle de coma, ouverture des yeux nulle, moment non spécifié
R40.2111	échelle de coma, ouverture des yeux nulle, sur site
R40.2111	échelle de coma, ouverture des yeux nulle, transport urgent
R40.2111	échelle de coma, ouverture des yeux nulle, ambulance
R40.2112	échelle de coma, ouverture des yeux nulle, à l'arrivée au service d'urgence
R40.2113	échelle de coma, ouverture des yeux nulle, à l'admission hospitalière
R40.2114	échelle de coma, ouverture des yeux nulle, 24 heures ou plus après l'admission hospitalière
R40.2120	échelle de coma, ouverture des yeux à la douleur, moment non spécifié
R40.2121	échelle de coma, ouverture des yeux à la douleur, sur site
R40.2121	échelle de coma, ouverture des yeux à la douleur, transport urgent
R40.2121	échelle de coma, ouverture des yeux à la douleur, ambulance
R40.2122	échelle de coma, ouverture des yeux à la douleur, à l'arrivée au service d'urgence
R40.2123	échelle de coma, ouverture des yeux à la douleur, à l'admission hospitalière
R40.2124	échelle de coma, ouverture des yeux à la douleur, 24 heures ou plus après l'admission hospitalière
R40.2130	échelle de coma, ouverture des yeux au bruit, moment non spécifié
R40.2131	échelle de coma, ouverture des yeux au bruit, sur site
R40.2131	échelle de coma, ouverture des yeux au bruit, transport urgent
R40.2131	échelle de coma, ouverture des yeux au bruit, ambulance
R40.2132	échelle de coma, ouverture des yeux au bruit, à l'arrivée au service d'urgence
R40.2133	échelle de coma, ouverture des yeux au bruit, à l'admission hospitalière
R40.2134	échelle de coma, ouverture des yeux au bruit, 24 heures ou plus après l'admission hospitalière
R40.2130	échelle de coma, ouverture des yeux au son, moment non spécifié
R40.2131	échelle de coma, ouverture des yeux au son, sur site
R40.2131	échelle de coma, ouverture des yeux au son, transport urgent
R40.2131	échelle de coma, ouverture des yeux au son, ambulance
R40.2132	échelle de coma, ouverture des yeux au son, à l'arrivée au service d'urgence
R40.2133	échelle de coma, ouverture des yeux au son, à l'admission hospitalière
R40.2134	échelle de coma, ouverture des yeux au son, 24 heures ou plus après l'admission hospitalière
R40.2140	échelle de coma, ouverture spontanée des yeux, moment non spécifié
R40.2141	échelle de coma, ouverture spontanée des yeux, sur site
R40.2141	échelle de coma, ouverture spontanée des yeux, transport urgent
R40.2141	échelle de coma, ouverture spontanée des yeux, ambulance
R40.2142	échelle de coma, ouverture spontanée des yeux, à l'arrivée au service d'urgence
R40.2143	échelle de coma, ouverture spontanée des yeux, à l'admission hospitalière
R40.2144	échelle de coma, ouverture spontanée des yeux, 24 heures ou plus après l'admission hospitalière
R40.2210	échelle de coma, meilleure réponse verbale nulle, moment non spécifié
R40.2211	échelle de coma, meilleure réponse verbale nulle, sur site
R40.2211	échelle de coma, meilleure réponse verbale nulle, transport urgent
R40.2211	échelle de coma, meilleure réponse verbale nulle, ambulance
R40.2212	échelle de coma, meilleure réponse verbale nulle, à l'arrivée au service d'urgence
R40.2213	échelle de coma, meilleure réponse verbale nulle, à l'admission hospitalière
R40.2214	échelle de coma, meilleure réponse verbale nulle, 24 heures ou plus après l'admission hospitalière
R40.2220	échelle de coma, meilleure réponse verbale incompréhensible, moment non spécifié
R40.2221	échelle de coma, meilleure réponse verbale incompréhensible, sur site 
R40.2221	échelle de coma, meilleure réponse verbale incompréhensible, transport urgent
R40.2221	échelle de coma, meilleure réponse verbale incompréhensible, ambulance
R40.2222	échelle de coma, meilleure réponse verbale incompréhensible, à l'arrivée au service d'urgence
R40.2223	échelle de coma, meilleure réponse verbale incompréhensible, à l'admission hospitalière
R40.2224	échelle de coma, meilleure réponse verbale incompréhensible, 24 heures ou plus après l'admission hospitalière
R40.2230	échelle de coma, meilleure réponse verbale inadéquate, moment non spécifié
R40.2231	échelle de coma, meilleure réponse verbale inadéquate, sur site
R40.2231	échelle de coma, meilleure réponse verbale inadéquate, transport urgent
R40.2231	échelle de coma, meilleure réponse verbale inadéquate, ambulance
R40.2232	échelle de coma, meilleure réponse verbale inadéquate, à l'arrivée au service d'urgence
R40.2233	échelle de coma, meilleure réponse verbale inadéquate, à l'admission hospitalière
R40.2234	échelle de coma, meilleure réponse verbale inadéquate, 24 heures ou plus après l'admission hospitalière
R40.2240	échelle de coma, meilleure réponse verbale confuse, moment non spécifié
R40.2241	échelle de coma, meilleure réponse verbale confuse, sur site
R40.2241	échelle de coma, meilleure réponse verbale confuse, transport urgent
R40.2241	échelle de coma, meilleure réponse verbale confuse, ambulance
R40.2240	échelle de coma, meilleure conversation confuse, moment non spécifié
R40.2241	échelle de coma, meilleure conversation confuse, sur site
R40.2241	échelle de coma, meilleure conversation confuse, transport urgent
R40.2241	échelle de coma, meilleure conversation confuse, ambulance
R40.2242	échelle de coma, meilleure réponse verbale confuse, à l'arrivée au service d'urgence
R40.2243	échelle de coma, meilleure réponse verbale confuse, à l'admission hospitalière
R40.2244	échelle de coma, meilleure réponse verbale confuse, 24 heures ou plus après l'admission hospitalière
R40.2242	échelle de coma, meilleure conversation confuse, à l'arrivée au service d'urgence
R40.2243	échelle de coma, meilleure conversation confuse, à l'admission hospitalière
R40.2244	échelle de coma, meilleure conversation confuse, 24 heures ou plus après l'admission hospitalière
R40.2250	échelle de coma, meilleure réponse verbale orientée, moment non spécifié
R40.2251	échelle de coma, meilleure réponse verbale orientée, sur site
R40.2251	échelle de coma, meilleure réponse verbale orientée, transport urgent
R40.2251	échelle de coma, meilleure réponse verbale orientée, ambulance
R40.2252	échelle de coma, meilleure réponse verbale orientée, à l'arrivée au service d'urgence
R40.2253	échelle de coma, meilleure réponse verbale orientée, à l'admission hospitalière
R40.2254	échelle de coma, meilleure réponse verbale orientée, 24 heures ou plus après l'admission hospitalière
R40.2310	échelle de coma, meilleure réponse motrice nulle, moment non spécifié
R40.2311	échelle de coma, meilleure réponse motrice nulle, sur site
R40.2311	échelle de coma, meilleure réponse motrice nulle, transport urgent
R40.2311	échelle de coma, meilleure réponse motrice nulle, ambulance
R40.2312	échelle de coma, meilleure réponse motrice nulle, à l'arrivée au service d'urgence
R40.2313	échelle de coma, meilleure réponse motrice nulle, à l'admission hospitalière
R40.2314	échelle de coma, meilleure réponse motrice nulle, 24 heures ou plus après l'admission hospitalière
R40.2320	échelle de coma, meilleure réponse motrice en extension, moment non spécifié
R40.2321	échelle de coma, meilleure réponse motrice en extension, sur site
R40.2321	échelle de coma, meilleure réponse motrice en extension, transport urgent
R40.2321	échelle de coma, meilleure réponse motrice en extension, ambulance
R40.2322	échelle de coma, meilleure réponse motrice en extension, à l'arrivée au service d'urgence
R40.2323	échelle de coma, meilleure réponse motrice en extension, à l'admission hospitalière
R40.2324	échelle de coma, meilleure réponse motrice en extension, 24 heures ou plus après l'admission hospitalière
R40.2330	échelle de coma, meilleure réponse motrice anormale, moment non spécifié
R40.2331	échelle de coma, meilleure réponse motrice anormale, sur site [transport urgent ou ambulance]
R40.2332	échelle de coma, meilleure réponse motrice anormale, à l'arrivée au service d'urgence
R40.2333	échelle de coma, meilleure réponse motrice anormale, à l'admission hospitalière
R40.2334	échelle de coma, meilleure réponse motrice anormale, 24 heures ou plus après l'admission hospitalière
R40.2340	échelle de coma, meilleure réponse motrice en flexion, moment non spécifié
R40.2341	échelle de coma, meilleure réponse motrice en flexion, sur site
R40.2341	échelle de coma, meilleure réponse motrice en flexion, transport urgent
R40.2341	échelle de coma, meilleure réponse motrice en flexion, ambulance
R40.2342	échelle de coma, meilleure réponse motrice en flexion, à l'arrivée au service d'urgence
R40.2343	échelle de coma, meilleure réponse motrice en flexion, à l'admission hospitalière
R40.2344	échelle de coma, meilleure réponse motrice en flexion, 24 heures ou plus après l'admission hospitalière
R40.2350	échelle de coma, meilleure réponse motrice à la douleur, moment non spécifié
R40.2351	échelle de coma, meilleure réponse motrice à la douleur, sur site
R40.2351	échelle de coma, meilleure réponse motrice à la douleur, transport urgent
R40.2351	échelle de coma, meilleure réponse motrice à la douleur, ambulance
R40.2352	échelle de coma, meilleure réponse motrice à la douleur, à l'arrivée au service d'urgence
R40.2353	échelle de coma, meilleure réponse motrice à la douleur, à l'admission hospitalière
R40.2354	échelle de coma, meilleure réponse motrice à la douleur, 24 heures ou plus après l'admission hospitalière
R40.2360	échelle de coma, meilleure réponse motrice aux ordres, moment non spécifié
R40.2361	échelle de coma, meilleure réponse motrice aux ordres, sur site
R40.2361	échelle de coma, meilleure réponse motrice aux ordres, transport urgent
R40.2361	échelle de coma, meilleure réponse motrice aux ordres, ambulance
R40.2362	échelle de coma, meilleure réponse motrice aux ordres, à l'arrivée aux services d'urgence
R40.2363	échelle de coma, meilleure réponse motrice aux ordres, à l'admission hospitalière
R40.2364	échelle de coma, meilleure réponse motrice aux ordres, 24 heures ou plus après l'admission hospitalière
R40.241	échelle de coma de Glasgow score 13
R40.241	échelle de coma de Glasgow score 14
R40.241	échelle de coma de Glasgow score 15
R40.242	échelle de coma de Glasgow score 9
R40.242	échelle de coma de Glasgow score 10
R40.242	échelle de coma de Glasgow score 11
R40.242	échelle de coma de Glasgow score 12
R40.243	échelle de coma de Glasgow score 3
R40.243	échelle de coma de Glasgow score 4
R40.243	échelle de coma de Glasgow score 5
R40.243	échelle de coma de Glasgow score 6
R40.243	échelle de coma de Glasgow score 7
R40.243	échelle de coma de Glasgow score 8
R40.244	autres coma, sans échelle de coma de Glasgow documentée, ou documenté avec un score partielle signalé
R40.3	état végétatif persistant
R40.4	altération transitoire de la conscience
R41.0	désorientation, non spécifiée
R41.1	amnésie antérograde
R41.2	amnésie rétrograde
R41.3	autre amnésie
R41.4	syndrome de négligence neurologique
R41.81	altération de la fonction cognitive liée à l'âge
R41.82	altération de l'état mental, non spécifiée
R41.83	fonctionnement intellectuel psychopathique
R41.840	déficit de l'attention et de la concentration
R41.841	déficit de la communication cognitive
R41.842	déficit visuo-spatial
R41.843	déficit psychomoteur
R41.844	déficit du lobe frontal et de la fonction exécutive
R41.89	d'autres symptômes et signes impliquant les fonctions cognitives et la conscience
R41.9	symptômes et signes non spécifiés impliquant les fonctions cognitives et la conscience
R42	étourdissements et éblouissements
R43.0	anosmie
R43.1	parosmie
R43.2	paragueusie
R43.8	d'autres troubles de l'odorat et du goût
R43.9	troubles de l'odorat et du goût, non spécifiés
R44.0	hallucinations auditives
R44.1	hallucinations visuelles
R44.2	d'autres hallucinations
R44.3	hallucinations, non spécifiées
R44.8	autres symptômes et signes impliquant les sensations et les perceptions générales
R44.9	symptômes et signes non spécifiés impliquant les sensations et les perceptions générales
R45.0	nervosité
R45.1	agitation
R45.2	tristesse
R45.3	découragement et apathie
R45.4	irritabilité et colère
R45.5	hostilité
R45.6	comportement violent
R45.7	état de choc émotionnel et stress non spécifié
R45.81	faible estime de soi
R45.82	inquiétudes
R45.83	pleurs excessifs d'un enfant, d'un adolescent, d'un adulte
R45.84	anhédonie
R45.850	idées d'homicide
R45.851	idées de suicide
R45.86	labilité émotionnelle
R45.87	impulsivité
R45.89	autres symptômes et signes impliquant l'état émotionnel
R46.0	hygiène personnelle très faible
R46.1	apparence personnelle bizarre
R46.2	comportement étrange et inexplicable
R46.3	suractivité
R46.4	lenteur et faible réactivité
R46.5	méfiance et comportement évasif prononcé
R46.6	inquiétude et préoccupation excessives pour des événements stressants
R46.7	verbosité et détails circonstanciels masquant la raison du contact
R46.81	comportement obsessionnel-compulsif
R46.89	d'autres symptômes et signes impliquant l'apparence et le comportement
R47.1	aphasie
R47.2	dysphasie
R47.1	dysarthrie et anarthrie
R47.1	dysarthrie
R47.1	anarthrie
R47.81	langage inarticulé
R47.82	trouble du flot de la parole dans des affections classées ailleurs
R47.89	d'autres troubles de la parole
R47.9	trouble de la parole non spécifié
R48.0	dyslexie et alexie
R48.0	dyslexie
R48.0	alexie
R48.1	agnosie
R48.2	apraxie
R48.3	agnosie visuelle
R48.8	d'autres dysfonctionnements symboliques
R48.9	dysfonctionnements symboliques, non spécifiés
R49.0	dysphonie
R49.1	aphonie
R49.21	hypernasalité
R49.22	hyponasalité
R49.8	autres troubles de la voix et de la sonorité
R49.9	trouble de la voix et de la sonorité, non spécifié
R50.2	fièvre induite par des médicaments
R50.81	fièvre accompagnant les affections classées ailleurs
R50.82	fièvre postprocédurale
R50.83	fièvre suite à une vaccination
R50.84	réaction fébrile non hémolytique due à une transfusion
R50.9	fièvre, non spécifiée
R51	céphalée
R52	douleur, non spécifiée
R53.0	fatigue liée à un néoplasme
R53.0	fatigue liée à un néoplasme malin
R53.1	faiblesse
R53.2	quadriplégie fonctionnelle
R53.81	autre malaise
R53.82	fatigue chronique, non spécifiée
R53.83	autre fatigue
R54	sénilité
R55	syncope et collapsus
R56.0	convulsions fébriles simples
R56.1	convulsions fébriles complexes
R56.1	crises convulsives post-traumatiques
R56.9	convulsions, non spécifiées
R57.0	choc cardiogénique
R57.1	choc hypovolémique
R57.8	d'autres chocs
R57.9	choc, non spécifié
R58	hémorragie, non classée ailleurs
R59.0	adénopathies localisées
R59.1	adénopathies généralisées
R59.9	adénopathies non spécifiées
R60.0	oedème localisé
R60.1	oedème généralisé
R60.9	oedème, non spécifié
R61	hyperhidrose généralisée
R62.0	maturation retardée durant l'enfance
R62.50	retard non spécifié du développement physiologique normal et attendu dans l'enfance
R62.51	retard de la croissance
R62.52	petite stature
R62.51	retard de la croissance de l'enfant
R62.52	petite stature de l'enfant
R62.59	autre retard du développement physiologique normal et attendu dans l'enfance
R62.7	retard de la croissance d'un adulte
R63.0	anorexie
R63.1	polydipsie
R63.2	polyphagie
R63.3	difficultés nutritionnelles
R63.4	perte de poids anormale
R63.5	prise de poids anormale
R63.6	poids insuffisant
R63.8	autres symptômes et signes concernant l'absorption d'aliments et de liquides
R64	cachexie
R65.10	syndrome de réponse inflammatoire systémique d'origine non infectieuse sans dysfonctionnement aigu d'organes
R65.11	syndrome de réponse inflammatoire systémique d'origine non infectieuse avec un dysfonctionnement aigu d'organes
R65.10	SIRS d'origine non infectieuse sans dysfonctionnement aigu d'organes
R65.11	SIRS d'origine non infectieuse avec un dysfonctionnement aigu d'organes
R65.20	sepsis sévère sans choc septique
R65.21	sepsis sévère avec un choc septique
R68.0	hypothermie, non associée à une température environnementale basse
R68.11	pleurs excessifs d'un bébé
R68.12	bébé grincheux
R68.13	événement apparent menaçant la vie chez le bébé
R68.13	événement apparent menaçant chez le bébé
R68.19	autres symptômes non spécifiques particuliers au bébé
R68.11	pleurs excessifs d'un enfant
R68.12	enfant grincheux
R68.13	événement apparent menaçant la vie chez l'enfant
R68.13	ALTE chez l'enfant
R68.19	autres symptômes non spécifiques particuliers au bébé
R68.2	sécheresse de la bouche, non spécifiée
R68.3	doigts en baguette de tambour
R68.81	satiété précoce
R68.82	diminution du libido
R68.83	frissons
R68.83	frissons sans fièvre
R68.84	douleur de la mâchoire
R68.89	d'autres symptômes et signes généraux
R69	maladie non spécifiée
R70.0	accélération de la vitesse de sédimentation d'érythrocytes
R70.1	viscosité plasmatique anormale
R71.0	chute brutale de l'hématocrite
R71.8	autre anomalie des globules rouges
R73.1	glycémie à jeun élevée
R73.2	test de tolérance au glucose élevé
R73.2	test oral de tolérance au glucose élevé
R73.9	autre glucose anormal
R73.9	hyperglycémie, non spécifiée
R74.0	augmentation du taux de transaminase et d'acide lactique déshydrogénase
R74.0	augmentation du taux de transaminase et de LDH
R74.8	taux anormaux d'autres enzymes sériques
R74.9	taux anormal d'un enzyme sérique, non spécifié
R75	examen de laboratoire non concluant pour le virus d'immunodéficience humaine
R75	examen de laboratoire non concluant pour HIV
R76.0	augmentation du taux d'anticorps
R76.11	réaction non spécifique sur un test à tuberculine sans tuberculose active
R76.12	réaction non spécifique à la mesure de l'immunité à médiation cellulaire de la réponsé à lantigène interféron gamma sans tuberculose active
R76.8	autres anomalies des résultats immunologiques sériques
R76.9	résultat immunologique sérique anormal, non spécifié
R77.0	anomalie de l'albumine
R77.1	anomalie de la globuline
R77.2	anomalie de l'alpha-foetoprotéine
R77.8	d'autres anomalies spécifiées des protéines plasmatiques
R77.9	anomalie des protéines plasmatiques, non spécifiée
R78.0	présence d'alcool dans le sang
R78.1	présence d'un opiacé dans le sang
R78.2	présence de cocaïne dans le sang
R78.3	présence d'un hallucinogène dans le sang
R78.4	présence d'autres substances à potentiel addictif dans le sang
R78.5	présence d'une autre substance psychotrope dans le sang
R78.6	présence d'un agent stéroïdien dans le sang
R78.71	taux anormal de plomb dans le sang
R78.79	taux anormal de métaux lourds dans le sang
R78.81	bactériémie
R78.89	présence d'autres substances spécifiées, non attendues dans le sang
R78.9	présence d'une substance non spécifiée, non attendue dans le sang
R79.0	taux anormal de minéraux dans le sang
R79.1	profil d'une coagulation anormal
R79.81	taux anormal de gaz sanguin
R79.82	élévation de protéine C-reactive
R79.82	élévation de CRP
R79.89	autres résultats anormaux spécifiés lors de l'examen chimique sanguin
R79.9	résultat anormal lors de l'examen chimique sanguin, non spécifié
R80.0	protéinurie isolée
R80.1	protéinurie persistante, non spécifiée
R80.2	protéinurie orthostatique, non spécifiée
R80.3	protéinurie Bence Jones
R80.8	autre protéinurie
R80.9	protéinurie non spécifiée
R81	glycosurie
R82.0	chylurie
R82.1	myoglobinurie
R82.2	biliurie
R82.3	hémoglobinurie
R82.4	acétonurie
R82.5	élévation du taux de drogues, médicaments et de substances biologiques dans l'urine
R82.6	taux anormal de substances d'origine principalement non médicinale dans l'urine
R82.7	examen microbiologique de l'urine anormal
R82.8	examen cytologique et histologique de l'urine anormal
R82.90	examen de l'urine anormal, non spécifié
R82.91	autre chromoanomalie urinaire
R82.99	d'autres examens urinaires anormaux
R83.0	taux anormal d'enzymes dans le liquide céphalo-rachidien
R83.1	taux anormal de hormones dans le liquide céphalo-rachidien
R83.2	taux anormal d'autres drogues, médicaments et substances biologiques dans le liquide céphalo-rachidien
R83.3	taux anormal de substances d'origine principalement non médicinale dans le liquide céphalo-rachidien
R83.4	résultats immunologiques anormaux du liquide céphalo-rachidien
R83.5	résultats microbiologiques anormaux du liquide céphalo-rachidien
R83.6	résultats cytologiques anormaux du liquide céphalo-rachidien
R83.8	d'autres résultats anormaux du liquide céphalo-rachidien
R83.9	résultat anormal non spécifié du liquide céphalo-rachidien
R84.0	taux anormal d'enzymes dans les prélèvements des organes respiratoires et du thorax
R84.1	taux anormal d'hormones dans les prélèvements des organes respiratoires et du thorax
R84.2	taux anormal d'autres drogues, médicaments et substances biologiques dans les prélèvements des organes respiratoires et du thorax
R84.3	taux anormal de substances d'origine principalement non médicinale dans les prélèvements des organes respiratoires et du thorax
R84.4	résultats immunologiques anormaux dans les prélèvements des organes respiratoires et du thorax
R84.5	résultats microbiologiques anormaux dans les prélèvements des organes respiratoires et du thorax
R84.6	résultats cytologiques anormaux dans les prélèvements des organes respiratoires et du thorax
R84.7	résultats histologiques anormaux dans les prélèvements des organes respiratoires et du thorax
